ID,Question,Topic,Difficulty
1,"What is a data structure?","Data Structures Basics","Easy"
2,"Why are data structures important in programming?","Data Structures Basics","Easy"
3,"Explain different types of data structures.","Data Structures Basics","Easy"
4,"What is the difference between linear and non-linear data structures?","Data Structures Basics","Medium"
5,"What are primitive and non-primitive data structures?","Data Structures Basics","Medium"
6,"Explain static and dynamic data structures.","Data Structures Basics","Medium"
7,"What is an Abstract Data Type (ADT)?","Data Structures Basics","Medium"
8,"What is the difference between data structure and algorithm?","Data Structures Basics","Medium"
9,"What is time complexity?","Algorithm Analysis","Easy"
10,"What is space complexity?","Algorithm Analysis","Easy"
11,"Explain Big-O notation with examples.","Algorithm Analysis","Medium"
12,"What are the different types of asymptotic notations?","Algorithm Analysis","Medium"
13,"Explain Big-O, Omega, and Theta notations.","Algorithm Analysis","Medium"
14,"What is the best case, worst case, and average case analysis?","Algorithm Analysis","Medium"
15,"What is an array data structure?","Arrays","Easy"
16,"Explain the advantages of arrays.","Arrays","Easy"
17,"Explain the disadvantages of arrays.","Arrays","Easy"
18,"What is the difference between array and linked list?","Arrays vs Linked List","Medium"
19,"How are elements stored in an array?","Arrays","Medium"
20,"What are one-dimensional and multi-dimensional arrays?","Arrays","Easy"
21,"How do you insert an element into an array?","Arrays Operations","Medium"
22,"How do you delete an element from an array?","Arrays Operations","Medium"
23,"How do you search for an element in an array?","Arrays Operations","Medium"
24,"Explain linear search algorithm.","Searching Algorithms","Easy"
25,"Explain binary search algorithm and its complexity.","Searching Algorithms","Medium"
ID,Question,Topic,Difficulty
26,"What is a linked list?","Linked List","Easy"
27,"Explain different types of linked lists.","Linked List","Easy"
28,"What is a singly linked list?","Linked List","Easy"
29,"What is a doubly linked list?","Linked List","Medium"
30,"What is a circular linked list?","Linked List","Medium"
31,"Difference between singly linked list and doubly linked list.","Linked List","Medium"
32,"What are the advantages of linked lists over arrays?","Linked List","Medium"
33,"What are the disadvantages of linked lists?","Linked List","Medium"
34,"How do you insert a node in a linked list?","Linked List Operations","Medium"
35,"How do you delete a node from a linked list?","Linked List Operations","Medium"
