Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Explanation
"APPSC stands for?","Andhra Pradesh Public Service Commission","Andhra Pradesh Police Service Commission","Andhra Pradesh Public Selection Commission","Andhra Pradesh Personnel Service Commission","Andhra Pradesh Public Service Commission","APPSC is the constitutional body responsible for conducting recruitment examinations for Andhra Pradesh government services."
"APPSC was established in which year?","1953","1956","1960","1947","1953","APPSC was established after the formation of Andhra State in 1953."
"APPSC is a constitutional body under which article?","Article 315","Article 320","Article 324","Article 280","Article 315","Article 315 of the Indian Constitution provides for Public Service Commissions for Union and States."
"Who appoints the Chairman of APPSC?","Chief Minister","Governor of Andhra Pradesh","President of India","Chief Justice of High Court","Governor of Andhra Pradesh","The Governor appoints the Chairman and members of the State Public Service Commission."
"The headquarters of APPSC is located at?","Hyderabad","Amaravati","Visakhapatnam","Vijayawada","Amaravati","After Andhra Pradesh reorganization, APPSC headquarters is located in Amaravati."
"The first Chairman of APPSC was?","C.R. Reddy","Kandukuri Veeresalingam","N. Gopalaswami","K. Madhava Rao","C.R. Reddy","Sir C.R. Reddy served as the first Chairman of APPSC."
"APPSC conducts recruitment for which services?","Central Services","State Government Services","Private Services","Military Services","State Government Services","APPSC recruits candidates for various Andhra Pradesh state government posts."
"The term of APPSC members is?","5 years","6 years","7 years","10 years","6 years","Members hold office for six years or until the age of 62 years."
"The maximum age limit of APPSC members is?","60 years","62 years","65 years","70 years","62 years","State PSC members retire at the age of 62 years."
"APPSC exams are conducted in how many stages generally?","1 stage","2 stages","3 stages","5 stages","3 stages","Most APPSC Group exams include Preliminary, Mains, and Interview stages."
"Which exam is conducted by APPSC for administrative posts?","Group-I","SSC CGL","UPSC CDS","IBPS PO","Group-I","APPSC Group-I recruits higher administrative officers in Andhra Pradesh."
"The constitutional head of Andhra Pradesh is?","Chief Minister","Governor","Chief Secretary","Speaker","Governor","The Governor is the constitutional head of the state."
"The executive head of Andhra Pradesh government is?","Governor","Chief Minister","President","Prime Minister","Chief Minister","The Chief Minister is the real executive authority of the state."
"Who appoints the Chief Minister of Andhra Pradesh?","President","Governor","Chief Justice","Speaker","Governor","The Governor appoints the Chief Minister after elections."
"Capital of Andhra Pradesh is?","Hyderabad","Amaravati","Chennai","Kurnool","Amaravati","Amaravati is the proposed capital city of Andhra Pradesh."
"Formation day of Andhra Pradesh is celebrated on?","November 1","June 2","January 26","August 15","November 1","Andhra Pradesh was formed on November 1, 1956."
"Which state was separated from Andhra Pradesh in 2014?","Karnataka","Telangana","Tamil Nadu","Odisha","Telangana","Telangana was formed as a separate state on June 2, 2014."
"The first Chief Minister of Andhra Pradesh was?","N.T. Rama Rao","Neelam Sanjiva Reddy","Y.S. Rajasekhara Reddy","Kiran Kumar Reddy","Neelam Sanjiva Reddy","Neelam Sanjiva Reddy became the first Chief Minister of Andhra Pradesh."
"Which river is called the lifeline of Andhra Pradesh?","Ganga","Godavari","Narmada","Yamuna","Godavari","Godavari is one of the major rivers flowing through Andhra Pradesh."
"Polavaram project is constructed on which river?","Krishna","Godavari","Penna","Tungabhadra","Godavari","Polavaram project is a multipurpose irrigation project on the Godavari River."
"Which is the largest district of Andhra Pradesh by area?","Kurnool","Anantapur","Visakhapatnam","Guntur","Anantapur","Anantapur district has historically been the largest by area."
"Which is the official language of Andhra Pradesh?","Hindi","Telugu","Tamil","Kannada","Telugu","Telugu is the official language of Andhra Pradesh."
"High Court of Andhra Pradesh is located at?","Hyderabad","Amaravati","Vijayawada","Tirupati","Amaravati","The Andhra Pradesh High Court is located in Amaravati."
"Which article deals with State PSC functions?","Article 320","Article 324","Article 368","Article 370","Article 320","Article 320 describes the functions of Public Service Commissions."
