ID,Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,Difficulty,Topic
1,"Who is known as the Father of the Indian Constitution?","Mahatma Gandhi","B.R. Ambedkar","Jawaharlal Nehru","Rajendra Prasad","B.R. Ambedkar","Dr. B.R. Ambedkar was the Chairman of the Drafting Committee of the Indian Constitution.","Easy","Indian Polity"
2,"The Constitution of India came into effect on which date?","15 August 1947","26 January 1950","26 November 1949","2 October 1950","26 January 1950","The Constitution was implemented on 26 January 1950.","Easy","Indian Polity"
3,"Who is the constitutional head of India?","Prime Minister","President","Chief Justice","Governor","President","The President is the head of the Indian State.","Easy","Indian Polity"
4,"The first President of India was:","Dr. Rajendra Prasad","S. Radhakrishnan","Jawaharlal Nehru","Zakir Hussain","Dr. Rajendra Prasad","Dr. Rajendra Prasad was the first President of India.","Easy","Indian History"
5,"How many Fundamental Rights are currently provided by the Indian Constitution?","5","6","7","8","6","There are six Fundamental Rights in India.","Easy","Indian Polity"
6,"The Parliament of India consists of:","Lok Sabha only","Rajya Sabha only","President, Lok Sabha and Rajya Sabha","Prime Minister and Council","President, Lok Sabha and Rajya Sabha","Indian Parliament includes the President and two Houses.","Easy","Indian Polity"
7,"The maximum strength of Lok Sabha is:","545","550","552","560","552","The Constitution provides a maximum strength of 552 members.","Medium","Indian Polity"
8,"The term of Lok Sabha is normally:","4 years","5 years","6 years","7 years","5 years","Lok Sabha normally continues for five years.","Easy","Indian Polity"
9,"The minimum age to become a member of Lok Sabha is:","18 years","21 years","25 years","30 years","25 years","A person must be at least 25 years old to contest Lok Sabha elections.","Easy","Indian Polity"
10,"The minimum age required for Rajya Sabha membership is:","25 years","30 years","35 years","40 years","30 years","The minimum age for Rajya Sabha is 30 years.","Easy","Indian Polity"
11,"Which is the largest state of India by area?","Madhya Pradesh","Rajasthan","Maharashtra","Uttar Pradesh","Rajasthan","Rajasthan is the largest state by area.","Easy","Geography"
12,"Which is the smallest state of India by area?","Goa","Sikkim","Tripura","Manipur","Goa","Goa is the smallest state by area.","Easy","Geography"
13,"The longest river in India is:","Yamuna","Ganga","Godavari","Narmada","Ganga","The Ganga is the longest river in India.","Easy","Geography"
14,"The capital of India is:","Mumbai","New Delhi","Kolkata","Chennai","New Delhi","New Delhi is the capital of India.","Easy","Geography"
15,"The national animal of India is:","Lion","Tiger","Elephant","Leopard","Tiger","The Royal Bengal Tiger is India's national animal.","Easy","General Awareness"
16,"The national flower of India is:","Rose","Lotus","Sunflower","Jasmine","Lotus","Lotus is the national flower of India.","Easy","General Awareness"
17,"The currency of India is:","Dollar","Rupee","Euro","Pound","Rupee","Indian currency is the Indian Rupee.","Easy","General Awareness"
