Question,Answer
What is State Public Service Commission?,A constitutional body responsible for conducting recruitment examinations for state government services.
Which article of Indian Constitution deals with State PSC?,Article 315.
Who appoints the Chairman and members of State PSC?,Governor of the State.
What is the tenure of State PSC members?,Six years or until the age of 62 years whichever is earlier.
Which article deals with removal of State PSC members?,Article 317.
Can State PSC members be removed by Governor?,No, removal is done by the President.
What is the main function of State PSC?,Conducting examinations for recruitment to state services.
Which constitutional part contains provisions related to PSC?,Part XIV.
What is the full form of PSC?,Public Service Commission.
Which commission conducts recruitment for state civil services?,State Public Service Commission.
What is the difference between UPSC and State PSC?,UPSC recruits for central services while State PSC recruits for state services.
Who prepares State PSC examination syllabus?,The respective State PSC.
What is the preliminary examination in State PSC?,The first screening stage of the recruitment process.
What is the purpose of the mains examination?,To test detailed knowledge and analytical ability.
What is the interview stage in State PSC?,A personality assessment round.
Which authority conducts State PSC exams?,State Public Service Commission.
Who can increase the number of members of State PSC?,President.
Is State PSC mentioned in the Constitution?,Yes.
What is Article 316 related to?,Appointment and term of office of PSC members.
What is Article 318 related to?,Power to make regulations regarding service conditions.
What is Article 319 related to?,Restriction on future employment of PSC members.
What is Article 320 related to?,Functions of Public Service Commissions.
What is Article 321 related to?,Extension of functions of PSC.
What is Article 322 related to?,Expenses of PSC.
What is Article 323 related to?,Reports of PSC.
Who presents State PSC annual report?,Governor presents it before State Legislature.
Can State PSC advice be binding on government?,No, it is advisory.
Which body audits PSC expenditure?,Comptroller and Auditor General.
What is civil service?,Permanent administrative machinery of government.
What are Group A services?,Higher administrative and executive services.
What are Group B services?,Middle-level government services.
What are Group C services?,Clerical and support services.
What is a state civil service exam?,An examination conducted for state administrative posts.
What is the role of a Deputy Collector?,Revenue administration and law and order management.
What is the role of a Tahsildar?,Management of revenue administration at mandal/taluk level.
What is the role of District Collector?,Head of district administration.
Who controls district administration?,District Collector.
What is e-governance?,Use of technology in government services.
What is RTI Act?,A law providing citizens access to government information.
When was RTI Act enacted?,2005.
Which fundamental right supports RTI?,Article 19(1)(a).
What is the objective of transparency in administration?,To reduce corruption and improve accountability.
What is good governance?,Effective, transparent and accountable administration.
What is public administration?,Implementation of government policies and programs.
Who is known as father of Indian administration?,Sardar Vallabhbhai Patel.
What is bureaucracy?,Administrative system managed by government officials.
What is decentralization?,Transfer of powers from higher levels to local bodies.
What is Panchayati Raj?,Local self-government system in rural areas.
Which amendment introduced Panchayati Raj?,73rd Constitutional Amendment.
Which amendment introduced urban local bodies?,74th Constitutional Amendment.
What is Gram Panchayat?,Village-level local government body.
What is Zilla Parishad?,District-level Panchayati Raj institution.
What is Municipal Corporation?,Urban local government body for large cities.
What is State Legislature?,Law-making body of a state.
Who is the constitutional head of a state?,Governor.
Who is the real executive head of a state?,Chief Minister.
Who appoints the Chief Minister?,Governor.
What is the maximum strength of Legislative Assembly?,Varies according to state population.
What is the minimum age for MLA?,25 years.
What is the minimum age for Governor?,35 years.
What is the term of Legislative Assembly?,Five years.
What is a no-confidence motion?,A motion expressing lack of confidence in government.
What is the role of State Cabinet?,To assist and advise Chief Minister.
What is the State Finance Commission?,A body reviewing financial distribution between state and local bodies.
Which article deals with State Finance Commission?,Article 243-I.
What is the State Election Commission?,A body conducting local body elections.
Which article deals with State Election Commission?,Article 243-K.
What is the role of Advocate General of State?,Chief legal advisor to state government.
Which article deals with Advocate General?,Article 165.
Who appoints State Advocate General?,Governor.
What is the role of High Court in a state?,Highest judicial authority within the state.
Which article establishes High Courts?,Article 214.
What is judicial review?,Power of courts to examine constitutionality of laws.
What is Public Interest Litigation?,Legal action initiated for public welfare.
What is administrative law?,Law governing government administration.
What is welfare administration?,Government programs for social development.
What is social justice?,Equal opportunities and protection of disadvantaged groups.
What is reservation policy?,Policy providing representation to certain communities.
What is the role of state government in education?,Management and development of education policies.
What is state budget?,Annual financial statement of state government.
Who presents state budget?,State Finance Minister.
What is fiscal policy?,Government decisions regarding taxation and expenditure.
What is revenue deficit?,Excess of revenue expenditure over revenue receipts.
What is public expenditure?,Government spending for public services.
What is inflation?,Increase in general price level.
What is GDP?,Total value of goods and services produced in a country.
What is per capita income?,Income calculated per person.
What is sustainable development?,Development meeting present needs without harming future generations.
What is disaster management?,Planning and response to natural and man-made disasters.
What is State Disaster Management Authority?,Body responsible for disaster planning at state level.
What is the role of police administration?,Maintaining law and order.
What is law and order administration?,Maintenance of peace and security.
What is citizen charter?,Document specifying service standards of government departments.
What is Lokayukta?,Anti-corruption ombudsman at state level.
What is vigilance administration?,System to prevent corruption in government departments.
What is public service delivery?,Providing government services to citizens.
What is Digital India initiative?,Government program promoting digital services.
What is Mission Karmayogi?,Civil service capacity building program.
What qualities are required for civil servants?,Integrity, leadership, accountability and decision-making ability.
What is ethics in administration?,Following moral principles in public service.
What is accountability in governance?,Responsibility of officials for their actions.
What is transparency in governance?,Open availability of government information.
What is merit-based recruitment?,Selection based on ability and performance.
