ID,Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,Difficulty,Topic
1,"Find the value of 25 + 35 - 15.","40","45","50","55","45","25 + 35 = 60 and 60 - 15 = 45.","Easy","Simplification"
2,"Find the value of 20 × 5 ÷ 4.","20","25","30","35","25","20 × 5 = 100, 100 ÷ 4 = 25.","Easy","Simplification"
3,"Simplify: 15 + 8 × 2.","31","46","23","30","31","According to BODMAS, multiplication first: 8×2=16, 15+16=31.","Easy","Simplification"
4,"Find the value of 100 ÷ 10 + 5.","10","15","20","25","15","100÷10=10, 10+5=15.","Easy","Simplification"
5,"Simplify: 50 - 20 ÷ 5.","6","46","10","30","46","20÷5=4, 50-4=46.","Easy","Simplification"
6,"Find the value of (10 + 5) × 2.","20","25","30","35","30","15×2=30.","Easy","Simplification"
7,"Simplify: 40 ÷ 5 × 3.","8","24","15","20","24","40÷5=8, 8×3=24.","Easy","Simplification"
8,"Find the value of 12² - 10².","24","44","48","20","44","144 - 100 = 44.","Easy","Simplification"
9,"Simplify: 5 × 5 + 10.","25","30","35","40","35","25+10=35.","Easy","Simplification"
10,"Find the value of 144 ÷ 12.","10","12","14","16","12","12×12=144.","Easy","Simplification"
11,"Simplify: 18 + 6 × 4.","42","96","24","30","42","6×4=24, 18+24=42.","Easy","Simplification"
12,"Find the value of 200 - 75 + 25.","125","150","175","100","150","200-75=125, 125+25=150.","Easy","Simplification"
13,"Simplify: 60 ÷ 6 + 8.","10","18","20","16","18","60÷6=10, 10+8=18.","Easy","Simplification"
14,"Find the value of 7 × 8 - 12.","42","44","56","68","44","7×8=56, 56-12=44.","Easy","Simplification"
15,"Simplify: 90 ÷ 9 × 5.","40","45","50","55","50","90÷9=10, 10×5=50.","Easy","Simplification"
16,"Find the value of 25% of 200.","25","50","75","100","50","25/100 × 200 = 50.","Easy","Simplification"
17,"Find the value of 3/5 of 100.","40","50","60","70","60","3/5 × 100 = 60.","Easy","Simplification"
18,"Simplify: 2³ + 3².","15","17","19","21","17","2³=8 and 3²=9, total=17.","Easy","Simplification"
19,"Find the value of √81 + √16.","11","12","13","14","13","√81=9 and √16=4, total=13.","Easy","Simplification"
20,"Simplify: 15 × 4 - 20.","30","40","50","60","40","15×4=60, 60-20=40.","Easy","Simplification"
21,"Find the value of 125 ÷ 5 + 15.","35","40","45","50","40","125÷5=25, 25+15=40.","Easy","Simplification"
22,"Simplify: 75 - 25 × 2.","20","25","30","50","25","25×2=50, 75-50=25.","Easy","Simplification"
23,"Find the value of (20 × 3) ÷ 5.","10","12","15","20","12","60÷5=12.","Easy","Simplification"
24,"Simplify: 45 + 15 ÷ 3.","50","55","60","65","50","15÷3=5, 45+5=50.","Easy","Simplification"
25,"Find the value of 8 × 7 + 12 ÷ 3.","56","60","68","72","60","8×7=56, 12÷3=4, total=60.","Easy","Simplification"
ID,Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,Difficulty,Topic
26,"Simplify: 35 + 25 × 4.","120","135","145","150","135","Multiplication first: 25×4=100, then 35+100=135.","Easy","Simplification"
27,"Find the value of 225 ÷ 15 + 20.","25","35","45","50","35","225÷15=15, 15+20=35.","Easy","Simplification"
28,"Simplify: 18 × 5 - 25.","55","60","65","70","65","18×5=90, 90-25=65.","Easy","Simplification"
29,"Find the value of 400 ÷ 20 × 3.","40","50","60","80","60","400÷20=20, 20×3=60.","Easy","Simplification"
30,"Simplify: 45% of 200.","80","90","100","120","90","45/100 × 200 = 90.","Easy","Simplification"
31,"Find the value of 2⁴ × 3.","24","36","48","64","48","2⁴=16, 16×3=48.","Easy","Simplification"
32,"Simplify: (25 + 15) ÷ 5.","5","8","10","12","8","40÷5=8.","Easy","Simplification"
33,"Find the value of 18².","324","328","342","361","324","18×18=324.","Easy","Simplification"
34,"Simplify: 500 - 125 × 2.","200","250","300","350","250","125×2=250, 500-250=250.","Easy","Simplification"
35,"Find the value of 36 ÷ 6 + 7 × 3.","24","27","30","35","27","6+21=27.","Medium","Simplification"
36,"Simplify: 15 × 6 ÷ 3 + 5.","30","35","40","45","35","15×6=90, 90÷3=30, 30+5=35.","Medium","Simplification"
37,"Find the value of √256.","14","16","18","20","16","16×16=256.","Easy","Simplification"
38,"Simplify: 3³ + 4².","27","36","43","45","43","3³=27 and 4²=16, total=43.","Easy","Simplification"
39,"Find the value of 75 ÷ 5 × 4.","50","60","70","80","60","75÷5=15, 15×4=60.","Easy","Simplification"
40,"Simplify: 1000 - 250 ÷ 5.","900","950","960","980","950","250÷5=50, 1000-50=950.","Medium","Simplification"
41,"Find the value of 12 × 12 + 24.","160","168","180","190","168","144+24=168.","Easy","Simplification"
42,"Simplify: 64 ÷ 8 + 9 × 2.","20","22","26","30","26","8+18=26.","Medium","Simplification"
43,"Find the value of 15% of 400.","40","50","60","70","60","15/100×400=60.","Easy","Simplification"
44,"Simplify: (18 + 12) × 3.","80","90","100","120","90","30×3=90.","Easy","Simplification"
45,"Find the value of 250 ÷ 25 × 10.","50","75","100","125","100","250÷25=10, 10×10=100.","Easy","Simplification"
46,"Simplify: 7² + 8².","100","110","113","120","113","49+64=113.","Medium","Simplification"
47,"Find the value of 999 + 99 + 9.","1097","1107","1117","1127","1107","999+99+9=1107.","Easy","Simplification"
