ID,Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,Difficulty,Topic
1,"RRB stands for:","Railway Recruitment Board","Rail Road Board","Railway Regulation Board","Regional Railway Board","Railway Recruitment Board","RRB conducts recruitment examinations for Indian Railways.","Easy","Railway Awareness"
2,"Indian Railways comes under which ministry?","Ministry of Transport","Ministry of Railways","Ministry of Home Affairs","Ministry of Defence","Ministry of Railways","Indian Railways operates under the Ministry of Railways.","Easy","Railway Awareness"
3,"The headquarters of Indian Railways is located in:","Mumbai","New Delhi","Chennai","Kolkata","New Delhi","Rail Bhawan in New Delhi is the headquarters of Indian Railways.","Easy","Railway Awareness"
4,"The first railway line in India was started between:","Delhi and Agra","Mumbai and Thane","Kolkata and Delhi","Chennai and Bangalore","Mumbai and Thane","The first train in India ran between Mumbai and Thane in 1853.","Easy","Railway History"
5,"The first railway train in India started in which year?","1853","1860","1875","1901","1853","The first passenger train started on 16 April 1853.","Easy","Railway History"
6,"The first railway minister of independent India was:","Lal Bahadur Shastri","John Mathai","Morarji Desai","Sardar Patel","John Mathai","John Mathai was the first Railway Minister of independent India.","Medium","Railway History"
7,"The largest railway network in the world is operated by:","India","USA","China","Russia","USA","The US has the largest railway network by route length.","Medium","Railway Awareness"
8,"Indian Railways is the:","Largest employer in India","Second largest employer in India","Smallest department","Private company","Largest employer in India","Indian Railways is one of the largest employers in India.","Easy","Railway Awareness"
9,"The width between two railway tracks is called:","Gauge","Platform","Signal","Track","Gauge","Gauge is the distance between two rails.","Easy","Railway Awareness"
10,"The broad gauge width in India is:","1000 mm","1676 mm","762 mm","2000 mm","1676 mm","Indian broad gauge is 1676 mm.","Medium","Railway Awareness"
11,"The fastest train in India is:","Rajdhani Express","Vande Bharat Express","Shatabdi Express","Duronto Express","Vande Bharat Express","Vande Bharat is one of India's fastest trains.","Easy","Railway Awareness"
12,"The railway budget was merged with the Union Budget in:","2015","2017","2019","2020","2017","Railway Budget was merged with Union Budget in 2017.","Medium","Railway Awareness"
13,"The first metro railway in India started in:","Delhi","Mumbai","Kolkata","Chennai","Kolkata","Kolkata Metro was India's first metro railway.","Easy","Railway History"
14,"The longest railway platform in India is at:","Gorakhpur","Kharagpur","Howrah","New Delhi","Gorakhpur","Gorakhpur railway station has one of the longest platforms.","Medium","Railway Awareness"
15,"The railway signal is used for:","Controlling train movement","Cleaning trains","Ticket booking","Loading goods","Controlling train movement","Signals ensure safe train operations.","Easy","Railway Awareness"
16,"The fuel commonly used by Indian Railways is:","Petrol","Diesel and Electricity","Coal only","Gas","Diesel and Electricity","Indian Railways mainly uses electric and diesel locomotives.","Easy","Railway Awareness"
17,"The full form of IRCTC is:","Indian Railway Catering and Tourism Corporation","Indian Railways Central Travel Company","Indian Railway Cargo Transport Corporation","International Railway Catering Tourism Company","Indian Railway Catering and Tourism Corporation","IRCTC provides railway ticketing and tourism services.","Easy","Railway Awareness"
18,"The online railway ticket booking service is provided by:","IRCTC","RBI","BSNL","ISRO","IRCTC","IRCTC handles online railway ticket booking.","Easy","Railway Awareness"
19,"The first electric train in India ran between:","Mumbai and Kurla","Delhi and Agra","Chennai and Madurai","Kolkata and Howrah","Mumbai and Kurla","India's first electric train started in 1925 between Bombay VT and Kurla.","Medium","Railway History"
20,"The Railway Protection Force (RPF) works under:","Ministry of Defence","Ministry of Railways","Ministry of Home Affairs","State Government","Ministry of Railways","RPF is a security force of Indian Railways.","Easy","Railway Awareness"
21,"The Railway Board was established in:","1905","1920","1947","1950","1905","Railway Board was established in 1905.","Medium","Railway History"
22,"The full form of NTPC in Railways recruitment is:","Non Technical Popular Categories","National Train Power Corporation","New Technical Post Category","National Transport Planning Committee","Non Technical Popular Categories","RRB NTPC recruits candidates for non-technical posts.","Easy","Railway Exams"
23,"RRB Group D exam is conducted for:","Level 1 posts","Officer posts","Technical officers","Manager posts","Level 1 posts","RRB Group D recruits Level 1 employees.","Easy","Railway Exams"
24,"The full form of ALP in Railways is:","Assistant Loco Pilot","Advanced Level Pilot","Assistant Line Person","Automatic Loco Power","Assistant Loco Pilot","ALP assists locomotive pilots in train operations.","Easy","Railway Exams"
25,"The person who drives a train is called:","Guard","Driver/Loco Pilot","Station Master","Controller","Driver/Loco Pilot","Loco Pilot operates the train.","Easy","Railway Awareness"
ID,Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,Difficulty,Topic
26,"The first railway line in the world started in which country?","India","England","USA","France","England","The first public railway line was opened in England in 1825.","Medium","Railway History"
27,"The Railway Recruitment Board was established in:","1947","1950","1998","2005","1998","RRBs were reorganized in 1998 for railway recruitment.","Medium","Railway Exams"
28,"The headquarters of Southern Railway is located in:","Chennai","Mumbai","Delhi","Kolkata","Chennai","Southern Railway headquarters is at Chennai.","Easy","Railway Zones"
29,"The headquarters of Northern Railway is located in:","New Delhi","Mumbai","Jaipur","Lucknow","New Delhi","Northern Railway headquarters is in New Delhi.","Easy","Railway Zones"
30,"The headquarters of Central Railway is located in:","Mumbai","Pune","Nagpur","Bhopal","Mumbai","Central Railway headquarters is in Mumbai.","Easy","Railway Zones"
31,"The total number of railway zones in India is:","16","17","18","20","18","Indian Railways has 18 zones.","Medium","Railway Awareness"
32,"The first railway zone of India was:","Northern Railway","Southern Railway","Central Railway","Eastern Railway","Southern Railway","Southern Railway was the first railway zone formed in 1951.","Medium","Railway History"
33,"The Railway Board is headed by:","Railway Minister","Chairman and CEO","Prime Minister","President","Chairman and CEO","The Chairman and CEO heads the Railway Board.","Medium","Railway Administration"
34,"The person responsible for railway station operations is:","Loco Pilot","Station Master","Guard","Engineer","Station Master","Station Master manages station operations.","Easy","Railway Awareness"
35,"The person responsible for checking tickets in trains is:","TC/TTE","Driver","Guard","Station Master","TC/TTE","Ticket Collector checks passenger tickets.","Easy","Railway Awareness"
36,"The full form of TTE is:","Travelling Ticket Examiner","Train Ticket Engineer","Travel Train Employee","Ticket Transfer Executive","Travelling Ticket Examiner","TTE checks tickets during train journeys.","Easy","Railway Awareness"
37,"The full form of PNR is:","Passenger Name Record","Passenger Number Record","Public Network Record","Passenger National Railway","Passenger Name Record","PNR contains passenger reservation details.","Easy","Railway Awareness"
38,"The number of digits in a railway PNR is:","8","10","12","15","10","Railway PNR numbers contain 10 digits.","Easy","Railway Awareness"
39,"The full form of RAC in railway tickets is:","Reservation Against Cancellation","Railway Advance Counter","Reservation Account Code","Railway Available Class","Reservation Against Cancellation","RAC passengers can travel with conditional reservation.","Easy","Railway Awareness"
40,"The railway ticket booking period is generally:","30 days","45 days","60 days","120 days","120 days","Advance reservation period is generally 120 days.","Medium","Railway Awareness"
41,"The railway engine is also called:","Coach","Locomotive","Wagon","Platform","Locomotive","A railway engine is known as a locomotive.","Easy","Railway Awareness"
42,"The railway coach is used for:","Carrying passengers","Fuel storage","Signal control","Track repair","Carrying passengers","Coaches carry passengers.","Easy","Railway Awareness"
43,"The railway wagon is mainly used for:","Goods transport","Passenger travel","Ticket checking","Engine control","Goods transport","Wagons are used to carry goods.","Easy","Railway Awareness"
44,"The Konkan Railway passes through which states?","Kerala, Tamil Nadu, Karnataka","Maharashtra, Goa, Karnataka","Gujarat, Rajasthan, Punjab","Bihar, Jharkhand, Odisha","Maharashtra, Goa, Karnataka","Konkan Railway connects Maharashtra, Goa and Karnataka.","Medium","Railway Geography"
45,"The first railway hospital in India was established in:","Mumbai","Kolkata","Delhi","Chennai","Mumbai","The first railway hospital was established in Mumbai.","Medium","Railway History"
46,"The Railway Staff College is located in:","Vadodara","Delhi","Mumbai","Chennai","Vadodara","Railway Staff College is located at Vadodara.","Easy","Railway Awareness"
47,"The Railway Budget was introduced separately in India in:","1924","1935","1947","1950","1924","Railway Budget was separated from General Budget in 1924.","Medium","Railway History"
