ID,Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,Difficulty,Topic
1,"RBI was established in which year?","1930","1935","1947","1950","1935","The Reserve Bank of India was established on 1 April 1935.","Easy","Banking Awareness"
2,"The headquarters of RBI is located in:","New Delhi","Mumbai","Kolkata","Chennai","Mumbai","The headquarters of RBI is located in Mumbai, Maharashtra.","Easy","Banking Awareness"
3,"Who is known as the banker of banks in India?","SBI","RBI","NABARD","SEBI","RBI","RBI acts as the banker of banks and regulates the banking system.","Easy","Banking Awareness"
4,"The currency notes in India are issued by:","SBI","RBI","Finance Ministry","SEBI","RBI","RBI issues currency notes except the one rupee note.","Easy","Banking Awareness"
5,"One rupee note is issued by:","RBI","Finance Ministry","Prime Minister Office","SBI","Finance Ministry","The one rupee note is issued by the Ministry of Finance.","Medium","Banking Awareness"
6,"The full form of RBI is:","Reserve Bank of India","Regional Bank of India","Royal Bank of India","Reserve Banking Institution","Reserve Bank of India","RBI stands for Reserve Bank of India.","Easy","Banking Awareness"
7,"The first bank established in India was:","Bank of India","Bank of Hindustan","SBI","Punjab National Bank","Bank of Hindustan","Bank of Hindustan was established in 1770.","Medium","Banking History"
8,"State Bank of India was formed in:","1955","1960","1947","1975","1955","SBI was formed in 1955 by nationalizing Imperial Bank of India.","Easy","Banking History"
9,"SBI headquarters is located in:","Mumbai","Delhi","Kolkata","Chennai","Mumbai","SBI headquarters is located in Mumbai.","Easy","Banking Awareness"
10,"The largest public sector bank in India is:","Punjab National Bank","Bank of Baroda","State Bank of India","Canara Bank","State Bank of India","SBI is the largest public sector bank in India.","Easy","Banking Awareness"
11,"NABARD stands for:","National Bank for Agriculture and Rural Development","National Banking Association for Rural Development","National Board of Agricultural Research","New Agricultural Bank and Rural Department","National Bank for Agriculture and Rural Development","NABARD supports agriculture and rural development.","Easy","Banking Awareness"
12,"NABARD was established in:","1980","1982","1990","1995","1982","NABARD was established on 12 July 1982.","Medium","Banking History"
13,"The central bank of India is:","SBI","RBI","NABARD","SEBI","RBI","RBI is India's central bank.","Easy","Banking Awareness"
14,"SEBI regulates:","Insurance sector","Stock market","Bank loans","Postal services","Stock market","SEBI regulates securities and stock markets.","Easy","Financial Institutions"
15,"The full form of SEBI is:","Securities and Exchange Board of India","Security Exchange Bank of India","State Exchange Board of India","Securities Economic Board of India","Securities and Exchange Board of India","SEBI regulates the securities market.","Easy","Financial Institutions"
16,"The full form of NEFT is:","National Electronic Funds Transfer","National Exchange Fund Transfer","New Electronic Finance Transfer","National Easy Fund Transfer","National Electronic Funds Transfer","NEFT is an electronic fund transfer system.","Easy","Digital Banking"
17,"The full form of RTGS is:","Real Time Gross Settlement","Rapid Transfer Global System","Real Transfer Gateway Service","Real Time Government System","Real Time Gross Settlement","RTGS transfers funds in real time.","Easy","Digital Banking"
18,"The full form of IMPS is:","Immediate Payment Service","Instant Money Payment System","Indian Money Processing Service","Immediate Banking Service","Immediate Payment Service","IMPS provides instant fund transfer service.","Easy","Digital Banking"
19,"UPI was developed by:","RBI alone","NPCI","SBI","SEBI","NPCI","UPI was developed by National Payments Corporation of India.","Medium","Digital Banking"
20,"NPCI stands for:","National Payments Corporation of India","National Payment Council of India","National Processing Corporation of India","New Payment Corporation of India","National Payments Corporation of India","NPCI operates retail payment systems in India.","Easy","Digital Banking"
21,"The full form of ATM is:","Automatic Teller Machine","Automated Teller Machine","Any Time Money","Auto Transfer Machine","Automated Teller Machine","ATM allows customers to perform banking transactions.","Easy","Banking Awareness"
22,"KYC stands for:","Know Your Customer","Keep Your Customer","Know Your Cash","Keep Your Credit","Know Your Customer","KYC is a customer identification process.","Easy","Banking Awareness"
23,"The headquarters of World Bank is located in:","London","Washington D.C.","New York","Geneva","Washington D.C.","World Bank headquarters is in Washington D.C.","Medium","International Banking"
24,"The headquarters of IMF is located in:","Washington D.C.","Paris","London","Tokyo","Washington D.C.","IMF headquarters is in Washington D.C.","Medium","International Banking"
25,"The rate at which RBI lends money to commercial banks is called:","Reverse Repo Rate","Repo Rate","Bank Rate","CRR","Repo Rate","Repo rate is the rate at which RBI lends money to banks.","Medium","Monetary Policy"
ID,Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,Difficulty,Topic
26,"The rate at which RBI borrows money from commercial banks is called:","Repo Rate","Reverse Repo Rate","Bank Rate","MSF Rate","Reverse Repo Rate","Reverse Repo Rate is the rate at which RBI borrows money from banks.","Medium","Monetary Policy"
27,"CRR stands for:","Cash Reserve Ratio","Credit Reserve Ratio","Cash Rate Ratio","Capital Reserve Ratio","Cash Reserve Ratio","CRR is the percentage of deposits banks must keep with RBI as cash.","Easy","Banking Awareness"
28,"SLR stands for:","Statutory Liquidity Ratio","State Liquidity Rate","Secure Lending Ratio","Standard Loan Ratio","Statutory Liquidity Ratio","SLR is the percentage of deposits banks maintain in liquid assets.","Easy","Banking Awareness"
29,"The minimum reserve of cash maintained by banks with RBI is called:","SLR","CRR","Repo Rate","Bank Rate","CRR","CRR is maintained by banks with RBI.","Easy","Monetary Policy"
30,"Monetary policy in India is controlled by:","Finance Ministry","RBI","SEBI","NITI Aayog","RBI","RBI controls monetary policy in India.","Easy","Banking Awareness"
31,"The committee responsible for monetary policy decisions is:","Finance Commission","Monetary Policy Committee","Planning Commission","GST Council","Monetary Policy Committee","MPC decides policy rates in India.","Medium","Monetary Policy"
32,"The Monetary Policy Committee consists of how many members?","4","5","6","7","6","MPC consists of six members.","Medium","Monetary Policy"
33,"The term 'Bank Rate' refers to:","Rate of interest charged by RBI for long-term loans to banks","Interest on savings account","Loan rate of customers","Deposit rate","Rate of interest charged by RBI for long-term loans to banks","Bank Rate is the rate at which RBI lends to banks.","Medium","Monetary Policy"
34,"A bank account used mainly for business transactions is:","Savings Account","Current Account","Fixed Deposit","Recurring Deposit","Current Account","Current accounts are used for frequent business transactions.","Easy","Banking Products"
35,"A savings account is mainly used for:","Business loans","Personal savings","Stock trading","Insurance","Personal savings","Savings accounts help individuals save money.","Easy","Banking Products"
36,"FD stands for:","Fixed Deposit","Financial Deposit","Future Deposit","Fixed Debt","Fixed Deposit","FD is a deposit scheme where money is kept for a fixed period.","Easy","Banking Products"
37,"RD stands for:","Regular Deposit","Recurring Deposit","Reserve Deposit","Rate Deposit","Recurring Deposit","RD allows regular deposits every month.","Easy","Banking Products"
38,"A loan given for purchasing a house is called:","Personal Loan","Home Loan","Education Loan","Gold Loan","Home Loan","Home loans are provided for buying or constructing houses.","Easy","Banking Products"
39,"A loan provided for education purposes is called:","Business Loan","Education Loan","Vehicle Loan","Housing Loan","Education Loan","Education loans help students finance studies.","Easy","Banking Products"
40,"A loan against gold ornaments is called:","Gold Loan","Personal Loan","Home Loan","Cash Loan","Gold Loan","Gold loans are provided against pledged gold.","Easy","Banking Products"
41,"The full form of IFSC is:","Indian Financial System Code","Indian Fund Service Code","International Finance System Code","Indian Financial Security Code","Indian Financial System Code","IFSC identifies bank branches for electronic transfers.","Easy","Digital Banking"
42,"MICR code is used for:","ATM transactions","Cheque processing","Online shopping","Loan approval","Cheque processing","MICR helps in cheque processing.","Easy","Banking Technology"
43,"The full form of MICR is:","Magnetic Ink Character Recognition","Money Ink Code Reader","Magnetic Indian Cash Record","Machine Ink Character Record","Magnetic Ink Character Recognition","MICR technology is used in cheque processing.","Medium","Banking Technology"
44,"A cheque is valid in India for:","1 month","3 months","6 months","1 year","3 months","A cheque remains valid for three months from the date of issue.","Easy","Banking Awareness"
45,"A cheque that can be encashed only through a bank account is called:","Bearer Cheque","Crossed Cheque","Open Cheque","Blank Cheque","Crossed Cheque","Crossed cheques require bank account credit.","Medium","Banking Awareness"
46,"The full form of PIN is:","Personal Identification Number","Private Identity Number","Personal Internet Number","Public Identification Number","Personal Identification Number","PIN is used for authentication in banking services.","Easy","Digital Banking"
47,"The full form of OTP is:","One Time Password","Online Transfer Password","Only Transaction Password","One Type Password","One Time Password","OTP is a temporary password used for verification.","Easy","Digital Banking"
48,"The process of converting physical currency into digital money is related to:","Digital Banking","Agriculture Banking","Investment Banking","Central Banking","Digital Banking","Digital banking provides electronic financial services.","Easy","Digital Banking"
49,"A loan that is not repaid on time is called:","Fixed Asset","Non Performing Asset","Current Asset","Liquid Asset","Non Performing Asset","NPA refers to loans where repayment has stopped.","Medium","Banking Awareness"
50,"The full form of NPA is:","Non Performing Asset","New Payment Account","National Public Asset","Net Profit Account","Non Performing Asset","NPA means a loan that is not generating income for the bank.","Easy","Banking Awareness"
ID,Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,Difficulty,Topic
51,"The full form of CBS in banking is:","Core Banking Solution","Central Banking System","Cash Banking Service","Customer Banking System","Core Banking Solution","CBS allows customers to access banking services from any branch.","Easy","Banking Technology"
52,"Which organization regulates insurance companies in India?","RBI","SEBI","IRDAI","NABARD","IRDAI","IRDAI regulates the insurance sector in India.","Easy","Financial Institutions"
53,"IRDAI stands for:","Insurance Regulatory and Development Authority of India","Indian Regulatory Department of Insurance Agency","Insurance Reserve Development Authority of India","Indian Risk Development Authority of India","Insurance Regulatory and Development Authority of India","IRDAI regulates insurance businesses in India.","Medium","Financial Institutions"
54,"The full form of GST is:","Goods and Services Tax","General Sales Tax","Government Service Tax","Goods Supply Tax","Goods and Services Tax","GST is an indirect tax introduced in India in 2017.","Easy","Indian Economy"
55,"The GST Council is headed by:","Prime Minister","Finance Minister","RBI Governor","President","Finance Minister","The Union Finance Minister chairs the GST Council.","Medium","Indian Economy"
56,"The first bank to introduce internet banking in India was:","SBI","ICICI Bank","HDFC Bank","PNB","ICICI Bank","ICICI Bank introduced internet banking services in India.","Medium","Digital Banking"
57,"A bank that accepts deposits and provides loans is called:","Commercial Bank","Central Bank","Investment Bank","Development Bank","Commercial Bank","Commercial banks provide regular banking services.","Easy","Banking Awareness"
58,"Which bank is called the banker to the government?","SBI","RBI","PNB","NABARD","RBI","RBI manages government banking transactions.","Easy","Banking Awareness"
59,"The headquarters of NABARD is located in:","Mumbai","Delhi","Hyderabad","Pune","Mumbai","NABARD headquarters is in Mumbai.","Easy","Banking Awareness"
60,"The headquarters of SEBI is located in:","Mumbai","New Delhi","Chennai","Kolkata","Mumbai","SEBI headquarters is located in Mumbai.","Easy","Financial Institutions"
61,"Which of the following is a private sector bank?","SBI","Punjab National Bank","HDFC Bank","Bank of Baroda","HDFC Bank","HDFC Bank is a private sector bank.","Easy","Banking Awareness"
