ID,Question,Answer,Explanation
The largest continent in the world is?,Asia,Africa,Europe,North America,Asia,Asia is the largest continent by area and population.
The smallest continent in the world is?,Australia,Europe,Antarctica,South America,Australia,Australia is the smallest continent by land area.
The largest ocean in the world is?,Atlantic Ocean,Indian Ocean,Pacific Ocean,Arctic Ocean,Pacific Ocean,Pacific Ocean covers the largest area among all oceans.
The highest mountain peak in the world is?,Mount Everest,K2,Kilimanjaro,Kanchenjunga,Mount Everest,Mount Everest is the highest peak above sea level.
The longest river in the world is?,Amazon,Nile,Ganga,Yangtze,Nile,Nile is traditionally considered the longest river in the world.
The largest desert in the world is?,Sahara,Gobi,Thar,Kalahari,Sahara,Sahara is the largest hot desert.
The largest plateau in the world is?,Tibetan Plateau,Deccan Plateau,Colorado Plateau,Iranian Plateau,Tibetan Plateau,Tibetan Plateau is the highest and largest plateau.
The Earth's shape is called?,Sphere,Geoid,Cube,Ellipse,Geoid,Earth is slightly flattened at poles and bulged at equator.
The imaginary line dividing Earth into Northern and Southern Hemispheres is?,Prime Meridian,Equator,Tropic of Cancer,Tropic of Capricorn,Equator,Equator divides Earth into two equal hemispheres.
The Prime Meridian passes through?,India,Greenwich,Japan,Brazil,Greenwich,The Prime Meridian passes through Greenwich in England.
The Tropic of Cancer passes through how many Indian states?,6,8,10,12,8,Tropic of Cancer passes through eight Indian states.
The southernmost point of India is?,Kanyakumari,Indira Point,Rameswaram,Minicoy,Indira Point,Indira Point is the southernmost point of India.
The largest state of India by area is?,Madhya Pradesh,Rajasthan,Maharashtra,Uttar Pradesh,Rajasthan,Rajasthan is the largest Indian state by area.
The smallest state of India by area is?,Goa,Sikkim,Tripura,Nagaland,Goa,Goa is the smallest state by area.
The most populous state of India is?,Maharashtra,Uttar Pradesh,Bihar,West Bengal,Uttar Pradesh,Uttar Pradesh has the highest population.
The longest river in India is?,Godavari,Ganga,Krishna,Narmada,Ganga,Ganga is the longest river flowing within India.
The highest peak in India is?,Kanchenjunga,Nanda Devi,Anamudi,K2,Kanchenjunga,Kanchenjunga is the highest peak located in India.
The longest coastline of India belongs to?,Gujarat,Andhra Pradesh,Tamil Nadu,Maharashtra,Gujarat,Gujarat has the longest coastline among Indian states.
The Western Ghats are also called?,Sahyadri,Himalaya,Aravali,Vindhya,Sahyadri,Western Ghats are locally known as Sahyadri.
The Eastern Ghats are?,Continuous,Discontinuous,Fold mountains,Volcanic mountains,Discontinuous,Eastern Ghats are broken by rivers.
The Himalayas are?,Young fold mountains,Block mountains,Volcanic mountains,Residual mountains,Young fold mountains,Himalayas were formed by tectonic folding.
The oldest mountain range in India is?,Himalayas,Aravali,Western Ghats,Vindhya,Aravali,Aravali is one of the oldest fold mountain ranges.
The Deccan Plateau is located in?,Northern India,Southern India,Eastern India,Western India,Southern India,Deccan Plateau covers much of peninsular India.
The Thar Desert is mainly located in?,Rajasthan,Gujarat,Punjab,Haryana,Rajasthan,Most of the Thar Desert lies in Rajasthan.
The Indian monsoon is mainly caused by?,Pressure differences,Earth rotation only,Ocean waves,Volcanoes,Pressure differences,Monsoon occurs due to seasonal pressure changes.
The southwest monsoon occurs during?,Winter,Summer,Autumn,Spring,Summer,Southwest monsoon brings rainfall during summer.
The retreating monsoon occurs mainly in?,June,July,October-November,January,October-November,Retreating monsoon occurs after rainy season.
The highest rainfall place in India is?,Mawsynram,Chennai,Delhi,Mumbai,Mawsynram,Mawsynram receives the highest annual rainfall.
The state known as the spice garden of India is?,Kerala,Punjab,Gujarat,Rajasthan,Kerala,Kerala is famous for spices.
The largest freshwater lake in India is?,Dal Lake,Wular Lake,Chilika Lake,Pulicat Lake,Wular Lake,Wular Lake is India's largest freshwater lake.
The largest saltwater lake in India is?,Chilika Lake,Wular Lake,Sambhar Lake,Dal Lake,Chilika Lake,Chilika is India's largest coastal lagoon.
The largest river island in India is?,Majuli,Elephanta,Sriharikota,Salsette,Majuli,Majuli is located in Assam's Brahmaputra River.
The Sundarbans are located in?,West Bengal,Odisha,Gujarat,Kerala,West Bengal,Sundarbans are famous mangrove forests.
The largest delta in the world is?,Ganga-Brahmaputra Delta,Nile Delta,Amazon Delta,Godavari Delta,Ganga-Brahmaputra Delta,It is the world's largest river delta.
The river Brahmaputra enters India through?,Arunachal Pradesh,Assam,Sikkim,Nagaland,Arunachal Pradesh,Brahmaputra enters India through Arunachal Pradesh.
The river Narmada flows into?,Bay of Bengal,Arabian Sea,Indian Ocean,Red Sea,Arabian Sea,Narmada drains into Arabian Sea.
The river Godavari is called?,Dakshin Ganga,North Ganga,Blue River,Red River,Dakshin Ganga,Godavari is the second longest river in India.
The Krishna River originates from?,Maharashtra,Karnataka,Telangana,Odisha,Maharashtra,Krishna originates near Mahabaleshwar.
The Kaveri River originates from?,Kerala,Karnataka,Tamil Nadu,Andhra Pradesh,Karnataka,Kaveri originates in Karnataka.
The Bhakra Nangal Dam is built on?,Sutlej,Ganga,Yamuna,Narmada,Sutlej,Bhakra Nangal is built across Sutlej River.
The Hirakud Dam is built on?,Mahanadi,Godavari,Krishna,Kaveri,Mahanadi,Hirakud Dam is on Mahanadi River.
The Tehri Dam is built on?,Bhagirathi,Alaknanda,Yamuna,Ganga,Bhagirathi,Tehri Dam is built on Bhagirathi River.
The soil best suited for cotton cultivation is?,Black soil,Red soil,Alluvial soil,Laterite soil,Black soil,Black soil retains moisture and suits cotton.
The most fertile soil in India is?,Alluvial soil,Black soil,Red soil,Desert soil,Alluvial soil,Alluvial soil is rich in nutrients.
Red soil gets its colour due to?,Iron,Calcium,Magnesium,Salt,Iron,Iron oxide gives red colour to soil.
Laterite soil is found in?,High rainfall areas,Deserts,Plains,Cold regions,High rainfall areas,Laterite develops due to heavy rainfall.
The main food crop of India is?,Rice,Wheat,Cotton,Tea,Rice,Rice is one of India's major food crops.
The largest producer of tea in India is?,Assam,Kerala,Punjab,Gujarat,Assam,Assam is the leading tea-producing state.
The largest coffee producing state in India is?,Karnataka,Kerala,Tamil Nadu,Andhra Pradesh,Karnataka,Karnataka produces the most coffee in India.
Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
The largest wheat-producing state in India is?,Punjab,Uttar Pradesh,Haryana,Rajasthan,Uttar Pradesh,Uttar Pradesh is the largest producer of wheat in India.
The Green Revolution was most successful in?,Punjab and Haryana,Rajasthan,Kerala,Odisha,Punjab and Haryana,These states adopted modern farming methods extensively.
