Question,Answer
What is C++?,C++ is a general-purpose object-oriented programming language developed by Bjarne Stroustrup.
Who developed C++?,C++ was developed by Bjarne Stroustrup in 1979 at Bell Labs.
What is the extension of a C++ source file?,Common extensions are .cpp .cc and .cxx.
What are the features of C++?,C++ supports object-oriented programming inheritance polymorphism encapsulation abstraction templates and exception handling.
What is the difference between C and C++?,C is a procedural language while C++ supports both procedural and object-oriented programming.
What is a class?,A class is a blueprint for creating objects.
What is an object?,An object is an instance of a class.
What is a constructor?,A constructor is a special member function that initializes objects automatically when they are created.
What is a destructor?,A destructor is a special member function that is automatically called when an object is destroyed.
What is the syntax of a constructor?,A constructor has the same name as the class and has no return type.
What is the syntax of a destructor?,A destructor is preceded by a tilde symbol followed by the class name.
What is function overloading?,Function overloading allows multiple functions with the same name but different parameter lists.
What is operator overloading?,Operator overloading allows operators to perform user-defined operations on objects.
What is inheritance?,Inheritance allows one class to acquire the properties and methods of another class.
What is polymorphism?,Polymorphism allows one interface to represent multiple implementations.
What is encapsulation?,Encapsulation combines data and methods into a single unit and restricts direct access.
What is abstraction?,Abstraction hides implementation details and exposes only essential features.
What are access specifiers in C++?,The access specifiers are public private and protected.
What is the default access specifier for a class?,The default access specifier for a class is private.
What is the default access specifier for a struct?,The default access specifier for a struct is public.
What is a namespace?,A namespace is used to organize code and prevent naming conflicts.
Why is the std namespace used?,The std namespace contains the C++ Standard Library components.
What is the scope resolution operator?,The scope resolution operator :: is used to access global variables static members and namespace members.
What is the difference between class and struct?,The default access level in a class is private while in a struct it is public.
What is the main() function?,The main() function is the entry point of every C++ program.
Question,Answer
What is a variable?,A variable is a named memory location used to store data.
What are the fundamental data types in C++?,The fundamental data types include int char float double bool and void.
What is the bool data type?,The bool data type stores either true or false.
What is the auto keyword?,The auto keyword automatically deduces the data type of a variable.
What is type casting?,Type casting is the process of converting one data type into another.
What is implicit type conversion?,Implicit type conversion is performed automatically by the compiler.
What is explicit type conversion?,Explicit type conversion is performed manually using a cast.
What is a constant?,A constant is a value that cannot be modified during program execution.
What is the const keyword?,The const keyword is used to declare constants.
What is an if statement?,An if statement executes a block of code when a condition is true.
What is an if-else statement?,An if-else statement executes one block if the condition is true and another if it is false.
What is a switch statement?,A switch statement selects one block of code from multiple options based on an expression.
What are loops in C++?,Loops repeatedly execute a block of code while a condition is satisfied.
What are the types of loops in C++?,The types of loops are for while and do-while.
What is a for loop?,A for loop executes a block of code a specified number of times.
What is a while loop?,A while loop executes as long as a specified condition remains true.
What is a do-while loop?,A do-while loop executes the loop body at least once before checking the condition.
What is an array?,An array is a collection of elements of the same data type stored in contiguous memory locations.
What is a multidimensional array?,A multidimensional array is an array containing one or more arrays such as a two-dimensional matrix.
What is a string in C++?,A string is a sequence of characters represented using the string class or character arrays.
What is a function?,A function is a reusable block of code that performs a specific task.
What is function overloading?,Function overloading allows multiple functions with the same name but different parameter lists.
What is a pointer?,A pointer is a variable that stores the memory address of another variable.
What is a reference variable?,A reference variable is an alias for an existing variable.
What is dynamic memory allocation?,Dynamic memory allocation allocates memory during runtime using the new and delete operators.
Question,Answer
What is Object-Oriented Programming (OOP)?,Object-Oriented Programming is a programming paradigm based on classes and objects.
What are the four pillars of OOP?,The four pillars are Encapsulation Inheritance Polymorphism and Abstraction.
What is inheritance?,Inheritance allows a derived class to acquire the properties and methods of a base class.
What are the types of inheritance in C++?,Single Multiple Multilevel Hierarchical and Hybrid inheritance.
What is polymorphism?,Polymorphism allows one interface to represent multiple implementations.
What is compile-time polymorphism?,Compile-time polymorphism is achieved through function overloading and operator overloading.
What is runtime polymorphism?,Runtime polymorphism is achieved through function overriding using virtual functions.
What is a virtual function?,A virtual function is a member function that allows dynamic binding.
What is a pure virtual function?,A pure virtual function has no implementation and is declared using = 0.
What is an abstract class?,An abstract class is a class containing at least one pure virtual function and cannot be instantiated.
What is function overriding?,Function overriding allows a derived class to redefine a base class function.
What is dynamic binding?,Dynamic binding determines the function to execute at runtime.
What is static binding?,Static binding determines the function to execute at compile time.
What is the virtual keyword?,The virtual keyword enables runtime polymorphism.
What is the friend function?,A friend function can access the private and protected members of a class.
What is a friend class?,A friend class can access the private and protected members of another class.
What is the this pointer?,The this pointer refers to the current object of a class.
What is the new operator?,The new operator dynamically allocates memory on the heap.
What is the delete operator?,The delete operator releases dynamically allocated memory.
What is a memory leak?,A memory leak occurs when allocated memory is not deallocated.
What is exception handling?,Exception handling is the mechanism for handling runtime errors using try throw and catch.
What is the try block?,The try block contains code that may generate an exception.
What is the throw keyword?,The throw keyword is used to explicitly generate an exception.
What is the catch block?,The catch block handles exceptions thrown from the try block.
What is stack unwinding?,Stack unwinding is the process of destroying local objects when an exception occurs.
Question,Answer
What is the Standard Template Library (STL)?,The Standard Template Library is a collection of generic classes and functions for data structures and algorithms.
What are the three main components of STL?,The three main components are Containers Iterators and Algorithms.
What is a vector?,A vector is a dynamic array that can automatically resize itself.
What is a list in STL?,A list is a doubly linked list that allows efficient insertion and deletion.
What is a deque?,A deque is a double-ended queue that allows insertion and deletion at both ends.
What is a stack?,A stack is a Last In First Out (LIFO) container adaptor.
What is a queue?,A queue is a First In First Out (FIFO) container adaptor.
What is a priority queue?,A priority queue stores elements based on priority with the highest priority element accessed first.
What is a set?,A set is an associative container that stores unique elements in sorted order.
What is a multiset?,A multiset stores multiple duplicate elements in sorted order.
What is a map?,A map stores key-value pairs with unique keys in sorted order.
What is a multimap?,A multimap allows multiple values for the same key.
What is an iterator?,An iterator is an object used to traverse elements in a container.
What are STL algorithms?,STL algorithms are predefined functions like sort find reverse and binary_search.
What is the sort() function?,sort() arranges elements in ascending order by default.
What is the find() algorithm?,find() searches for a specified element in a range.
What is binary_search()?,binary_search() checks whether an element exists in a sorted range.
What is a template?,A template enables generic programming by allowing functions and classes to work with different data types.
What is a function template?,A function template allows creating a generic function for multiple data types.
What is a class template?,A class template allows creating generic classes for different data types.
What is file handling in C++?,File handling allows reading from and writing to files using stream classes.
Which header file is used for file handling?,The fstream header file is used for file handling.
What are ifstream ofstream and fstream?,ifstream reads files ofstream writes files and fstream performs both reading and writing.
What are smart pointers?,Smart pointers automatically manage dynamically allocated memory to prevent memory leaks.
What is the difference between unique_ptr shared_ptr and weak_ptr?,unique_ptr has exclusive ownership shared_ptr allows shared ownership and weak_ptr provides a non-owning reference to avoid circular dependencies.
