ID,Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,Difficulty,Topic
1,"UPSC stands for:","Union Public Service Commission","United Public Service Commission","Universal Public Service Council","Union Private Service Commission","Union Public Service Commission","UPSC is India's central recruiting agency for civil services.","Easy","UPSC Awareness"
2,"UPSC was established in which year?","1926","1935","1947","1950","1926","UPSC was established on 1 October 1926.","Medium","UPSC History"
3,"UPSC headquarters is located in:","Mumbai","New Delhi","Kolkata","Chennai","New Delhi","UPSC headquarters is located at Dholpur House, New Delhi.","Easy","UPSC Awareness"
4,"UPSC conducts the examination for:","Civil Services","Banking Services","Railway Services","Police Recruitment Only","Civil Services","UPSC conducts Civil Services Examination for IAS, IPS, IFS and other services.","Easy","UPSC Awareness"
5,"The Civil Services Examination is conducted in how many stages?","2","3","4","5","3","The stages are Preliminary, Main and Interview.","Easy","UPSC Exam Pattern"
6,"The first stage of UPSC Civil Services Examination is:","Main Examination","Interview","Preliminary Examination","Training","Preliminary Examination","Prelims is the first stage of the Civil Services Examination.","Easy","UPSC Exam Pattern"
7,"The Civil Services Examination is conducted by:","SSC","UPSC","IBPS","RRB","UPSC","UPSC conducts the Civil Services Examination.","Easy","UPSC Awareness"
8,"The Indian Administrative Service is known as:","IPS","IAS","IFS","IRS","IAS","IAS stands for Indian Administrative Service.","Easy","Civil Services"
9,"The Indian Police Service is known as:","IAS","IPS","IFS","IRS","IPS","IPS stands for Indian Police Service.","Easy","Civil Services"
10,"The Indian Foreign Service is known as:","IFS","IAS","IPS","IRS","IFS","IFS officers handle India's foreign relations.","Easy","Civil Services"
11,"The head of UPSC is called:","Chairman","Governor","President","Director","Chairman","UPSC is headed by a Chairman.","Easy","UPSC Awareness"
12,"The Chairman and members of UPSC are appointed by:","Prime Minister","President of India","Chief Justice","Parliament","President of India","The President appoints UPSC Chairman and members.","Medium","Indian Polity"
13,"The term of office of UPSC members is:","4 years","5 years","6 years","7 years","6 years","UPSC members serve for six years or until age 65.","Medium","Indian Polity"
14,"The Constitution of India came into force on:","15 August 1947","26 January 1950","26 November 1949","2 October 1950","26 January 1950","The Constitution came into force on 26 January 1950.","Easy","Indian Polity"
15,"The Chairman of the Drafting Committee of the Indian Constitution was:","Jawaharlal Nehru","B.R. Ambedkar","Rajendra Prasad","Sardar Patel","B.R. Ambedkar","Dr. B.R. Ambedkar chaired the Drafting Committee.","Easy","Indian Polity"
16,"The President of India is elected by:","Direct Election","Electoral College","Prime Minister","Supreme Court","Electoral College","The President is elected by an Electoral College.","Medium","Indian Polity"
17,"The Supreme Court of India was established in:","1947","1950","1952","1960","1950","The Supreme Court started functioning in 1950.","Easy","Indian Polity"
18,"The highest judicial authority in India is:","High Court","Supreme Court","District Court","Tribunal","Supreme Court","The Supreme Court is the highest court of India.","Easy","Indian Polity"
19,"The Fundamental Rights are mentioned in:","Part I","Part II","Part III","Part IV","Part III","Fundamental Rights are included in Part III of the Constitution.","Easy","Indian Polity"
20,"Directive Principles of State Policy are included in:","Part III","Part IV","Part V","Part VI","Part IV","DPSP are mentioned in Part IV.","Easy","Indian Polity"
21,"Fundamental Duties were added by which Amendment?","42nd Amendment","44th Amendment","52nd Amendment","73rd Amendment","42nd Amendment","Fundamental Duties were added by the 42nd Amendment Act, 1976.","Medium","Indian Polity"
22,"The first President of India was:","Dr. Rajendra Prasad","Jawaharlal Nehru","S. Radhakrishnan","Zakir Hussain","Dr. Rajendra Prasad","Dr. Rajendra Prasad was India's first President.","Easy","Indian History"
23,"The first Prime Minister of India was:","Sardar Patel","Jawaharlal Nehru","Rajendra Prasad","Lal Bahadur Shastri","Jawaharlal Nehru","Jawaharlal Nehru became India's first Prime Minister.","Easy","Indian History"
24,"The Quit India Movement was launched in:","1940","1942","1945","1947","1942","Quit India Movement was launched in August 1942.","Easy","Indian History"
25,"The Indian National Congress was founded in:","1885","1905","1919","1947","1885","Indian National Congress was founded in 1885.","Easy","Indian History"
ID,Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,Difficulty,Topic
26,"The largest state of India by area is:","Madhya Pradesh","Rajasthan","Maharashtra","Uttar Pradesh","Rajasthan","Rajasthan is the largest Indian state by area.","Easy","Geography"
27,"The smallest state of India by area is:","Goa","Sikkim","Tripura","Manipur","Goa","Goa is the smallest state by area.","Easy","Geography"
28,"The longest river in India is:","Yamuna","Ganga","Godavari","Narmada","Ganga","The Ganga is the longest river in India.","Easy","Geography"
29,"The highest mountain peak in India is:","Mount Everest","Kanchenjunga","Nanda Devi","K2","Kanchenjunga","Kanchenjunga is the highest peak located in India.","Medium","Geography"
30,"The Tropic of Cancer passes through how many Indian states?","6","7","8","10","8","The Tropic of Cancer passes through eight Indian states.","Medium","Geography"
31,"The largest plateau in India is:","Deccan Plateau","Malwa Plateau","Chota Nagpur Plateau","Tibetan Plateau","Deccan Plateau","Deccan Plateau is the largest plateau in India.","Easy","Geography"
32,"The Indian monsoon is mainly caused by:","Ocean currents","Seasonal winds","Earthquakes","Mountain formation","Seasonal winds","Indian monsoon occurs due to seasonal reversal of winds.","Easy","Geography"
33,"The Green Revolution is associated with:","Milk production","Agricultural production","Industrial growth","Fish production","Agricultural production","Green Revolution increased food grain production.","Easy","Indian Economy"
34,"The Father of Green Revolution in India is:","Norman Borlaug","M.S. Swaminathan","Verghese Kurien","Amartya Sen","M.S. Swaminathan","M.S. Swaminathan led India's Green Revolution.","Easy","Indian Economy"
35,"The White Revolution is related to:","Milk production","Rice production","Oil production","Cotton production","Milk production","White Revolution increased milk production.","Easy","Indian Economy"
36,"The Father of White Revolution in India is:","M.S. Swaminathan","Verghese Kurien","Norman Borlaug","C. Subramaniam","Verghese Kurien","Verghese Kurien is known as the Father of White Revolution.","Easy","Indian Economy"
37,"The Reserve Bank of India was established in:","1930","1935","1947","1950","1935","RBI was established in 1935.","Easy","Indian Economy"
38,"The headquarters of RBI is located at:","New Delhi","Mumbai","Kolkata","Chennai","Mumbai","RBI headquarters is located in Mumbai.","Easy","Indian Economy"
39,"The Planning Commission was replaced by:","Finance Commission","NITI Aayog","RBI","SEBI","NITI Aayog","NITI Aayog replaced the Planning Commission in 2015.","Easy","Indian Economy"
40,"NITI Aayog was established in:","2012","2014","2015","2017","2015","NITI Aayog was established on 1 January 2015.","Medium","Indian Economy"
41,"The national income of India is calculated by:","RBI","NSO","SEBI","Finance Ministry","NSO","National Statistical Office calculates national income estimates.","Medium","Indian Economy"
42,"GDP stands for:","Gross Domestic Product","General Domestic Product","Gross Development Plan","Government Domestic Product","Gross Domestic Product","GDP measures economic output of a country.","Easy","Indian Economy"
43,"The Union Budget is presented by:","President","Prime Minister","Finance Minister","RBI Governor","Finance Minister","The Finance Minister presents the Union Budget.","Easy","Indian Economy"
