ID,Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,Difficulty,Topic
1,"The present age of A is 20 years. What will be his age after 5 years?","22","23","25","30","25","Future age = Present age + 5 = 20+5 = 25.","Easy","Problems on Ages"
2,"The present age of a person is 30 years. What was his age 10 years ago?","15","20","25","30","20","Past age = Present age - 10 = 30-10 = 20.","Easy","Problems on Ages"
3,"A father's age is 4 times his son's age. If son is 10 years old, father's age is:","30","35","40","45","40","Father age = 4×10 = 40 years.","Easy","Problems on Ages"
4,"The sum of ages of A and B is 50 years. If A is 20 years old, B's age is:","20","25","30","35","30","B age = 50-20 = 30 years.","Easy","Problems on Ages"
5,"The ratio of ages of A and B is 3:5. If A is 18 years old, B's age is:","25","30","35","40","30","3 parts=18. One part=6. B=5×6=30.","Easy","Problems on Ages"
6,"The ratio of ages of father and son is 7:2. If son is 12 years old, father's age is:","36","42","48","54","42","2 parts=12. One part=6. Father=7×6=42.","Easy","Problems on Ages"
7,"A is 5 years older than B. If B is 15 years old, A's age is:","18","20","25","30","20","A=B+5=20.","Easy","Problems on Ages"
8,"A person's age after 10 years will be 35 years. Present age is:","20","25","30","35","25","Present age=35-10=25.","Easy","Problems on Ages"
9,"The average age of two persons is 25 years. If one person is 30 years old, the other is:","15","20","25","30","20","Total age=50. Other=50-30=20.","Easy","Problems on Ages"
10,"The sum of ages of father and son is 60 years. Father is 5 times son's age. Son's age is:","8","10","12","15","10","Let son=x. Father=5x. 6x=60. x=10.","Medium","Problems on Ages"
11,"A mother is 3 times as old as her daughter. If daughter is 12 years old, mother's age is:","24","30","36","40","36","Mother=3×12=36.","Easy","Problems on Ages"
12,"The difference between ages of two persons is 15 years. If younger is 20, older is:","25","30","35","40","35","Older=20+15=35.","Easy","Problems on Ages"
13,"The ratio of ages of two brothers is 4:7. If younger brother is 16 years old, older brother is:","24","28","32","36","28","4 parts=16. One part=4. Older=7×4=28.","Medium","Problems on Ages"
14,"A man is 24 years older than his son. After 6 years, man's age will be twice son's age. Son's present age is:","12","14","18","20","18","Let son=x. x+24+6=2(x+6). x=18.","Hard","Problems on Ages"
15,"Five years ago, A was 20 years old. Present age of A is:","20","22","25","30","25","Present age=20+5=25.","Easy","Problems on Ages"
16,"Ten years from now, B will be 40 years old. Present age of B is:","20","25","30","35","30","Present age=40-10=30.","Easy","Problems on Ages"
17,"The ratio of ages of A and B is 5:8. If their difference is 18 years, A's age is:","20","25","30","35","30","Difference parts=3. One part=6. A=5×6=30.","Medium","Problems on Ages"
18,"The sum of ages of three friends is 72 years. Their ages are in ratio 2:3:4. Youngest age is:","12","16","18","24","16","Total parts=9. One part=8. Youngest=2×8=16.","Medium","Problems on Ages"
19,"A father is 30 years older than his son. After 5 years father will be three times son's age. Son's present age is:","10","12","15","18","10","Let son=x. x+30+5=3(x+5). x=10.","Hard","Problems on Ages"
20,"The present ages of A and B are in ratio 6:7. After 6 years ratio becomes 7:8. A's present age is:","24","30","36","42","36","Let ages=6x,7x. (6x+6)/(7x+6)=7/8. x=6. A=36.","Hard","Problems on Ages"
