ID,Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,Difficulty,Topic
1,"What is 25% of 200?","25","50","75","100","50","25/100 × 200 = 50.","Easy","Percentages"
2,"What is 10% of 500?","25","50","75","100","50","10/100 × 500 = 50.","Easy","Percentages"
3,"What is 50% of 800?","200","300","400","500","400","50/100 × 800 = 400.","Easy","Percentages"
4,"What is 75% of 400?","200","250","300","350","300","75/100 × 400 = 300.","Easy","Percentages"
5,"20 is what percent of 100?","10%","20%","25%","50%","20%","(20/100) × 100 = 20%.","Easy","Percentages"
6,"40 is what percent of 200?","10%","15%","20%","25%","20%","(40/200) × 100 = 20%.","Easy","Percentages"
7,"A number increased from 100 to 120. Find the percentage increase.","10%","15%","20%","25%","20%","Increase = 20, Percentage = 20/100×100 = 20%.","Easy","Percentages"
8,"A number decreases from 500 to 400. Find percentage decrease.","10%","15%","20%","25%","20%","Decrease = 100, Percentage = 100/500×100 = 20%.","Easy","Percentages"
9,"Find 30% of 900.","200","250","270","300","270","30/100 × 900 = 270.","Easy","Percentages"
10,"Find 15% of 600.","60","75","90","120","90","15/100 × 600 = 90.","Easy","Percentages"
11,"A student scores 80 marks out of 100. Percentage is?","60%","70%","80%","90%","80%","Percentage = 80/100×100 = 80%.","Easy","Percentages"
12,"A student scores 450 out of 500. Percentage is?","80%","85%","90%","95%","90%","450/500×100 = 90%.","Easy","Percentages"
13,"Find 12% of 250.","25","30","35","40","30","12/100 × 250 = 30.","Easy","Percentages"
14,"Find 35% of 400.","120","140","160","180","140","35/100 × 400 = 140.","Easy","Percentages"
15,"Find 5% of 800.","20","30","40","50","40","5/100 × 800 = 40.","Easy","Percentages"
16,"A number is increased by 25%. If original number is 200, new number is?","225","250","275","300","250","Increase = 25% of 200 = 50, total = 250.","Medium","Percentages"
17,"A number is decreased by 10%. If original number is 500, new number is?","400","450","475","490","450","Decrease = 50, new value = 450.","Medium","Percentages"
18,"40% of a number is 80. Find the number.","150","200","250","300","200","Number = 80×100/40 = 200.","Medium","Percentages"
19,"25% of a number is 75. Find the number.","200","250","300","350","300","Number = 75×100/25 = 300.","Medium","Percentages"
20,"60% of a number is 120. Find the number.","150","180","200","240","200","Number = 120×100/60 = 200.","Medium","Percentages"
21,"A price of $500 is increased by 20%. New price is?","$550","$600","$650","$700","$600","Increase = 20% of $500 = $100, total = $600.","Medium","Percentages"
22,"A price of $800 is reduced by 25%. New price is?","$500","$600","$650","$700","$600","Decrease = 25% of $800 = $200, new price = $600.","Medium","Percentages"
23,"The population increases from 2000 to 2400. Percentage increase?","10%","15%","20%","25%","20%","Increase = 400, 400/2000×100 = 20%.","Medium","Percentages"
24,"The value decreases from 1000 to 850. Percentage decrease?","10%","15%","20%","25%","15%","Decrease = 150, 150/1000×100 = 15%.","Medium","Percentages"
25,"A number after 30% increase becomes 260. Find original number.","180","200","220","240","200","Original = 260×100/130 = 200.","Hard","Percentages"
ID,Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,Difficulty,Topic
26,"Find 45% of 600.","240","270","300","320","270","45/100 × 600 = 270.","Easy","Percentages"
27,"Find 65% of 400.","240","250","260","280","260","65/100 × 400 = 260.","Easy","Percentages"
28,"Find 18% of 500.","80","90","100","120","90","18/100 × 500 = 90.","Easy","Percentages"
29,"Find 22% of 900.","180","198","200","220","198","22/100 × 900 = 198.","Easy","Percentages"
30,"Find 8% of 750.","50","60","70","80","60","8/100 × 750 = 60.","Easy","Percentages"
31,"A salary of $2000 is increased by 15%. What is the new salary?","$2200","$2300","$2400","$2500","$2300","Increase = 15% of 2000 = 300. New salary = 2300.","Medium","Percentages"
32,"A salary of $3000 is decreased by 20%. What is the new salary?","$2200","$2400","$2500","$2600","$2400","Decrease = 20% of 3000 = 600. New salary = 2400.","Medium","Percentages"
33,"A number increases from 250 to 300. Find percentage increase.","15%","20%","25%","30%","20%","Increase = 50. Percentage = 50/250×100 = 20%.","Medium","Percentages"
34,"A number decreases from 800 to 600. Find percentage decrease.","20%","25%","30%","35%","25%","Decrease = 200. Percentage = 200/800×100 = 25%.","Medium","Percentages"
35,"A student gets 360 marks out of 450. Find percentage.","70%","75%","80%","85%","80%","360/450×100 = 80%.","Easy","Percentages"
36,"A student gets 525 marks out of 700. Find percentage.","65%","70%","75%","80%","75%","525/700×100 = 75%.","Easy","Percentages"
37,"If 35% of a number is 140, find the number.","300","400","500","600","400","Number = 140×100/35 = 400.","Medium","Percentages"
38,"If 75% of a number is 225, find the number.","250","300","350","400","300","Number = 225×100/75 = 300.","Medium","Percentages"
39,"If 12% of a number is 48, find the number.","300","400","500","600","400","Number = 48×100/12 = 400.","Medium","Percentages"
40,"A product price increases from $400 to $500. Percentage increase?","20%","25%","30%","35%","25%","Increase = 100. Percentage = 100/400×100 = 25%.","Medium","Percentages"
