Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
The Constitution of India was adopted on?,15 August 1947,26 January 1950,26 November 1949,2 October 1949,26 November 1949,"The Constituent Assembly adopted the Indian Constitution on 26 November 1949."
The Constitution of India came into force on?,26 January 1950,15 August 1947,26 November 1949,9 December 1946,26 January 1950,"The Constitution was implemented on 26 January 1950, celebrated as Republic Day."
The Chairman of the Drafting Committee was?,Jawaharlal Nehru,B.R. Ambedkar,Rajendra Prasad,Sardar Patel,B.R. Ambedkar,"Dr. B.R. Ambedkar was the Chairman of the Drafting Committee."
The Constituent Assembly was formed in?,1946,1947,1950,1952,1946,"The Constituent Assembly was created under the Cabinet Mission Plan in 1946."
The first meeting of the Constituent Assembly was held on?,9 December 1946,15 August 1947,26 January 1950,26 November 1949,9 December 1946,"The first meeting took place on 9 December 1946."
The temporary chairman of Constituent Assembly was?,B.R. Ambedkar,Sachchidananda Sinha,Rajendra Prasad,Nehru,Sachchidananda Sinha,"Sachchidananda Sinha was the temporary chairman."
The permanent President of Constituent Assembly was?,Rajendra Prasad,Nehru,Ambedkar,Patel,Rajendra Prasad,"Dr. Rajendra Prasad became the permanent President."
The Indian Constitution is the world's?,Longest written constitution,Shortest constitution,Unwritten constitution,Flexible constitution,Longest written constitution,"India has the longest written constitution among sovereign nations."
The Preamble begins with?,We the People of India,India is a Republic,Justice for all,Liberty and Equality,We the People of India,"The Preamble starts with 'We, the People of India'."
India is described in the Preamble as?,Federal State,Sovereign Socialist Secular Democratic Republic,Monarchy,Unitary State,Sovereign Socialist Secular Democratic Republic,"These words define India's constitutional identity."
The words Socialist and Secular were added by?,42nd Amendment,44th Amendment,73rd Amendment,86th Amendment,42nd Amendment,"The 42nd Constitutional Amendment added these terms in 1976."
The Preamble is borrowed from the Constitution of?,USA,UK,Canada,Ireland,USA,"The idea of Preamble was inspired by the US Constitution."
Fundamental Rights are mentioned in?,Part III,Part IV,Part V,Part II,Part III,"Part III contains Fundamental Rights."
Directive Principles are mentioned in?,Part IV,Part III,Part VI,Part I,Part IV,"DPSPs are included in Part IV."
Fundamental Duties are mentioned in?,Part IVA,Part III,Part V,Part VI,Part IVA,"Fundamental Duties were added as Part IVA."
Fundamental Duties were added by?,42nd Amendment,44th Amendment,52nd Amendment,73rd Amendment,42nd Amendment,"They were added in 1976 by the 42nd Amendment."
The number of Fundamental Rights currently is?,6,7,8,5,6,"Originally there were 7 rights; Right to Property was removed."
Right to Equality is covered under?,Articles 14-18,Articles 19-22,Articles 23-24,Articles 25-28,Articles 14-18,"Articles 14 to 18 provide Right to Equality."
Right to Freedom is covered under?,Articles 19-22,Articles 14-18,Articles 32-35,Articles 36-51,Articles 19-22,"Articles 19 to 22 deal with Right to Freedom."
Right against Exploitation is covered under?,Articles 23-24,Articles 25-28,Articles 29-30,Articles 14-18,Articles 23-24,"It prohibits trafficking and child labour."
Right to Freedom of Religion is covered under?,Articles 25-28,Articles 19-22,Articles 32-35,Articles 14-18,Articles 25-28,"Articles 25 to 28 guarantee religious freedom."
Cultural and Educational Rights are in?,Articles 29-30,Articles 21-22,Articles 14-18,Articles 23-24,Articles 29-30,"These protect minority cultural interests."
Right to Constitutional Remedies is under?,Article 32,Article 21,Article 19,Article 14,Article 32,"Article 32 allows citizens to approach Supreme Court for rights protection."
Dr. Ambedkar called Article 32 as?,Heart and Soul of Constitution,Basic Structure,Golden Rule,Main Law,Heart and Soul of Constitution,"Ambedkar described Article 32 as the heart and soul."
Right to Education is under?,Article 21A,Article 19,Article 32,Article 44,Article 21A,"Article 21A provides free and compulsory education."
Right to Property is now a?,Fundamental Right,Legal Right,Natural Right,Political Right,Legal Right,"It became a legal right under Article 300A."
Directive Principles were borrowed from?,Ireland,USA,Canada,Russia,Ireland,"DPSPs were inspired by the Irish Constitution."
Fundamental Rights were borrowed from?,USA,UK,Ireland,France,USA,"Fundamental Rights were inspired by the US Bill of Rights."
Emergency provisions were borrowed from?,Germany,USA,Canada,Australia,Germany,"Emergency provisions were influenced by the Weimar Constitution."
The Indian Constitution follows?,Parliamentary system,Presidential system,Monarchy,Dictatorship,Parliamentary system,"India adopted the British parliamentary system."
The concept of Republic was borrowed from?,France,USA,UK,Ireland,France,"The idea of Republic came from France."
The idea of Federal system was borrowed from?,Canada,USA,UK,Russia,Canada,"Federal features were inspired by Canada."
The procedure of amendment was borrowed from?,South Africa,USA,UK,Australia,South Africa,"The amendment procedure was influenced by South Africa."
The Constitution contains how many Schedules currently?,12,10,8,14,12,"There are 12 Schedules in the Constitution."
The Constitution originally had how many Articles?,395,448,300,500,395,"Originally it contained 395 Articles."
The Constitution originally had how many Schedules?,8,10,12,14,8,"The original Constitution had 8 Schedules."
The first amendment was passed in?,1951,1950,1952,1955,1951,"The First Amendment was enacted in 1951."
The Basic Structure doctrine was given in?,Kesavananda Bharati case,Golaknath case,Minerva Mills case,Berubari case,Kesavananda Bharati case,"The Supreme Court introduced Basic Structure doctrine in 1973."
The Supreme Court is the guardian of?,Constitution,Parliament,President,State Legislature,Constitution,"The Supreme Court protects the Constitution."
The highest law of India is?,Constitution,Parliament Act,IPC,CrPC,Constitution,"All laws must follow the Constitution."
The head of the Indian State is?,President,Prime Minister,Chief Justice,Governor,President,"The President is the constitutional head."
The head of the Government is?,Prime Minister,President,Governor,Chief Justice,Prime Minister,"The Prime Minister leads the government."
The Indian Constitution provides for?,Single citizenship,Double citizenship,No citizenship,State citizenship only,Single citizenship,"India follows single citizenship."
The concept of single citizenship was borrowed from?,UK,USA,Canada,Australia,UK,"Single citizenship was adopted from Britain."
The Union and its Territory is mentioned in?,Part I,Part II,Part III,Part IV,Part I,"Part I deals with Union and territory."
Citizenship provisions are mentioned in?,Part II,Part III,Part IV,Part V,Part II,"Part II contains citizenship provisions."
The official language of Union is?,Hindi,Hindi and English only,Sanskrit,English,Hindi,"Hindi in Devanagari script is the official language."
The Constitution provides for?,Independent judiciary,Dependent judiciary,Military rule,Single party rule,Independent judiciary,"Judiciary is independent under the Constitution."
The Election Commission is mentioned in?,Article 324,Article 280,Article 148,Article 356,Article 324,"Article 324 establishes the Election Commission."
