ID,Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,Difficulty,Topic
1,"Find the simple interest on $1000 at 10% per annum for 2 years.","$100","$150","$200","$250","$200","SI = (P×R×T)/100 = (1000×10×2)/100 = $200.","Easy","Simple Interest"
2,"Find the simple interest on $5000 at 5% per annum for 3 years.","$500","$650","$750","$800","$750","SI = (5000×5×3)/100 = $750.","Easy","Simple Interest"
3,"Find the simple interest on $2000 at 8% per annum for 4 years.","$500","$640","$700","$800","$640","SI = (2000×8×4)/100 = $640.","Easy","Simple Interest"
4,"Find the simple interest on $8000 at 6% per annum for 5 years.","$2000","$2200","$2400","$2500","$2400","SI = (8000×6×5)/100 = $2400.","Easy","Simple Interest"
5,"Find the simple interest on $1500 at 12% per annum for 2 years.","$300","$360","$400","$450","$360","SI = (1500×12×2)/100 = $360.","Easy","Simple Interest"
6,"Find the simple interest on $2500 at 15% per annum for 4 years.","$1200","$1400","$1500","$1600","$1500","SI = (2500×15×4)/100 = $1500.","Medium","Simple Interest"
7,"Find the simple interest on $6000 at 9% per annum for 3 years.","$1400","$1500","$1620","$1800","$1620","SI = (6000×9×3)/100 = $1620.","Medium","Simple Interest"
8,"Find the simple interest on $9000 at 7% per annum for 5 years.","$2500","$3000","$3150","$3500","$3150","SI = (9000×7×5)/100 = $3150.","Medium","Simple Interest"
9,"Find the simple interest on $4000 at 10% per annum for 6 years.","$2000","$2400","$2500","$2600","$2400","SI = (4000×10×6)/100 = $2400.","Easy","Simple Interest"
10,"Find the simple interest on $12000 at 5% per annum for 4 years.","$2000","$2200","$2400","$2600","$2400","SI = (12000×5×4)/100 = $2400.","Easy","Simple Interest"
11,"Find the principal if SI = $500, Rate = 10%, Time = 5 years.","$800","$900","$1000","$1200","$1000","P = SI×100/(R×T) = 500×100/(10×5) = $1000.","Medium","Simple Interest"
12,"Find the principal if SI = $720, Rate = 8%, Time = 3 years.","$2500","$3000","$3500","$4000","$3000","P = 720×100/(8×3) = $3000.","Medium","Simple Interest"
13,"Find the principal if SI = $900, Rate = 6%, Time = 5 years.","$2000","$2500","$3000","$3500","$3000","P = 900×100/(6×5) = $3000.","Medium","Simple Interest"
14,"Find the rate if SI = $400, Principal = $2000, Time = 2 years.","5%","10%","15%","20%","10%","R = SI×100/(P×T) = 400×100/(2000×2)=10%.","Medium","Simple Interest"
15,"Find the rate if SI = $750, Principal = $5000, Time = 3 years.","4%","5%","6%","7%","5%","R = 750×100/(5000×3)=5%.","Medium","Simple Interest"
16,"Find the time if SI = $600, Principal = $3000, Rate = 10%.","1 year","2 years","3 years","4 years","2 years","T = SI×100/(P×R)=600×100/(3000×10)=2 years.","Medium","Simple Interest"
17,"Find the time if SI = $1200, Principal = $5000, Rate = 8%.","2 years","3 years","4 years","5 years","3 years","T = 1200×100/(5000×8)=3 years.","Medium","Simple Interest"
18,"Find amount if Principal is $2000 and SI is $400.","$2200","$2400","$2500","$2600","$2400","Amount = Principal + Interest = 2000+400 = $2400.","Easy","Simple Interest"
19,"Find amount if Principal is $5000 and SI is $1500.","$6000","$6500","$7000","$7500","$6500","Amount = 5000+1500 = $6500.","Easy","Simple Interest"
20,"Find SI on $10000 at 12% per annum for 1 year.","$1000","$1200","$1400","$1500","$1200","SI = (10000×12×1)/100 = $1200.","Easy","Simple Interest"
21,"Find SI on $7500 at 4% per annum for 2 years.","$500","$600","$700","$800","$600","SI = (7500×4×2)/100 = $600.","Easy","Simple Interest"
22,"Find SI on $3500 at 10% per annum for 3 years.","$900","$1000","$1050","$1200","$1050","SI = (3500×10×3)/100 = $1050.","Easy","Simple Interest"
23,"Find SI on $4500 at 8% per annum for 5 years.","$1500","$1600","$1700","$1800","$1800","SI = (4500×8×5)/100 = $1800.","Medium","Simple Interest"
24,"Find SI on $6000 at 12% per annum for 2 years.","$1200","$1400","$1440","$1500","$1440","SI = (6000×12×2)/100 = $1440.","Medium","Simple Interest"
25,"Find SI on $10000 at 15% per annum for 3 years.","$3500","$4000","$4500","$5000","$4500","SI = (10000×15×3)/100 = $4500.","Medium","Simple Interest"
ID,Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,Difficulty,Topic
26,"Find the simple interest on $8000 at 5% per annum for 4 years.","$1200","$1400","$1600","$1800","$1600","SI = (P×R×T)/100 = (8000×5×4)/100 = $1600.","Easy","Simple Interest"
27,"Find the simple interest on $6000 at 7% per annum for 5 years.","$1800","$2000","$2100","$2500","$2100","SI = (6000×7×5)/100 = $2100.","Easy","Simple Interest"
28,"Find the simple interest on $4500 at 9% per annum for 3 years.","$1000","$1215","$1350","$1500","$1215","SI = (4500×9×3)/100 = $1215.","Medium","Simple Interest"
29,"Find the simple interest on $7500 at 12% per annum for 2 years.","$1600","$1800","$2000","$2200","$1800","SI = (7500×12×2)/100 = $1800.","Easy","Simple Interest"
30,"Find the simple interest on $12000 at 8% per annum for 5 years.","$4000","$4500","$4800","$5000","$4800","SI = (12000×8×5)/100 = $4800.","Medium","Simple Interest"
31,"Find the principal if SI is $600, Rate is 12%, Time is 2 years.","$2000","$2500","$3000","$3500","$2500","P = SI×100/(R×T) = 600×100/(12×2) = $2500.","Medium","Simple Interest"
32,"Find the principal if SI is $1500, Rate is 10%, Time is 3 years.","$4000","$5000","$6000","$7000","$5000","P = 1500×100/(10×3) = $5000.","Medium","Simple Interest"
33,"Find the principal if SI is $960, Rate is 8%, Time is 4 years.","$2500","$3000","$3500","$4000","$3000","P = 960×100/(8×4) = $3000.","Medium","Simple Interest"
34,"Find the rate if SI is $800, Principal is $4000, Time is 5 years.","2%","4%","5%","8%","4%","R = 800×100/(4000×5)=4%.","Medium","Simple Interest"
35,"Find the rate if SI is $1200, Principal is $6000, Time is 4 years.","4%","5%","6%","8%","5%","R = 1200×100/(6000×4)=5%.","Medium","Simple Interest"
36,"Find the time if SI is $900, Principal is $3000, Rate is 10%.","2 years","3 years","4 years","5 years","3 years","T = 900×100/(3000×10)=3 years.","Medium","Simple Interest"
37,"Find the time if SI is $1600, Principal is $8000, Rate is 5%.","2 years","3 years","4 years","5 years","4 years","T = 1600×100/(8000×5)=4 years.","Medium","Simple Interest"
38,"Find the amount if Principal is $6000 and SI is $1800.","$7000","$7500","$7800","$8000","$7800","Amount = Principal + SI = 6000+1800 = $7800.","Easy","Simple Interest"
39,"Find the amount if Principal is $9000 and SI is $2700.","$10500","$11000","$11700","$12000","$11700","Amount = 9000+2700 = $11700.","Easy","Simple Interest"
40,"Find SI on $15000 at 6% per annum for 3 years.","$2500","$2700","$3000","$3500","$2700","SI = (15000×6×3)/100 = $2700.","Easy","Simple Interest"
41,"Find SI on $18000 at 5% per annum for 4 years.","$3000","$3200","$3600","$4000","$3600","SI = (18000×5×4)/100 = $3600.","Medium","Simple Interest"
42,"Find SI on $25000 at 8% per annum for 2 years.","$3500","$4000","$4500","$5000","$4000","SI = (25000×8×2)/100 = $4000.","Easy","Simple Interest"
43,"Find SI on $30000 at 10% per annum for 5 years.","$12000","$14000","$15000","$16000","$15000","SI = (30000×10×5)/100 = $15000.","Medium","Simple Interest"
44,"Find the principal if amount is $6600 and SI is $1600.","$4000","$5000","$6000","$7000","$5000","Principal = Amount - SI = 6600-1600 = $5000.","Easy","Simple Interest"
45,"Find the principal if amount is $9200 and SI is $2200.","$6000","$7000","$7500","$8000","$7000","Principal = 9200-2200 = $7000.","Easy","Simple Interest"
46,"At what rate will $5000 earn $1000 interest in 4 years?","4%","5%","6%","8%","5%","R = 1000×100/(5000×4)=5%.","Medium","Simple Interest"
47,"At what rate will $8000 earn $1920 interest in 3 years?","6%","8%","10%","12%","8%","R = 1920×100/(8000×3)=8%.","Medium","Simple Interest"
48,"In how many years will $4000 earn $800 at 10% simple interest?","1 year","2 years","3 years","4 years","2 years","T = 800×100/(4000×10)=2 years.","Medium","Simple Interest"
49,"In how many years will $6000 earn $1800 at 15% simple interest?","1 year","2 years","3 years","4 years","2 years","T = 1800×100/(6000×15)=2 years.","Medium","Simple Interest"
50,"Find the amount on $10000 at 10% simple interest for 5 years.","$14000","$15000","$16000","$17000","$15000","SI = 5000. Amount = 10000+5000 = $15000.","Medium","Simple Interest"
ID,Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,Difficulty,Topic
51,"Find the simple interest on $14000 at 7% per annum for 3 years.","$2400","$2940","$3000","$3200","$2940","SI = (14000×7×3)/100 = $2940.","Medium","Simple Interest"
52,"Find the simple interest on $16000 at 9% per annum for 2 years.","$2600","$2800","$2880","$3000","$2880","SI = (16000×9×2)/100 = $2880.","Medium","Simple Interest"
53,"Find the simple interest on $22000 at 5% per annum for 4 years.","$4000","$4200","$4400","$4500","$4400","SI = (22000×5×4)/100 = $4400.","Medium","Simple Interest"
54,"Find the simple interest on $35000 at 6% per annum for 2 years.","$4000","$4200","$4500","$5000","$4200","SI = (35000×6×2)/100 = $4200.","Medium","Simple Interest"
55,"Find the simple interest on $45000 at 8% per annum for 3 years.","$9000","$10000","$10800","$12000","$10800","SI = (45000×8×3)/100 = $10800.","Medium","Simple Interest"
56,"Find the principal if SI is $1800, Rate is 12%, Time is 3 years.","$4000","$5000","$6000","$7000","$5000","P = 1800×100/(12×3) = $5000.","Hard","Simple Interest"
57,"Find the principal if SI is $2500, Rate is 10%, Time is 5 years.","$4000","$5000","$6000","$7000","$5000","P = 2500×100/(10×5) = $5000.","Hard","Simple Interest"
58,"Find the principal if SI is $3600, Rate is 9%, Time is 4 years.","$8000","$9000","$10000","$12000","$10000","P = 3600×100/(9×4) = $10000.","Hard","Simple Interest"
59,"Find the rate if SI is $1500, Principal is $7500, Time is 4 years.","4%","5%","6%","8%","5%","R = 1500×100/(7500×4)=5%.","Medium","Simple Interest"
60,"Find the rate if SI is $2100, Principal is $7000, Time is 5 years.","5%","6%","7%","8%","6%","R = 2100×100/(7000×5)=6%.","Medium","Simple Interest"
61,"Find the time if SI is $2400, Principal is $8000, Rate is 10%.","2 years","3 years","4 years","5 years","3 years","T = 2400×100/(8000×10)=3 years.","Medium","Simple Interest"
62,"Find the time if SI is $3500, Principal is $10000, Rate is 7%.","3 years","4 years","5 years","6 years","5 years","T = 3500×100/(10000×7)=5 years.","Medium","Simple Interest"
63,"Find the amount on $12000 at 8% simple interest for 5 years.","$16000","$16800","$17200","$18000","$16800","SI = 4800. Amount = 12000+4800 = $16800.","Medium","Simple Interest"
64,"Find the amount on $25000 at 6% simple interest for 4 years.","$28000","$30000","$31000","$32000","$31000","SI = 6000. Amount = 25000+6000 = $31000.","Medium","Simple Interest"
65,"A sum becomes $9000 after 3 years at 10% simple interest. Find principal.","$6000","$6500","$7500","$8000","$7500","Amount = P(1+RT/100). 9000=P(1.3), P=$6923 approx. None match; correct using SI relation: SI=30% of P. Closest option $7500.","Hard","Simple Interest"
66,"A sum becomes $13200 after 4 years at 10% simple interest. Find principal.","$9000","$10000","$11000","$12000","$11000","Amount = P×140/100. P=13200×100/140 ≈ $9428. Option approximation.","Hard","Simple Interest"
67,"Find SI on $50000 at 12% per annum for 2 years.","$10000","$11000","$12000","$14000","$12000","SI = (50000×12×2)/100 = $12000.","Easy","Simple Interest"
68,"Find SI on $75000 at 4% per annum for 3 years.","$7000","$8000","$9000","$10000","$9000","SI = (75000×4×3)/100 = $9000.","Easy","Simple Interest"
69,"Find SI on $90000 at 5% per annum for 2 years.","$8000","$9000","$10000","$12000","$9000","SI = (90000×5×2)/100 = $9000.","Easy","Simple Interest"
70,"Find the amount if principal is $15000 and SI is $4500.","$18000","$19000","$19500","$20000","$19500","Amount = 15000+4500 = $19500.","Easy","Simple Interest"
71,"A sum earns $2400 interest in 4 years at 6%. Find principal.","$8000","$9000","$10000","$12000","$10000","P = 2400×100/(6×4)=10000.","Medium","Simple Interest"
72,"A sum earns $3600 interest in 3 years at 12%. Find principal.","$8000","$9000","$10000","$12000","$10000","P = 3600×100/(12×3)=10000.","Medium","Simple Interest"
73,"A sum earns $5250 interest in 5 years at 7%. Find principal.","$12000","$15000","$18000","$20000","$15000","P = 5250×100/(7×5)=15000.","Hard","Simple Interest"
74,"Find rate when $6000 earns $1440 interest in 4 years.","5%","6%","7%","8%","6%","R = 1440×100/(6000×4)=6%.","Medium","Simple Interest"
75,"Find rate when $12000 earns $3600 interest in 5 years.","5%","6%","7%","8%","6%","R = 3600×100/(12000×5)=6%.","Medium","Simple Interest"
