Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
Who is known as the Father of Indian Constitution?,Mahatma Gandhi,B.R Ambedkar,Jawaharlal Nehru,Sardar Patel,B.R Ambedkar,"Dr. B.R Ambedkar was the Chairman of the Drafting Committee and played a major role in framing the Constitution."
The Constitution of India was adopted on?,15 August 1947,26 January 1950,26 November 1949,2 October 1950,26 November 1949,"The Constituent Assembly adopted the Constitution on 26 November 1949."
The Constitution of India came into force on?,15 August 1947,26 January 1950,26 November 1949,1 January 1950,26 January 1950,"The Constitution came into effect on 26 January 1950, celebrated as Republic Day."
The Indian Constitution is?,Shortest constitution,Longest written constitution,Unwritten constitution,Federal only,Longest written constitution,"The Indian Constitution is the world's longest written constitution."
The Constituent Assembly was formed in?,1945,1946,1947,1950,1946,"The Constituent Assembly was established under the Cabinet Mission Plan of 1946."
The original Constitution contained how many Articles?,395,448,250,300,395,"The original Constitution had 395 Articles, 22 Parts and 8 Schedules."
The Indian Constitution has how many Schedules currently?,8,10,12,14,12,"At present, the Constitution contains 12 Schedules."
The Preamble begins with which words?,Jai Hind,We the People of India,Satyameva Jayate,Vande Mataram,We the People of India,"The Preamble starts with 'We, the People of India'."
India is described as a?,Monarchy,Sovereign Socialist Secular Democratic Republic,Dictatorship,Unitary State,Sovereign Socialist Secular Democratic Republic,"These words define the nature of the Indian state."
Fundamental Rights are included in which Part?,Part I,Part II,Part III,Part IV,Part III,"Part III of the Constitution contains Fundamental Rights."
Directive Principles of State Policy are in?,Part III,Part IV,Part V,Part VI,Part IV,"DPSP are mentioned in Part IV."
Fundamental Duties are included in?,Part III,Part IVA,Part V,Part VI,Part IVA,"Fundamental Duties were added by the 42nd Constitutional Amendment."
Right to Equality is covered under Articles?,12-13,14-18,19-22,23-24,14-18,"Articles 14 to 18 deal with Right to Equality."
Right to Freedom is covered under Articles?,14-18,19-22,23-24,25-28,19-22,"Articles 19 to 22 provide Right to Freedom."
Right against Exploitation is covered under?,Articles 23-24,Articles 25-28,Articles 29-30,Articles 32-35,Articles 23-24,"It prohibits human trafficking and child labour."
Right to Freedom of Religion is under?,Articles 14-18,Articles 19-22,Articles 25-28,Articles 29-30,Articles 25-28,"These articles provide religious freedom."
Cultural and Educational Rights are under?,Articles 29-30,Articles 32-35,Articles 19-22,Articles 14-18,Articles 29-30,"These rights protect minority culture and education."
Right to Constitutional Remedies is under?,Article 21,Article 32,Article 44,Article 50,Article 32,"Article 32 allows citizens to approach Supreme Court for enforcement of rights."
Who is the constitutional head of India?,Prime Minister,President,Chief Justice,Governor,President,"The President is the head of the Indian State."
Who is the real executive head of India?,President,Prime Minister,Governor,Chief Justice,Prime Minister,"The Prime Minister and Council of Ministers exercise executive power."
The President of India is elected by?,Direct election,Electoral college,Prime Minister,Parliament only,Electoral college,"The President is elected by elected MPs and MLAs."
Minimum age to become President of India?,25 years,30 years,35 years,40 years,35 years,"A person must complete 35 years to become President."
The term of President is?,4 years,5 years,6 years,7 years,5 years,"The President holds office for five years."
The Vice President is elected by?,People,State Assemblies,Members of Parliament,Governors,Members of Parliament,"The Vice President is elected by members of both Houses of Parliament."
The Vice President is the ex-officio Chairman of?,Lok Sabha,Rajya Sabha,Supreme Court,State Assembly,Rajya Sabha,"The Vice President presides over Rajya Sabha."
The Prime Minister is appointed by?,President,Chief Justice,Governor,Speaker,President,"The President appoints the Prime Minister."
The Council of Ministers is headed by?,President,Prime Minister,Home Minister,Speaker,Prime Minister,"The Prime Minister heads the Council of Ministers."
The Parliament of India consists of?,Lok Sabha only,Rajya Sabha only,President and two Houses,Supreme Court and Houses,President and two Houses,"Indian Parliament includes President, Lok Sabha and Rajya Sabha."
The maximum strength of Lok Sabha is?,545,552,500,600,552,"The Constitution provides a maximum strength of 552 members."
The maximum strength of Rajya Sabha is?,250,245,300,200,250,"Rajya Sabha can have a maximum of 250 members."
The minimum age for Lok Sabha membership is?,18,21,25,30,25,"A candidate must be at least 25 years old."
The minimum age for Rajya Sabha membership is?,25,30,35,40,30,"A person must be 30 years old for Rajya Sabha."
Who presides over Lok Sabha?,President,Speaker,Vice President,Prime Minister,Speaker,"The Speaker conducts Lok Sabha proceedings."
Who presides over Rajya Sabha?,President,Vice President,Speaker,Prime Minister,Vice President,"The Vice President is the Chairman of Rajya Sabha."
A Money Bill can be introduced only in?,Rajya Sabha,Lok Sabha,Supreme Court,State Assembly,Lok Sabha,"Money Bills can only originate in Lok Sabha."
The final authority to decide whether a bill is Money Bill is?,President,Speaker of Lok Sabha,Prime Minister,Rajya Sabha Speaker,Speaker of Lok Sabha,"The Lok Sabha Speaker's decision is final."
