ID,Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,Difficulty,Topic
1,"Find the HCF of 12 and 18.","2","3","6","9","6","Factors of 12 and 18 are compared. Highest common factor is 6.","Easy","LCM HCF"
2,"Find the LCM of 4 and 6.","8","10","12","24","12","Multiples of 4 and 6 meet first at 12.","Easy","LCM HCF"
3,"Find the HCF of 24 and 36.","6","8","12","18","12","12 is the greatest number that divides both 24 and 36.","Easy","LCM HCF"
4,"Find the LCM of 8 and 12.","24","36","48","96","24","LCM of 8 and 12 is 24.","Easy","LCM HCF"
5,"Find the HCF of 20 and 30.","5","10","15","20","10","Common factors are 1,2,5,10; highest is 10.","Easy","LCM HCF"
6,"Find the LCM of 5 and 10.","10","15","20","25","10","10 is the smallest common multiple.","Easy","LCM HCF"
7,"Find the HCF of 45 and 60.","5","10","15","20","15","15 divides both 45 and 60.","Easy","LCM HCF"
8,"Find the LCM of 9 and 12.","18","24","36","48","36","LCM using prime factors = 36.","Medium","LCM HCF"
9,"Find the HCF of 36 and 48.","6","12","18","24","12","12 is the highest common factor.","Easy","LCM HCF"
10,"Find the LCM of 15 and 20.","40","50","60","80","60","LCM of 15 and 20 is 60.","Medium","LCM HCF"
11,"Find the HCF of 72 and 96.","12","18","24","36","24","24 is the greatest common divisor.","Medium","LCM HCF"
12,"Find the LCM of 18 and 24.","36","48","72","96","72","LCM of 18 and 24 is 72.","Medium","LCM HCF"
13,"Find the HCF of 100 and 150.","25","50","75","100","50","50 divides both numbers and is highest.","Easy","LCM HCF"
14,"Find the LCM of 6 and 15.","15","30","45","60","30","LCM of 6 and 15 is 30.","Easy","LCM HCF"
15,"Find the HCF of 42 and 56.","7","14","21","28","14","14 is the greatest common factor.","Medium","LCM HCF"
16,"Find the LCM of 14 and 21.","28","42","56","84","42","LCM of 14 and 21 is 42.","Medium","LCM HCF"
17,"Find the HCF of 25 and 35.","5","10","15","20","5","Common factor is 5.","Easy","LCM HCF"
18,"Find the LCM of 25 and 30.","50","75","100","150","150","LCM of 25 and 30 is 150.","Medium","LCM HCF"
19,"Find the HCF of 64 and 80.","8","16","32","40","16","16 divides both numbers.","Medium","LCM HCF"
20,"Find the LCM of 16 and 20.","40","60","80","100","80","LCM of 16 and 20 is 80.","Medium","LCM HCF"
