id,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
1,The study of environment is called?,Ecology,Biology,Geology,Physics,Ecology,Ecology is the study of relationships between organisms and their environment.
2,The largest ecosystem on Earth is?,Forest,Biosphere,Ocean,Desert,Biosphere,Biosphere includes all living organisms and their surroundings on Earth.
3,The main source of energy for ecosystems is?,Moon,Sun,Wind,Water,Sun,Sun provides energy for photosynthesis and supports life.
4,The green plants in an ecosystem are called?,Consumers,Producers,Decomposers,Carnivores,Producers,Plants produce food through photosynthesis.
5,Animals that depend on plants or other animals for food are called?,Producers,Consumers,Decomposers,Autotrophs,Consumers,Consumers obtain energy by eating other organisms.
6,Organisms that break down dead matter are?,Consumers,Decomposers,Herbivores,Carnivores,Decomposers,Decomposers recycle nutrients by breaking down organic matter.
7,The first trophic level contains?,Carnivores,Herbivores,Producers,Decomposers,Producers,Producers form the base of the food chain.
8,A sequence showing energy transfer is called?,Food chain,Water cycle,Nitrogen cycle,Carbon cycle,Food chain,Food chain represents feeding relationships among organisms.
9,A network of interconnected food chains is called?,Food web,Ecosystem,Biome,Habitat,Food web,Food webs show multiple feeding relationships.
10,The natural home of an organism is called?,Habitat,Biosphere,Population,Community,Habitat,Habitat provides conditions needed for survival.
11,Biodiversity means?,Variety of life,Pollution,Climate change,Deforestation,Variety of life,Biodiversity refers to diversity of plants, animals and microorganisms.
12,The number of species is highest in?,Tropical forests,Deserts,Polar regions,Grasslands,Tropical forests,Tropical forests support high biodiversity.
13,The largest rainforest in the world is?,Amazon rainforest,Thar forest,Sundarbans,Taiga,Amazon rainforest,Amazon rainforest has the greatest forest cover.
14,The greenhouse gas responsible for global warming is mainly?,Oxygen,Carbon dioxide,Nitrogen,Hydrogen,Carbon dioxide,CO₂ traps heat in the atmosphere.
15,Ozone layer protects Earth from?,Infrared rays,UV rays,Visible rays,Radio waves,UV rays,Ozone absorbs harmful ultraviolet radiation.
16,Ozone depletion is mainly caused by?,CFCs,Carbon dioxide,Oxygen,Nitrogen,CFCs,CFCs damage ozone molecules.
17,Global warming refers to?,Increase in Earth's temperature,Decrease in temperature,Rainfall increase only,Wind movement,Increase in Earth's temperature,Global warming is the rise in average temperature.
18,Climate change is caused by?,Natural and human activities,Only animals,Only plants,Only oceans,Natural and human activities,Climate change has multiple causes including human emissions.
19,Acid rain is mainly caused by?,SO₂ and NOx,Oxygen,Nitrogen,Hydrogen,SO₂ and NOx,These gases react with water to form acids.
20,The major cause of air pollution is?,Vehicle emissions,Plants,Rainfall,Sunlight,Vehicle emissions,Vehicles release harmful pollutants.
21,Water pollution is caused by?,Industrial waste,Clean water,Plant growth,Rain,Industrial waste,Waste discharge contaminates water bodies.
22,Noise pollution is measured in?,Decibel,Metre,Litre,Kilogram,Decibel,Decibel measures sound intensity.
23,The process of planting trees is called?,Afforestation,Deforestation,Urbanization,Mining,Afforestation,Afforestation increases forest cover.
24,Removal of forests is called?,Deforestation,Afforestation,Conservation,Recycling,Deforestation,Deforestation reduces forest area.
25,The Chipko Movement was related to?,Forest conservation,Water conservation,Wildlife hunting,Pollution control,Forest conservation,Chipko Movement protected trees from cutting.
26,Project Tiger was launched in?,1973,1980,1990,2000,1973,Project Tiger was started to protect tigers in India.
27,The national animal of India is?,Lion,Tiger,Elephant,Leopard,Tiger,Royal Bengal Tiger is India's national animal.
28,The national bird of India is?,Peacock,Sparrow,Eagle,Crow,Peacock,Indian Peacock is the national bird.
29,Wildlife Protection Act of India was passed in?,1972,1985,1995,2005,1972,It provides protection to wildlife species.
30,The Environment Protection Act was enacted in?,1986,1972,1991,2000,1986,It provides legal protection for the environment.
31,The Forest Conservation Act was passed in?,1980,1975,1990,2001,1980,It controls diversion of forest land.
32,The Biological Diversity Act was passed in?,2002,1992,1986,2010,2002,It promotes conservation of biodiversity.
33,Ramsar Convention is related to?,Wetlands,Forests,Deserts,Mountains,Wetlands,Ramsar sites are important wetlands.
34,The first national park in India is?,Jim Corbett National Park,Kaziranga National Park,Gir National Park,Kanha National Park,Jim Corbett National Park,Jim Corbett was established in 1936.
35,Kaziranga National Park is famous for?,One-horned rhinoceros,Tiger,Lion,Elephant,One-horned rhinoceros,Kaziranga protects the Indian one-horned rhinoceros.
36,Gir National Park is famous for?,Asiatic lions,Tigers,Rhinos,Deer,Asiatic lions,Gir is the only natural habitat of Asiatic lions.
37,Sundarbans are famous for?,Mangrove forests,Deserts,Grasslands,Coral reefs,Mangrove forests,Sundarbans contain large mangrove ecosystems.
38,Renewable energy source is?,Solar energy,Coal,Petroleum,Natural gas,Solar energy,Solar energy can be naturally replenished.
39,Non-renewable resource is?,Coal,Solar energy,Wind energy,Hydropower,Coal,Coal takes millions of years to form.
40,Sustainable development means?,Meeting present needs without harming future generations,Stopping development,Using all resources quickly,Only industrial growth,Meeting present needs without harming future generations,Sustainable development balances growth and conservation.
41,The 3R principle includes?,Reduce Reuse Recycle,Remove Repair Replace,Read Run Return,Reduce Restore React,Reduce Reuse Recycle,3Rs help minimize waste.
42,Composting converts waste into?,Manure,Plastic,Metal,Glass,Manure,Organic waste decomposes into compost.
43,E-waste includes?,Electronic waste,Food waste,Plastic waste,Water waste,Electronic waste,E-waste contains discarded electronic devices.
44,The Kyoto Protocol deals with?,Climate change,Wildlife,Forests,Water pollution,Climate change,Kyoto Protocol aims to reduce greenhouse gas emissions.
45,Paris Agreement is related to?,Climate change,Biodiversity,Ocean trade,Mining,Climate change,Paris Agreement addresses global warming.
46,UNEP stands for?,United Nations Environment Programme,United National Energy Programme,Universal Environment Plan,United Ecology Project,United Nations Environment Programme,UNEP works on global environmental issues.
47,The headquarters of UNEP is in?,Nairobi,New York,Paris,London,Nairobi,UNEP headquarters is located in Kenya.
48,The Earth Day is celebrated on?,April 22,June 5,March 21,July 11,April 22,Earth Day promotes environmental awareness.
49,World Environment Day is celebrated on?,June 5,April 22,May 1,December 5,June 5,World Environment Day raises environmental awareness.
50,The largest source of freshwater is?,Glaciers and ice caps,Rivers,Lakes,Rain,Glaciers and ice caps,Most freshwater is stored in ice caps and glaciers.
id,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
51,The largest ecosystem in the world is?,Forest,Biosphere,Grassland,Ocean,Biosphere,Biosphere includes all ecosystems present on Earth.
52,The process by which plants make food is called?,Respiration,Photosynthesis,Transpiration,Digestion,Photosynthesis,Plants use sunlight, carbon dioxide and water to prepare food.
53,The gas essential for photosynthesis is?,Oxygen,Carbon dioxide,Nitrogen,Hydrogen,Carbon dioxide,Plants use carbon dioxide to produce glucose.
