Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
The basic unit of life is?,Cell,Tissue,Organ,Atom,Cell,Cell is the smallest structural and functional unit of living organisms.
The powerhouse of the cell is?,Nucleus,Mitochondria,Ribosome,Golgi body,Mitochondria,Mitochondria produces energy in the form of ATP.
The control center of a cell is?,Nucleus,Cytoplasm,Cell wall,Vacuole,Nucleus,Nucleus controls all cellular activities.
DNA stands for?,Deoxyribonucleic Acid,Dinucleic Acid,Ribonucleic Acid,Deoxy Acid,Deoxyribonucleic Acid,DNA carries genetic information.
RNA stands for?,Ribonucleic Acid,Random Nucleic Acid,Reactive Nucleic Acid,Ribose Nitrogen Acid,Ribonucleic Acid,RNA helps in protein synthesis.
Photosynthesis occurs in?,Mitochondria,Chloroplast,Ribosome,Nucleus,Chloroplast,Chloroplast contains chlorophyll for photosynthesis.
The green pigment in plants is?,Hemoglobin,Chlorophyll,Melanin,Carotene,Chlorophyll,Chlorophyll absorbs sunlight for photosynthesis.
Plants prepare food using?,Photosynthesis,Respiration,Digestion,Transpiration,Photosynthesis,Photosynthesis converts light energy into food.
The largest organ in human body is?,Heart,Skin,Liver,Brain,Skin,Skin is the largest organ of the human body.
The largest gland in human body is?,Pancreas,Liver,Thyroid,Salivary gland,Liver,Liver performs metabolism and detoxification.
The smallest bone in human body is?,Femur,Stapes,Tibia,Rib,Stapes,Stapes is the smallest bone found in ear.
The longest bone in human body is?,Femur,Humerus,Tibia,Radius,Femur,Femur is the longest and strongest bone.
The normal temperature of human body is?,37°C,40°C,25°C,30°C,37°C,Normal body temperature is about 37°C.
The red colour of blood is due to?,Chlorophyll,Hemoglobin,Melanin,Plasma,Hemoglobin,Hemoglobin contains iron and gives blood its red colour.
White blood cells help in?,Digestion,Immunity,Movement,Respiration,Immunity,WBCs protect the body from infections.
Platelets help in?,Blood clotting,Oxygen transport,Digestion,Hormone production,Blood clotting,Platelets stop bleeding by clot formation.
The human heart has how many chambers?,2,3,4,5,4,The heart has two atria and two ventricles.
The largest part of human brain is?,Cerebrum,Cerebellum,Medulla,Spinal cord,Cerebrum,Cerebrum controls thinking and memory.
The respiratory organ in humans is?,Heart,Lungs,Kidney,Liver,Lungs,Lungs exchange oxygen and carbon dioxide.
The functional unit of kidney is?,Neuron,Nephron,Alveoli,Tissue,Nephron,Nephron filters blood and forms urine.
Insulin is secreted by?,Liver,Pancreas,Thyroid,Kidney,Pancreas,Pancreas produces insulin to control blood sugar.
Deficiency of Vitamin C causes?,Rickets,Scurvy,Beriberi,Night blindness,Scurvy,Vitamin C deficiency causes scurvy.
Deficiency of Vitamin D causes?,Scurvy,Rickets,Anemia,Goitre,Rickets,Vitamin D deficiency affects bones.
Vitamin A deficiency causes?,Night blindness,Scurvy,Beriberi,Rickets,Night blindness,Vitamin A is essential for vision.
Vitamin B1 deficiency causes?,Beriberi,Scurvy,Rickets,Goitre,Beriberi,VVitamin B1 deficiency causes beriberi.
The hormone responsible for growth is?,Insulin,Growth hormone,Adrenaline,Thyroxine,Growth hormone,Growth hormone helps body growth.
The thyroid gland produces?,Insulin,Thyroxine,Adrenaline,Estrogen,Thyroxine,Thyroxine controls metabolism.
The study of plants is called?,Zoology,Botany,Physics,Chemistry,Botany,Botany is the study of plants.
The study of animals is called?,Botany,Zoology,Geology,Ecology,Zoology,Zoology deals with animals.
The study of microorganisms is?,Microbiology,Physics,Astronomy,Chemistry,Microbiology,Microbiology studies microscopic organisms.
Bacteria are?,Multicellular,Single-celled organisms,Non-living,Viruses,Single-celled organisms,Bacteria are unicellular organisms.
Viruses can reproduce only inside?,Water,Host cells,Soil,Air,Host cells,VViruses need host cells for reproduction.
The father of genetics is?,Darwin,Mendel,Newton,Einstein,Mendel,Gregor Mendel discovered laws of inheritance.
The theory of evolution was given by?,Darwin,Mendel,Newton,Watson,Darwin,Darwin proposed natural selection theory.
The process of cell division is called?,Respiration,Cell division,Digestion,Photosynthesis,Cell division,Cells divide to produce new cells.
The unit of heredity is?,Gene,Cell,Tissue,Chromosome,Gene,Genes carry hereditary information.
Chromosomes are present in?,Cell wall,Nucleus,Cytoplasm,Membrane,Nucleus,Chromosomes are found inside the nucleus.
The number of chromosomes in humans is?,23,46,44,48,46,Humans have 46 chromosomes arranged in 23 pairs.
The process of breathing is called?,Respiration,Digestion,Circulation,Excretion,Respiration,Respiration releases energy from food.
The organ responsible for digestion is?,Stomach,Lung,Heart,Brain,Stomach,Stomach helps digest food.
The enzyme present in saliva is?,Pepsin,Amylase,Trypsin,Lipase,Amylase,Salivary amylase breaks starch.
The acid present in stomach is?,Sulfuric acid,Hydrochloric acid,Nitric acid,Acetic acid,Hydrochloric acid,HCl helps digest food and kills microbes.
The main component of bones is?,Calcium,Iron,Sodium,Potassium,Calcium,Calcium provides strength to bones.
The gas used in photosynthesis is?,Oxygen,Nitrogen,Carbon dioxide,Hydrogen,Carbon dioxide,Plants use CO2 to prepare food.
The gas released during photosynthesis is?,Carbon dioxide,Oxygen,Nitrogen,Hydrogen,Oxygen,Oxygen is released as a byproduct.
The process of water loss from plants is?,Transpiration,Respiration,Photosynthesis,Germination,Transpiration,Plants lose water vapour through stomata.
The male reproductive part of flower is?,Stamen,Pistil,Sepal,Petal,Stamen,Stamen produces pollen grains.
The female reproductive part of flower is?,Stamen,Pistil,Anther,Filament,Pistil,Pistil contains ovary and receives pollen.
The process of seed formation is?,Pollination,Fertilization,Respiration,Transpiration,Fertilization,Fertilization leads to formation of seeds.
Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
The SI unit of force is?,Joule,Newton,Watt,Pascal,Newton,Newton is the SI unit of force.
The SI unit of work is?,Joule,Newton,Watt,Volt,Joule,Joule is the unit of work and energy.
The SI unit of power is?,Watt,Joule,Newton,Ohm,Watt,Watt measures the rate of doing work.
The SI unit of pressure is?,Pascal,Joule,Watt,Newton,Pascal,Pascal is the SI unit of pressure.
The SI unit of electric current is?,Volt,Ampere,Ohm,Watt,Ampere,Ampere is the unit of electric current.
The SI unit of resistance is?,Volt,Ohm,Ampere,Watt,Ohm,Ohm measures electrical resistance.
The speed of light is approximately?,3×10⁸ m/s,3×10⁶ m/s,3×10⁴ m/s,3×10² m/s,3×10⁸ m/s,Light travels at about 300 million metres per second.
The instrument used to measure temperature is?,Barometer,Thermometer,Hygrometer,Ammeter,Thermometer,Thermometer measures temperature.
