Question,Answer
What is C programming?,C is a general-purpose procedural programming language developed by Dennis Ritchie in 1972.
Who developed the C language?,Dennis Ritchie developed the C programming language at Bell Labs.
What are the features of C?,C is simple portable efficient structured modular and supports low-level programming.
What is a token in C?,A token is the smallest unit of a C program such as keywords identifiers constants operators and separators.
What are keywords in C?,Keywords are reserved words that have predefined meanings in the C language.
What are identifiers?,Identifiers are user-defined names for variables functions arrays and other program elements.
What are variables?,Variables are named memory locations used to store data.
What are constants?,Constants are fixed values that do not change during program execution.
What are the basic data types in C?,The basic data types are int char float double and void.
What is the size of an int in C?,The size of int is typically 4 bytes depending on the compiler and system architecture.
What is the difference between float and double?,Float provides single precision while double provides double precision floating-point values.
What is the void data type?,The void data type represents the absence of a value or return type.
What is type casting?,Type casting is the process of converting one data type into another.
What is implicit type conversion?,Implicit type conversion is performed automatically by the compiler.
What is explicit type conversion?,Explicit type conversion is performed manually using the cast operator.
What are operators in C?,Operators are symbols used to perform operations on variables and values.
What are arithmetic operators?,Arithmetic operators include plus minus multiplication division and modulus.
What are relational operators?,Relational operators compare two values and return true or false.
What are logical operators?,Logical operators include AND OR and NOT.
What is the difference between = and ==?,The assignment operator assigns a value while the equality operator compares two values.
What is the increment operator?,The increment operator increases the value of a variable by one.
What is the decrement operator?,The decrement operator decreases the value of a variable by one.
What is the precedence of operators?,Operator precedence determines the order in which operations are evaluated.
What is the main() function?,The main() function is the entry point of every C program.
What is the purpose of the return statement in main()?,The return statement indicates the program execution status to the operating system.
Question,Answer
What is an if statement?,An if statement executes a block of code when a specified condition is true.
What is an if-else statement?,An if-else statement executes one block if the condition is true and another block if it is false.
What is an else-if ladder?,An else-if ladder checks multiple conditions sequentially until one is true.
What is a nested if statement?,A nested if statement is an if statement inside another if statement.
What is a switch statement?,A switch statement selects one of many code blocks based on the value of an expression.
What is the difference between if-else and switch?,if-else evaluates conditions while switch compares a single expression against multiple constant values.
What is the purpose of the break statement?,The break statement terminates a loop or switch statement immediately.
What is the purpose of the continue statement?,The continue statement skips the current iteration and proceeds to the next iteration of the loop.
What is a loop?,A loop repeatedly executes a block of code until a specified condition becomes false.
What are the types of loops in C?,The three types of loops are for while and do-while.
What is a for loop?,A for loop is used when the number of iterations is known.
What is a while loop?,A while loop executes as long as the specified condition is true.
What is a do-while loop?,A do-while loop executes the loop body at least once before checking the condition.
What is an infinite loop?,An infinite loop is a loop that never terminates because its condition always remains true.
What is an array?,An array is a collection of elements of the same data type stored in contiguous memory locations.
How do you declare an array?,An array is declared by specifying the data type followed by the array name and size.
How do you initialize an array?,An array is initialized by assigning values within curly braces during declaration.
What is a multidimensional array?,A multidimensional array is an array containing one or more arrays such as a two-dimensional matrix.
What is a string in C?,A string is a character array terminated by the null character '\0'.
Which header file contains string functions?,The string functions are declared in the string.h header file.
What are the commonly used string functions?,Common string functions include strlen strcpy strcat strcmp strchr and strstr.
What is a function?,A function is a reusable block of code that performs a specific task.
What is the difference between actual and formal parameters?,Actual parameters are passed during a function call while formal parameters receive the values in the function definition.
What is function declaration?,A function declaration specifies the function name return type and parameters before its definition.
What is function definition?,A function definition contains the complete implementation of the function.
Question,Answer
What is recursion?,Recursion is a technique where a function calls itself until a base condition is met.
What is the base case in recursion?,The base case is the condition that stops recursive function calls.
What are the advantages of recursion?,Recursion simplifies problems that can be divided into smaller subproblems.
What are the disadvantages of recursion?,Recursion consumes more memory and may cause stack overflow if not used properly.
What is a pointer?,A pointer is a variable that stores the memory address of another variable.
How do you declare a pointer?,A pointer is declared using the * operator with a data type.
What is the NULL pointer?,A NULL pointer is a pointer that does not point to any valid memory location.
What is pointer arithmetic?,Pointer arithmetic allows incrementing decrementing and calculating addresses using pointers.
What is a dangling pointer?,A dangling pointer points to memory that has already been freed or deleted.
What is a wild pointer?,A wild pointer is an uninitialized pointer that points to an unknown memory location.
What is a void pointer?,A void pointer is a generic pointer that can hold the address of any data type.
What is a pointer to pointer?,A pointer to pointer stores the address of another pointer.
What is dynamic memory allocation?,Dynamic memory allocation allocates memory during program execution.
Which header file contains dynamic memory functions?,The stdlib.h header file contains dynamic memory allocation functions.
What is malloc()?,malloc() allocates a specified number of bytes of memory without initialization.
What is calloc()?,calloc() allocates memory for multiple elements and initializes them to zero.
What is realloc()?,realloc() changes the size of previously allocated memory.
What is free()?,free() releases dynamically allocated memory back to the operating system.
What is memory leak?,A memory leak occurs when allocated memory is not released after use.
What is a structure?,A structure is a user-defined data type that groups variables of different data types.
How do you access structure members?,Structure members are accessed using the dot operator or arrow operator with pointers.
What is a union?,A union is a user-defined data type where all members share the same memory location.
What is the difference between structure and union?,Structures allocate separate memory for each member while unions share the same memory among all members.
What is an enumeration?,An enumeration is a user-defined data type consisting of named integer constants.
What is the typedef keyword?,typedef is used to create an alias name for an existing data type.
