id="tgk1exp"
Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
Telangana was formed on?,2 June 2014,1 November 1956,15 August 1947,26 January 1950,2 June 2014,Telangana became the 29th state of India on 2 June 2014.
Telangana is the _____ state of India.,29th,28th,30th,31st,29th,Telangana was created as the 29th state before later state reorganizations.
The capital of Telangana is?,Hyderabad,Warangal,Nizamabad,Karimnagar,Hyderabad,Hyderabad serves as the capital city of Telangana.
The official language of Telangana is?,Telugu,Hindi,Tamil,Kannada,Telugu,Telugu is the major official language of Telangana.
The Telangana State Formation Day is celebrated on?,June 2,August 15,January 26,November 1,June 2,June 2 is observed as Telangana Formation Day.
The first Chief Minister of Telangana was?,K. Chandrashekar Rao,Kiran Kumar Reddy,N. Chandrababu Naidu,A. Revanth Reddy,K. Chandrashekar Rao,KCR became the first Chief Minister of Telangana in 2014.
The first Governor of Telangana was?,E. S. L. Narasimhan,C. Vidyasagar Rao,Tamilisai Soundararajan,Bandaru Dattatreya,E. S. L. Narasimhan,E.S.L. Narasimhan served as the first Governor of Telangana.
The Telangana movement was mainly associated with?,Separate statehood demand,Freedom struggle,Green Revolution,Industrial revolution,Separate statehood demand,The movement demanded a separate Telangana state.
The Telangana Rashtra Samithi was founded in?,2001,1998,2005,2010,2001,TRS was founded by K. Chandrashekar Rao in 2001.
TRS was renamed as?,BRS,YSR Congress,BJP,Telangana Congress,BRS,TRS was renamed Bharat Rashtra Samithi in 2022.
The largest city in Telangana is?,Hyderabad,Warangal,Khammam,Nizamabad,Hyderabad,Hyderabad is the largest urban area in Telangana.
The High Court of Telangana is located in?,Hyderabad,Warangal,Karimnagar,Adilabad,Hyderabad,The Telangana High Court is situated in Hyderabad.
The major river flowing through Telangana is?,Godavari,Ganga,Yamuna,Narmada,Godavari,Godavari is one of the major rivers of Telangana.
Another major river of Telangana is?,Krishna,Kaveri,Tapi,Mahanadi,Krishna,Krishna River flows through southern Telangana.
The state animal of Telangana is?,Spotted deer,Tiger,Blackbuck,Lion,Spotted deer,The spotted deer is the state animal of Telangana.
The state bird of Telangana is?,Indian Roller,Peacock,Parrot,Sparrow,Indian Roller,Indian Roller is the state bird of Telangana.
The state tree of Telangana is?,Jammi tree,Neem tree,Banyan tree,Mango tree,Jammi tree,Jammi tree has cultural importance in Telangana.
The state flower of Telangana is?,Tangedu flower,Rose,Lotus,Jasmine,Tangedu flower,Tangedu flower is associated with Bathukamma festival.
The famous festival of Telangana is?,Bathukamma,Pongal,Bihu,Onam,Bathukamma,Bathukamma is a major floral festival of Telangana.
The folk dance of Telangana is?,Perini Shivatandavam,Bharatanatyam,Kathak,Kuchipudi,Perini Shivatandavam,Perini Shivatandavam is a traditional warrior dance of Telangana.
The historic city of Warangal was ruled by?,Kakatiyas,Mughals,Cholas,Pallavas,Kakatiyas,Warangal was the capital of the Kakatiya dynasty.
The Kakatiya dynasty capital was?,Warangal,Hyderabad,Golconda,Bidar,Warangal,Warangal was the main centre of Kakatiya rule.
The famous Kakatiya ruler was?,Rudrama Devi,Akbar,Krishnadevaraya,Shivaji,Rudrama Devi,Rudrama Devi was a famous woman ruler of Kakatiya dynasty.
The Thousand Pillar Temple is located in?,Warangal,Hyderabad,Nizamabad,Adilabad,Warangal,It is a famous Kakatiya architectural monument.
The Ramappa Temple is located in?,Mulugu district,Hyderabad,Karimnagar,Nalgonda,Mulugu district,Ramappa Temple is a UNESCO World Heritage Site.
Golconda Fort was built by?,Qutb Shahi rulers,Kakatiyas,Cholas,Mughals,Qutb Shahi rulers,Golconda Fort was developed by Qutb Shahi rulers.
Charminar was built by?,Muhammad Quli Qutb Shah,Akbar,Aurangzeb,Rani Rudrama Devi,Muhammad Quli Qutb Shah,Charminar was built in 1591 by Quli Qutb Shah.
Hyderabad was founded by?,Muhammad Quli Qutb Shah,Asaf Jah,Nizam Ali Khan,Krishnadevaraya,Muhammad Quli Qutb Shah,Hyderabad was founded in 1591.
The Nizams belonged to?,Asaf Jahi dynasty,Kakatiya dynasty,Qutb Shahi dynasty,Chalukya dynasty,Asaf Jahi dynasty,The Nizams ruled Hyderabad state under Asaf Jahi dynasty.
The famous lake of Hyderabad is?,Hussain Sagar,Durgam Cheruvu only,Pulicat Lake,Dal Lake,Hussain Sagar,Hussain Sagar connects Hyderabad and Secunderabad.
The IT hub of Telangana is?,Hyderabad,Warangal,Karimnagar,Adilabad,Hyderabad,Hyderabad is known as a major IT centre.
The major IT area of Hyderabad is?,HITEC City,Charminar,Warangal Fort,Golconda,HITEC City,HITEC City is a major technology zone.
The famous airport of Hyderabad is?,Rajiv Gandhi International Airport,RGIA Mumbai,Begumpet Airport only,Warangal Airport,Rajiv Gandhi International Airport,RGIA is located at Shamshabad.
The state bird of Telangana was chosen for?,Cultural identity,Industrial growth,Mining,Agriculture,Cultural identity,The Indian Roller represents Telangana identity.
The Telangana Legislative Assembly has?,119 seats,175 seats,120 seats,90 seats,119 seats,Telangana Assembly has 119 elected members.
The Telangana Legislative Council has?,40 members,50 members,30 members,60 members,40 members,Telangana Legislative Council consists of 40 members.
The first woman governor of Telangana was?,Tamilisai Soundararajan,E.S.L Narasimhan,Droupadi Murmu,Anandiben Patel,Tamilisai Soundararajan,Tamilisai served as Telangana Governor.
The famous irrigation project on Godavari is?,Kaleshwaram Project,Nagarjuna Sagar,Srisailam,Polavaram,Kaleshwaram Project,Kaleshwaram is a major irrigation project in Telangana.
The major reservoir on Krishna River is?,Nagarjuna Sagar,Sriram Sagar,Kaleshwaram,Lower Manair,Nagarjuna Sagar,Nagarjuna Sagar dam is built on Krishna River.
The famous tiger reserve in Telangana is?,Kawal Tiger Reserve,Amrabad Tiger Reserve only,Simlipal,Kaziranga,Kawal Tiger Reserve,Kawal is a tiger reserve in Telangana.
Amrabad Tiger Reserve is located in?,Nallamala forest,Western Ghats,Aravalli,Himalayas,Nallamala forest,Amrabad lies in Nallamala forest region.
The major crop of Telangana is?,Rice,Wheat,Tea,Coffee,Rice,Rice is one of the important crops grown in Telangana.
The famous cotton market of Telangana is?,Adilabad,Hyderabad,Warangal only,Khammam,Adilabad,Adilabad is known for cotton production.
The state bird Indian Roller is locally called?,Palapitta,Mayura,Kokila,Hamsa,Palapitta,Palapitta is the Telugu name of Indian Roller.
The Telangana state emblem represents?,Kakatiya Kala Thoranam,Charminar only,Golconda only,Ramappa only,Kakatiya Kala Thoranam,The emblem includes Kakatiya Kala Thoranam.
The official animal symbol of Telangana is?,Jinka,Tiger,Lion,Elephant,Jinka,Jinka means spotted deer.
The famous textile industry of Telangana is?,Pochampally Ikat,Silk of Mysore,Kanchipuram silk,Banarasi,Pochampally Ikat,Pochampally is famous for Ikat weaving.
Pochampally is located in?,Yadadri Bhuvanagiri district,Hyderabad,Warangal,Adilabad,Yadadri Bhuvanagiri district,Pochampally village is famous for handloom.
id,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
51,The official dance of Telangana is?,Perini Shivatandavam,Kuchipudi,Bharatanatyam,Kathak,Perini Shivatandavam,Perini Shivatandavam is a traditional dance form associated with Telangana.
52,The famous Sammakka Saralamma Jatara is held at?,Medaram,Basara,Yadadri,Vemulawada,Medaram,Medaram Jatara is one of the largest tribal festivals in Asia.
53,Medaram Jatara is dedicated to?,Sammakka and Saralamma,Durga Devi,Venkateswara Swamy,Lord Shiva,Sammakka and Saralamma,It is a tribal festival honoring Sammakka and Saralamma.
54,Bathukamma festival is mainly celebrated by?,Women,Farmers,Students,Traders,Women,Bathukamma is a floral festival celebrated mainly by women.
55,Basara Saraswati Temple is located in?,Nirmal district,Hyderabad,Warangal,Karimnagar,Nirmal district,Basara temple is dedicated to Goddess Saraswati.
56,Yadadri Temple is dedicated to?,Lord Narasimha,Lord Shiva,Lord Rama,Lord Venkateswara,Lord Narasimha,Yadadri is a famous temple of Lord Lakshmi Narasimha.
57,Vemulawada temple is dedicated to?,Lord Shiva,Lord Vishnu,Goddess Durga,Lord Hanuman,Lord Shiva,Vemulawada Rajanna temple is dedicated to Lord Shiva.
58,The famous Buddhist site in Telangana is?,Phanigiri,Charminar,Golconda,Ramappa,Phanigiri,Phanigiri is an important Buddhist archaeological site.
59,The state sport of Telangana is?,Not officially declared,Cricket,Hockey,Kabaddi,Not officially declared,Telangana has not declared an official state sport.
60,The largest district of Telangana by area is?,Bhadradri Kothagudem,Hyderabad,Medchal,Karimnagar,Bhadradri Kothagudem,Bhadradri Kothagudem is the largest district by area.
61,The smallest district of Telangana by area is?,Hyderabad,Warangal,Nizamabad,Adilabad,Hyderabad,Hyderabad district is the smallest by geographical area.
62,The highest peak in Telangana is?,Doli Gutta,Ananthagiri Hills,Golconda Hills,Rachakonda,Doli Gutta,Doli Gutta is the highest peak of Telangana.
63,The major forest region of Telangana is?,Nallamala Forest,Western Ghats,Aravalli,Sundarbans,Nallamala Forest,Nallamala forest covers parts of southern Telangana.
64,The famous waterfall in Telangana is?,Kuntala Falls,Dudhsagar Falls,Jog Falls,Shivanasamudra,Kuntala Falls,Kuntala Falls is located in Nirmal district.
65,Kuntala Falls is formed by?,Kadam River,Godavari River,Krishna River,Musi River,Kadam River,Kuntala Falls is formed by Kadam River.
66,The Musi River flows through?,Hyderabad,Warangal,Adilabad,Nizamabad,Hyderabad,Musi River flows through Hyderabad city.
67,The twin cities of Telangana are?,Hyderabad and Secunderabad,Warangal and Hanamkonda,Nizamabad and Kamareddy,Karimnagar and Jagtial,Hyderabad and Secunderabad,Hyderabad and Secunderabad are known as twin cities.
68,Secunderabad was founded by?,Asaf Jah III,Qutb Shah,Rudrama Devi,Krishnadevaraya,Asaf Jah III,Secunderabad was named after Nizam Sikandar Jah.
69,The famous pearl city of India is?,Hyderabad,Mumbai,Delhi,Chennai,Hyderabad,Hyderabad is famous for pearl industry.
70,Hyderabad is known as the city of?,Pearls,Tea,Silk,Spices,Pearls,Hyderabad has a historical pearl trading industry.
71,The Telangana state animal Jinka means?,Spotted deer,Tiger,Lion,Elephant,Spotted deer,Jinka is the Telugu name for spotted deer.
72,The Telangana state flower Tangedu is associated with?,Bathukamma,Bonalu,Ugadi,Diwali,Bathukamma,Tangedu flowers are used in Bathukamma celebrations.
73,Bonalu festival is dedicated to?,Goddess Mahakali,Lord Shiva,Lord Vishnu,Lord Rama,Goddess Mahakali,Bonalu is a traditional Telangana festival honoring Mahakali.
74,The famous fort near Hyderabad is?,Golconda Fort,Red Fort,Agra Fort,Amer Fort,Golconda Fort,Golconda Fort is a historic Qutb Shahi fort.
75,The Charminar is located in?,Hyderabad,Warangal,Nalgonda,Khammam,Hyderabad,Charminar is the iconic monument of Hyderabad.
76,The famous monument of Kakatiya period is?,Warangal Fort,Taj Mahal,Charminar,Gateway of India,Warangal Fort,Warangal Fort represents Kakatiya architecture.
77,Ramappa Temple was built during?,Kakatiya period,Qutb Shahi period,Mughal period,Satavahana period,Kakatiya period,Ramappa Temple was built during Kakatiya rule.
78,The UNESCO World Heritage Site in Telangana is?,Ramappa Temple,Charminar,Golconda Fort,Hussain Sagar,Ramappa Temple,Ramappa Temple received UNESCO World Heritage status.
79,The largest lake in Telangana is?,Hussain Sagar,Ramappa Lake,Durgam Cheruvu,Osman Sagar,Hussain Sagar,Hussain Sagar is one of the major lakes of Telangana.
80,Singur Dam is built on?,Manjira River,Godavari,Krishna,Musi River,Manjira River,Singur Dam is constructed across Manjira River.
81,Sri Ram Sagar Project is built on?,Godavari River,Krishna River,Musi River,Tungabhadra River,Godavari River,Sri Ram Sagar Project is on Godavari River.
82,Nagarjuna Sagar Dam is built on?,Krishna River,Godavari River,Musi River,Kaveri River,Krishna River,Nagarjuna Sagar is built across Krishna River.
83,Telangana shares borders with how many states?,4,3,5,6,4,Telangana shares borders with Maharashtra,Chhattisgarh,Odisha,Karnataka and Andhra Pradesh.
84,The major language spoken in Telangana is?,Telugu,Hindi,Marathi,Tamil,Telugu,Telugu is the most widely spoken language.
85,The traditional dress festival of Telangana is?,Bathukamma,Pongal,Bihu,Onam,Bathukamma,Bathukamma is an important cultural festival.
86,The famous handloom village Pochampally is known for?,Ikat weaving,Silk production,Carpet making,Metal work,Ikat weaving,Pochampally Ikat is internationally famous.
87,The Telangana state song is?,Jaya Jayahe Telangana,Vande Mataram,Jana Gana Mana,Sare Jahan Se Achha,Jaya Jayahe Telangana,Jaya Jayahe Telangana is the state song of Telangana.
88,The composer of Telangana state song is?,Ande Sri,Sirivennela,Tyagaraja,Annamacharya,Ande Sri,Ande Sri wrote Jaya Jayahe Telangana.
89,The first woman Governor of Telangana was?,Tamilisai Soundararajan,Droupadi Murmu,Pratibha Patil,Anandiben Patel,Tamilisai Soundararajan,Tamilisai served as Telangana Governor.
90,The first Deputy Chief Minister of Telangana was?,Mohammed Ali Shabbir,T. Rajaiah,Kadiyam Srihari,None,T. Rajaiah,T. Rajaiah served as first Deputy CM of Telangana.
91,The Telangana Secretariat is located in?,Hyderabad,Warangal,Nizamabad,Khammam,Hyderabad,The state administration headquarters is in Hyderabad.
92,The state legislature of Telangana is?,Bicameral,Unicameral only,No legislature,Three houses,Bicameral,Telangana has Legislative Assembly and Legislative Council.
93,The Telangana Legislative Council was established in?,2007,2014,1998,2020,2007,The council existed before state formation and continued after 2014.
94,The main agricultural festival of Telangana is?,Sankranti,Bathukamma only,Bonalu only,Holi,Sankranti,Sankranti is celebrated as an agricultural festival.
95,The famous fort in Nizamabad district is?,Dichpally Ramalayam,Golconda,Warangal Fort,Charminar,Dichpally Ramalayam,Dichpally is a famous historical site.
96,The famous IT corridor of Hyderabad is?,HITEC City,Charminar area,Golconda area,Old City,HITEC City,HITEC City is the major IT hub.
