ID,Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,Difficulty,Topic
1,"Find the ratio of 20 to 40.","1:2","2:1","3:2","4:1","1:2","Ratio = 20:40 = 1:2.","Easy","Ratio & Proportion"
2,"Find the ratio of 45 to 60.","2:3","3:4","4:5","5:6","3:4","Divide both numbers by 15. 45:60 = 3:4.","Easy","Ratio & Proportion"
3,"Simplify the ratio 72:108.","2:3","3:4","4:5","5:6","2:3","HCF of 72 and 108 is 36. Ratio = 2:3.","Easy","Ratio & Proportion"
4,"The ratio of boys to girls is 3:2. If boys are 30, girls are:","15","20","25","30","20","3:2 = 30:x. x = 20.","Easy","Ratio & Proportion"
5,"The ratio of apples to oranges is 5:3. If apples are 25, oranges are:","10","15","20","30","15","5:3 = 25:x. x = 15.","Easy","Ratio & Proportion"
6,"Divide 600 in the ratio 2:3.","200,400","240,360","250,350","300,300","240,360","Total parts=5. One part=120. Values=240 and 360.","Medium","Ratio & Proportion"
7,"Divide 900 in the ratio 4:5.","300,600","400,500","450,450","360,540","400,500","Total parts=9. One part=100. Values=400 and 500.","Medium","Ratio & Proportion"
8,"The ratio of two numbers is 7:9 and their sum is 64. Find the numbers.","28,36","30,34","32,32","35,29","28,36","Total parts=16. One part=4. Numbers=28 and 36.","Medium","Ratio & Proportion"
9,"The ratio of two numbers is 5:8 and their difference is 21. Find the numbers.","30,51","35,56","40,61","45,66","35,56","Difference parts=3. One part=7. Numbers=35 and 56.","Medium","Ratio & Proportion"
10,"If a:b = 4:5 and b:c = 10:7, find a:b:c.","4:5:7","8:10:7","4:10:7","8:5:7","8:10:7","Make b common. a:b = 8:10 and b:c=10:7.","Hard","Ratio & Proportion"
11,"If x:y = 3:4 and y:z = 8:9, find x:y:z.","3:4:9","6:8:9","6:4:9","8:6:9","6:8:9","Make y common: x:y=6:8 and y:z=8:9.","Hard","Ratio & Proportion"
12,"Find the fourth proportional to 4, 8, 12.","20","24","30","36","24","4:8 = 12:x. x=24.","Medium","Ratio & Proportion"
13,"Find the third proportional to 6 and 12.","18","24","30","36","24","6:12 = 12:x. x=24.","Medium","Ratio & Proportion"
14,"If 5:x = 15:45, find x.","10","15","20","25","15","5/x = 15/45 = 1/3. x=15.","Easy","Ratio & Proportion"
15,"If 8:12 = x:18, find x.","10","12","14","16","12","8/12 = x/18. x=12.","Easy","Ratio & Proportion"
16,"The ratio of income and expenditure of a person is 5:3. If income is 25000, expenditure is:","10000","15000","18000","20000","15000","5:3 = 25000:x. x=15000.","Medium","Ratio & Proportion"
17,"The ratio of men and women in a company is 7:5. If men are 84, women are:","50","60","70","75","60","7:5 = 84:x. x=60.","Medium","Ratio & Proportion"
18,"The ratio of milk and water is 4:1. In 25 litres mixture, water is:","4 litres","5 litres","10 litres","20 litres","5 litres","Total parts=5. Water=25/5=5 litres.","Easy","Ratio & Proportion"
19,"A sum is divided between A and B in ratio 3:5. If B gets 400, A gets:","200","240","300","320","240","5 parts=400. 1 part=80. A=240.","Medium","Ratio & Proportion"
20,"The ratio of two ages is 4:5. If sum is 45, younger age is:","15","20","25","30","20","Total parts=9. One part=5. Younger=20.","Medium","Ratio & Proportion"
21,"The ratio of two numbers is 2:7. If larger number is 56, smaller number is:","12","14","16","18","16","7 parts=56. One part=8. Smaller=16.","Easy","Ratio & Proportion"
22,"If 12:18 = 20:x, find x.","25","30","35","40","30","12/18=20/x. x=30.","Medium","Ratio & Proportion"
23,"The ratio of present ages of A and B is 5:7. After 10 years ratio becomes 3:4. A's present age is:","20","25","30","35","50","Let ages be 5x and 7x. (5x+10)/(7x+10)=3/4. x=10. A=50.","Hard","Ratio & Proportion"
24,"Two numbers are in ratio 3:4. If their product is 432, numbers are:","12,16","15,20","18,24","20,25","18,24","Numbers=3x and 4x. 12x²=432, x=6. Numbers=18,24.","Hard","Ratio & Proportion"
