Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
The Indus Valley Civilization is also known as?,Harappan Civilization,Vedic Civilization,Mauryan Civilization,Gupta Civilization,Harappan Civilization,The Indus Valley Civilization is called Harappan Civilization because Harappa was one of its major sites.
The Great Bath was found at?,Harappa,Mohenjo-daro,Lothal,Kalibangan,Mohenjo-daro,The Great Bath is an important structure discovered at Mohenjo-daro.
The Indus Valley Civilization flourished mainly around which river?,Ganga,Indus,Narmada,Godavari,Indus,The civilization developed along the Indus River and its tributaries.
The script of Indus Valley Civilization is?,Decoded,Undeciphered,Sanskrit,Brahmi,Undeciphered,The Indus script has not been successfully deciphered.
The oldest Veda is?,Samaveda,Rigveda,Yajurveda,Atharvaveda,Rigveda,Rigveda is the oldest of the four Vedas.
The Vedic period is divided into?,Early and Later Vedic Period,Ancient and Modern,Stone and Iron,Harappan and Mauryan,Early and Later Vedic Period,The Vedic age is divided into Early Vedic and Later Vedic periods.
The founder of Mauryan Empire was?,Ashoka,Chandragupta Maurya,Bimbisara,Harsha,Chandragupta Maurya,Chandragupta Maurya established the Mauryan Empire.
Who wrote Arthashastra?,Kalidasa,Kautilya,Banabhatta,Charaka,Kautilya,Kautilya wrote Arthashastra on politics and administration.
Ashoka belonged to which dynasty?,Gupta,Maurya,Chola,Pallava,Maurya,Ashoka was a famous ruler of the Mauryan dynasty.
The Kalinga War was fought by?,Chandragupta Maurya,Ashoka,Harsha,Samudragupta,Ashoka,Ashoka changed his policy after the Kalinga War.
Ashoka embraced which religion?,Hinduism,Buddhism,Jainism,Islam,Buddhism,Ashoka adopted Buddhism after the Kalinga War.
The Gupta period is known as?,Golden Age,Dark Age,Stone Age,Modern Age,Golden Age,The Gupta period witnessed major developments in science, art and literature.
Who wrote Abhijnanasakuntalam?,Kalidasa,Tulsidas,Valmiki,Chanakya,Kalidasa,Kalidasa was a famous Gupta period poet and writer.
Aryabhata was famous for?,Medicine,Astronomy and Mathematics,Politics,Architecture,Astronomy and Mathematics,Aryabhata made important contributions to mathematics and astronomy.
The Ajanta caves belong mainly to?,Buddhist art,Mughal art,British art,Modern art,Buddhist art,Ajanta caves contain Buddhist paintings and sculptures.
Who founded the Delhi Sultanate?,Babur,Qutb-ud-din Aibak,Akbar,Humayun,Qutb-ud-din Aibak,Qutb-ud-din Aibak established the Delhi Sultanate.
The first dynasty of Delhi Sultanate was?,Slave Dynasty,Khilji Dynasty,Tughlaq Dynasty,Lodi Dynasty,Slave Dynasty,The Mamluk or Slave dynasty was the first Delhi Sultanate dynasty.
Who introduced market control system?,Alauddin Khilji,Iltutmish,Akbar,Shah Jahan,Alauddin Khilji,Alauddin Khilji controlled prices and markets.
The founder of Mughal Empire was?,Akbar,Babur,Humayun,Aurangzeb,Babur,Babur founded the Mughal Empire after the First Battle of Panipat.
The First Battle of Panipat was fought in?,1526,1556,1761,1857,1526,Babur defeated Ibrahim Lodi in the First Battle of Panipat.
Akbar's famous revenue minister was?,Birbal,Todar Mal,Man Singh,Abul Fazl,Todar Mal,Todar Mal introduced important revenue reforms.
The policy of religious tolerance was followed by?,Akbar,Aurangzeb,Ibrahim Lodi,Babur,Akbar,Akbar followed the policy of Sulh-i-kul.
The Taj Mahal was built by?,Akbar,Shah Jahan,Aurangzeb,Babur,Shah Jahan,Shah Jahan built the Taj Mahal in memory of Mumtaz Mahal.
The last powerful Mughal ruler was?,Akbar,Aurangzeb,Bahadur Shah Zafar,Babur,Aurangzeb,Aurangzeb was the last major Mughal emperor.
The Battle of Plassey was fought in?,1757,1764,1857,1526,1757,The British East India Company defeated Siraj-ud-Daulah in 1757.
The Battle of Buxar was fought in?,1764,1757,1857,1773,1764,The British victory in Buxar strengthened their control in India.
The Revolt of 1857 started at?,Delhi,Meerut,Kolkata,Mumbai,Meerut,The Revolt of 1857 began at Meerut.
Who was the last Mughal emperor?,Akbar,Bahadur Shah Zafar,Shah Jahan,Aurangzeb,Bahadur Shah Zafar,Bahadur Shah Zafar was the symbolic leader of the Revolt of 1857.
The Indian National Congress was founded in?,1885,1905,1919,1947,1885,INC was founded in 1885 by A.O. Hume.
The founder of Indian National Congress was?,A.O. Hume,Gandhi,Nehru,Tilak,A.O. Hume,A.O. Hume played a major role in forming INC.
The first President of INC was?,Dadabhai Naoroji,W.C. Bonnerjee,Gandhi,Nehru,W.C. Bonnerjee,W.C. Bonnerjee was the first INC president.
The Partition of Bengal took place in?,1905,1911,1920,1947,1905,Lord Curzon partitioned Bengal in 1905.
The Swadeshi Movement started against?,Rowlatt Act,Partition of Bengal,Salt Tax,Simon Commission,Partition of Bengal,Swadeshi Movement opposed the partition of Bengal.
The Non-Cooperation Movement was launched in?,1919,1920,1930,1942,1920,Gandhi launched Non-Cooperation Movement in 1920.
The Civil Disobedience Movement started with?,Quit India Movement,Dandi March,Swadeshi Movement,Home Rule Movement,Dandi March,Gandhi started Civil Disobedience through the Salt March.
The Quit India Movement was launched in?,1942,1930,1920,1947,1942,Quit India Movement demanded an end to British rule.
The slogan Do or Die was given by?,Nehru,Gandhi,Subhas Bose,Tilak,Gandhi,Gandhi gave the slogan during Quit India Movement.
The Salt March took place in?,1930,1942,1920,1919,1930,Gandhi led the Salt March against the salt law.
The Simon Commission came to India in?,1928,1935,1942,1947,1928,Simon Commission was opposed because it had no Indian members.
The Indian Independence Act was passed in?,1947,1942,1935,1950,1947,The Act granted independence to India and Pakistan.
India became a Republic in?,1947,1950,1952,1955,1950,India became a republic on 26 January 1950.
The first Governor-General of independent India was?,Lord Mountbatten,Curzon,Wavell,Irwin,Lord Mountbatten,Lord Mountbatten was the first Governor-General after independence.
The first Indian Governor-General was?,Rajendra Prasad,C. Rajagopalachari,Nehru,Patel,C. Rajagopalachari,C. Rajagopalachari was the first Indian Governor-General.
Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
Who is known as the Father of the Nation?,Jawaharlal Nehru,Mahatma Gandhi,Sardar Patel,B.R Ambedkar,Mahatma Gandhi,Mahatma Gandhi played a major role in India's freedom struggle through non-violence.
Who gave the slogan Swaraj is my birthright?,Mahatma Gandhi,Bal Gangadhar Tilak,Subhas Bose,Nehru,Bal Gangadhar Tilak,Tilak gave the famous slogan to demand self-rule.
The Home Rule Movement was started by?,Gandhi and Nehru,Tilak and Annie Besant,Bose and Patel,Ambedkar and Gandhi,Tilak and Annie Besant,The Home Rule Movement demanded self-government for India.
The Jallianwala Bagh massacre occurred in?,1919,1920,1930,1942,1919,General Dyer ordered firing at Jallianwala Bagh in 1919.
The Rowlatt Act was passed in?,1919,1925,1935,1947,1919,The Rowlatt Act allowed detention without trial.
The Khilafat Movement was started in?,1919,1925,1930,1942,1919,The movement supported the Ottoman Caliphate and was joined by Indian Muslims.
The Gandhi-Irwin Pact was signed in?,1931,1928,1942,1947,1931,The pact was signed between Gandhi and Lord Irwin before the Second Round Table Conference.
The Round Table Conferences were held in?,London,Delhi,Mumbai,Kolkata,London,The conferences were held in London to discuss constitutional reforms.
The Poona Pact was signed in?,1932,1935,1940,1947,1932,The Poona Pact was signed between Gandhi and Ambedkar regarding representation of depressed classes.
The Cripps Mission came to India in?,1942,1935,1947,1920,1942,The Cripps Mission offered proposals during World War II.
The Cabinet Mission came to India in?,1946,1942,1930,1950,1946,The Cabinet Mission proposed a plan for India's independence.
The Indian National Army was led by?,Bhagat Singh,Subhas Chandra Bose,Gandhi,Nehru,Subhas Chandra Bose,Bose reorganized and led the Indian National Army.
The slogan Jai Hind was popularized by?,Subhas Chandra Bose,Gandhi,Tilak,Nehru,Subhas Chandra Bose,Subhas Bose popularized the slogan Jai Hind.
Bhagat Singh belonged to which organization?,Hindustan Socialist Republican Association,Indian National Congress,Muslim League,Home Rule League,Hindustan Socialist Republican Association,Bhagat Singh was associated with revolutionary activities.
The Chauri Chaura incident occurred in?,1922,1930,1942,1919,1922,The incident led Gandhi to withdraw the Non-Cooperation Movement.
The Vernacular Press Act was passed in?,1878,1885,1905,1919,1878,Lord Lytton introduced the act to control Indian language newspapers.
The Ilbert Bill controversy occurred during the period of?,Lord Ripon,Lord Curzon,Lord Mountbatten,Lord Wellesley,Lord Ripon,The Ilbert Bill aimed to allow Indian judges to try British subjects.
The Permanent Settlement was introduced by?,Lord Cornwallis,Lord Curzon,Lord Dalhousie,Lord Ripon,Lord Cornwallis,The Permanent Settlement was introduced in Bengal in 1793.
The Doctrine of Lapse was introduced by?,Lord Dalhousie,Lord Curzon,Lord Canning,Lord Ripon,Lord Dalhousie,The Doctrine of Lapse was used to annex Indian states.
The Subsidiary Alliance was introduced by?,Lord Wellesley,Lord Dalhousie,Lord Cornwallis,Lord Curzon,Lord Wellesley,Lord Wellesley introduced the Subsidiary Alliance system.
The first Governor-General of Bengal was?,Warren Hastings,Cornwallis,Wellesley,Curzon,Warren Hastings,Warren Hastings was the first Governor-General of Bengal.
The Regulating Act was passed in?,1773,1784,1857,1905,1773,The Regulating Act was the first step of British parliamentary control over India.
The Pitt's India Act was passed in?,1784,1773,1858,1909,1784,The act increased British government control over the East India Company.
The Government of India Act 1858 transferred power to?,British Crown,East India Company,Indian Parliament,Mughal Emperor,British Crown,After the Revolt of 1857, India came under direct British rule.
The Morley-Minto Reforms were introduced in?,1909,1919,1935,1947,1909,The reforms introduced separate electorates.
The Montagu-Chelmsford Reforms were introduced in?,1919,1909,1935,1942,1919,The reforms introduced dyarchy in provinces.
The Government of India Act 1935 introduced?,Provincial autonomy,Complete independence,Republic system,Fundamental Rights,Provincial autonomy,The Act provided greater autonomy to provinces.
The Indian Councils Act 1909 is also known as?,Morley-Minto Reforms,Montford Reforms,Rowlatt Act,Regulating Act,Morley-Minto Reforms,The act was named after Morley and Minto.
The first session of INC was held at?,Bombay,Calcutta,Madras,Delhi,Bombay,The first INC session was held in Bombay in 1885.
The first woman president of INC was?,Sarojini Naidu,Annie Besant,Indira Gandhi,Aruna Asaf Ali,Annie Besant,Annie Besant became the first woman INC president.
The first Indian woman president of INC was?,Sarojini Naidu,Annie Besant,Indira Gandhi,Kasturba Gandhi,Sarojini Naidu,Sarojini Naidu was the first Indian woman president of INC.
The Muslim League was founded in?,1906,1885,1919,1947,1906,The All India Muslim League was founded in Dhaka.
The Lucknow Pact was signed in?,1916,1920,1930,1942,1916,The pact was an agreement between Congress and Muslim League.
The Simon Commission was boycotted because?,No Indian member,High taxes,Partition proposal,War policy,No Indian member,Indians opposed the commission due to lack of representation.
The Lahore Session of INC was held in?,1929,1931,1935,1942,1929,The Lahore Session declared Purna Swaraj as the goal.
The first President of INC from Andhra region was?,Annie Besant,W.C Bonnerjee,Pattabhi Sitaramayya,Gandhi,Pattabhi Sitaramayya,Pattabhi Sitaramayya was an important Congress leader from Andhra.
The Indian Constitution was drafted by?,Constituent Assembly,British Parliament,INC Committee,Governor General,Constituent Assembly,The Constituent Assembly prepared the Constitution.
The National Anthem of India was written by?,Bankim Chandra,Rabindranath Tagore,Gandhi,Nehru,Rabindranath Tagore,Tagore wrote Jana Gana Mana.
The National Song of India was written by?,Bankim Chandra Chattopadhyay,Tagore,Gandhi,Nehru,Bankim Chandra Chattopadhyay,Vande Mataram was written by Bankim Chandra.
The first census in India was conducted in?,1872,1881,1901,1947,1872,The first census was conducted during British rule.
The first complete census of India was conducted in?,1881,1872,1901,1911,1881,The census became regular from 1881.
The founder of Brahmo Samaj was?,Raja Ram Mohan Roy,Swami Vivekananda,Dayanand Saraswati,Ramakrishna,Raja Ram Mohan Roy,Raja Ram Mohan Roy founded Brahmo Samaj in 1828.
Arya Samaj was founded by?,Dayanand Saraswati,Vivekananda,Ram Mohan Roy,Ramakrishna,Dayanand Saraswati,Dayanand Saraswati founded Arya Samaj in 1875.
Ramakrishna Mission was founded by?,Swami Vivekananda,Dayanand Saraswati,Raja Ram Mohan Roy,Gandhi,Swami Vivekananda,Vivekananda founded Ramakrishna Mission in 1897.
Aligarh Movement was started by?,Sir Syed Ahmad Khan,Gandhi,Tilak,Nehru,Sir Syed Ahmad Khan,Sir Syed Ahmad Khan started the Aligarh Movement for Muslim education.
