ID,Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,Difficulty,Topic
1,"Find the compound interest on $1000 at 10% per annum for 2 years.","$200","$210","$220","$250","$210","Amount = 1000(1.1)^2 = 1210. CI = 1210-1000 = $210.","Easy","Compound Interest"
2,"Find the compound interest on $5000 at 5% per annum for 2 years.","$500","$512.50","$550","$600","$512.50","Amount = 5000(1.05)^2 = 5512.50. CI = $512.50.","Easy","Compound Interest"
3,"Find the compound interest on $2000 at 10% per annum for 3 years.","$600","$620","$662","$700","$662","Amount = 2000(1.1)^3 = 2662. CI = $662.","Medium","Compound Interest"
4,"Find the compound interest on $8000 at 5% per annum for 3 years.","$1200","$1261","$1300","$1400","$1261","Amount = 8000(1.05)^3 = 9261. CI = $1261.","Medium","Compound Interest"
5,"Find the compound interest on $1500 at 20% per annum for 2 years.","$600","$660","$720","$750","$660","Amount = 1500(1.2)^2 = 2160. CI = $660.","Medium","Compound Interest"
6,"Find the amount on $4000 at 10% compound interest for 2 years.","$4800","$4840","$5000","$5200","$4840","Amount = 4000(1.1)^2 = $4840.","Easy","Compound Interest"
7,"Find the amount on $6000 at 5% compound interest for 2 years.","$6600","$6615","$6700","$6800","$6615","Amount = 6000(1.05)^2 = $6615.","Easy","Compound Interest"
8,"Find the amount on $10000 at 10% compound interest for 3 years.","$13000","$13310","$13500","$14000","$13310","Amount = 10000(1.1)^3 = $13310.","Medium","Compound Interest"
9,"Find CI on $5000 at 8% per annum for 2 years.","$800","$832","$850","$900","$832","CI = 5000(1.08)^2 - 5000 = $832.","Medium","Compound Interest"
10,"Find CI on $2500 at 12% per annum for 2 years.","$600","$636","$650","$700","$636","Amount = 2500(1.12)^2 = 3136. CI = $636.","Medium","Compound Interest"
11,"Find compound interest on $3000 at 15% per annum for 2 years.","$900","$967.50","$1000","$1050","$967.50","Amount = 3000(1.15)^2 = 3967.50. CI = $967.50.","Medium","Compound Interest"
12,"Find compound interest on $7000 at 10% per annum for 2 years.","$1400","$1470","$1500","$1600","$1470","Amount = 7000(1.1)^2 = 8470. CI = $1470.","Easy","Compound Interest"
13,"Find CI on $9000 at 5% per annum for 2 years.","$900","$922.50","$950","$1000","$922.50","CI = 9000(1.05)^2 - 9000 = $922.50.","Medium","Compound Interest"
14,"Find CI on $12000 at 10% per annum for 2 years.","$2400","$2500","$2520","$2600","$2520","Amount = 12000(1.1)^2 = 14520. CI = $2520.","Medium","Compound Interest"
15,"Find CI on $20000 at 5% per annum for 2 years.","$2000","$2050","$2100","$2200","$2050","CI = 20000(1.05)^2 - 20000 = $2050.","Medium","Compound Interest"
16,"Find the difference between CI and SI on $1000 at 10% for 2 years.","$5","$10","$15","$20","$10","Difference for 2 years = P(R/100)^2 = 1000(10/100)^2 = $10.","Hard","Compound Interest"
17,"Find the difference between CI and SI on $5000 at 8% for 2 years.","$20","$32","$40","$50","$32","Difference = 5000(8/100)^2 = $32.","Hard","Compound Interest"
18,"Find the difference between CI and SI on $8000 at 5% for 2 years.","$10","$15","$20","$25","$20","Difference = 8000(5/100)^2 = $20.","Hard","Compound Interest"
19,"Find CI on $10000 at 20% per annum for 2 years.","$4000","$4400","$4500","$4800","$4400","Amount = 10000(1.2)^2 = 14400. CI = $4400.","Medium","Compound Interest"
