ID,Question,Topic,Difficulty
1,"What is a computer network?","Networking Basics","Easy"
2,"What are the advantages of computer networks?","Networking Basics","Easy"
3,"Explain different types of computer networks (LAN, MAN, WAN).","Network Types","Easy"
4,"What is the difference between LAN and WAN?","Network Types","Medium"
5,"What are network topologies? Explain different types.","Network Topologies","Easy"
6,"Explain bus topology and its advantages and disadvantages.","Network Topologies","Medium"
7,"Explain star topology and why it is widely used.","Network Topologies","Medium"
8,"What is the difference between hub, switch, and router?","Networking Devices","Medium"
9,"What is a MAC address?","Data Link Layer","Easy"
10,"What is an IP address?","Network Layer","Easy"
11,"Explain the difference between IPv4 and IPv6.","IP Addressing","Medium"
12,"What are the different classes of IPv4 addresses?","IP Addressing","Medium"
13,"What is subnetting and why is it used?","IP Addressing","Medium"
14,"Explain the concept of subnet mask.","IP Addressing","Medium"
15,"What is the OSI model? Explain its layers.","OSI Model","Easy"
16,"Explain the functions of the Physical layer.","OSI Model","Medium"
17,"Explain the functions of the Data Link layer.","OSI Model","Medium"
18,"Explain the functions of the Network layer.","OSI Model","Medium"
19,"Explain the functions of the Transport layer.","OSI Model","Medium"
20,"Explain the functions of the Session layer.","OSI Model","Medium"
21,"Explain the functions of the Presentation layer.","OSI Model","Medium"
22,"Explain the functions of the Application layer.","OSI Model","Medium"
23,"What is the difference between OSI and TCP/IP models?","Network Models","Medium"
24,"What are protocols in computer networks?","Network Protocols","Easy"
25,"Explain the importance of network protocols.","Network Protocols","Easy"
ID,Question,Topic,Difficulty
26,"What is the TCP/IP model? Explain its layers.","TCP/IP Model","Easy"
27,"Explain the functions of the Network Interface layer in TCP/IP model.","TCP/IP Model","Medium"
28,"Explain the Internet layer in TCP/IP model.","TCP/IP Model","Medium"
29,"Explain the Transport layer protocols in TCP/IP model.","TCP/IP Model","Medium"
30,"Explain the Application layer protocols in TCP/IP model.","TCP/IP Model","Medium"
31,"What is the difference between TCP and UDP?","Transport Layer","Medium"
