Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation
A bag contains 5 red balls and 3 blue balls. What is the probability of selecting a red ball?,5/8,3/8,1/2,3/5,5/8,"Probability = Favorable outcomes / Total outcomes = 5/8"
A coin is tossed once. What is the probability of getting Head?,1/2,1/3,1/4,1,1/2,"A coin has two outcomes Head and Tail"
A dice is rolled once. What is the probability of getting number 6?,1/6,1/3,1/2,1/4,1/6,"A dice has 6 possible outcomes and only one favorable outcome"
Two coins are tossed. What is the probability of getting two heads?,1/2,1/4,3/4,1/8,1/4,"Possible outcomes are HH HT TH TT. Only HH is favorable"
A standard deck has 52 cards. What is the probability of drawing an Ace?,1/13,1/26,4/13,1/4,1/13,"There are 4 Aces among 52 cards"
A box contains 10 white balls and 5 black balls. Probability of selecting a black ball?,1/3,2/3,1/5,1/2,1/3,"Black balls = 5 and Total balls = 15. Probability = 5/15 = 1/3"
If the probability of an event is 0, the event is?,Impossible,Certain,Likely,Random,Impossible,"Probability 0 means the event cannot occur"
If the probability of an event is 1, the event is?,Impossible,Certain,Uncertain,Random,Certain,"Probability 1 means the event always occurs"
A die is thrown. What is the probability of getting an even number?,1/2,1/3,1/6,2/3,1/2,"Even numbers are 2,4,6. Probability = 3/6 = 1/2"
A bag contains 4 green balls and 6 yellow balls. Probability of selecting green ball?,2/5,3/5,1/2,4/5,2/5,"Probability = 4/(4+6) = 4/10 = 2/5"
A card is drawn from a deck. Probability of getting a King?,1/13,1/4,4/52,1/52,1/13,"There are 4 Kings in 52 cards"
A number is selected randomly from 1 to 10. Probability of selecting an even number?,1/2,1/3,2/5,3/10,1/2,"Even numbers are 2,4,6,8,10. Probability = 5/10"
A die is thrown. Probability of getting a number greater than 4?,1/3,1/2,1/6,2/3,1/3,"Numbers greater than 4 are 5 and 6. Probability = 2/6"
A box contains 7 red balls and 5 blue balls. What is the probability of selecting a blue ball?,5/12,7/12,1/2,2/5,5/12,"Blue balls = 5 and Total balls = 12. Probability = 5/12"
A card is selected from a pack of 52 cards. Probability of getting a red card?,1/2,1/4,13/52,3/4,1/2,"There are 26 red cards out of 52 cards. Probability = 26/52 = 1/2"
Three coins are tossed together. Probability of getting all heads?,1/8,1/4,3/8,1/2,1/8,"Total outcomes = 2^3 = 8. Only HHH is favorable"
A die is rolled. Probability of getting a prime number?,1/2,1/3,2/3,1/6,1/2,"Prime numbers on a die are 2,3,5. Probability = 3/6 = 1/2"
A bag contains 8 white balls and 12 black balls. Probability of selecting a white ball?,2/5,3/5,1/2,1/4,2/5,"White balls = 8 and Total balls = 20. Probability = 8/20 = 2/5"
Two dice are thrown. Probability of getting sum 7?,1/6,1/12,1/9,1/4,1/6,"Possible combinations for sum 7 are 6 out of 36. Probability = 6/36 = 1/6"
A number is selected from 1 to 20. Probability of selecting a multiple of 5?,1/5,1/4,1/2,1/10,1/5,"Multiples of 5 are 5,10,15,20. Probability = 4/20 = 1/5"
A coin is tossed twice. Probability of getting at least one head?,1/4,3/4,1/2,1,3/4,"Outcomes HH HT TH TT. Three outcomes contain at least one head"
A die is rolled. Probability of getting a number less than 3?,1/3,1/2,2/3,1/6,1/3,"Numbers less than 3 are 1 and 2. Probability = 2/6 = 1/3"
A bag contains 6 red and 4 green balls. One ball is selected. Probability of not getting red?,3/5,2/5,1/2,1/4,2/5,"Not red means green balls. Probability = 4/10 = 2/5"
If two events cannot happen together, they are called?,Independent,Mutually Exclusive,Dependent,Equal,Mutually Exclusive,"Events that cannot occur at the same time are mutually exclusive"
Probability of impossible event is?,0,1,1/2,-1,0,"Impossible events have probability zero"
Probability of a certain event is?,0,1,1/2,2,1,"Certain events always occur, so probability is one"
If P(A)=0.4, then probability of not A is?,0.4,0.6,1.4,0.2,0.6,"P(not A) = 1 - P(A) = 1 - 0.4 = 0.6"
A coin is tossed 3 times. Probability of getting exactly two heads?,1/8,3/8,1/2,5/8,3/8,"Possible cases HHT, HTH, THH = 3 out of 8 outcomes"
A box contains 15 balls out of which 6 are red. What is the probability of selecting a non-red ball?,3/5,2/5,1/3,4/5,3/5,"Non-red balls = 15-6 = 9. Probability = 9/15 = 3/5"
A card is drawn from a deck. Probability of getting a Queen or King?,1/13,2/13,4/13,8/13,2/13,"There are 4 Queens and 4 Kings. Probability = 8/52 = 2/13"
A die is thrown twice. Probability of getting two sixes?,1/36,1/12,1/18,1/6,1/36,"Probability of one six = 1/6. Two sixes = 1/6 × 1/6 = 1/36"
A bag contains 3 red and 7 blue balls. Two balls are selected without replacement. Probability of both being red?,1/15,1/10,1/5,2/15,1/15,"Probability = 3/10 × 2/9 = 1/15"
If P(A)=1/2 and P(B)=1/3 for independent events, find P(A and B),1/6,2/5,5/6,1/3,1/6,"For independent events P(A∩B)=P(A)×P(B)=1/6"
A number is chosen from 1 to 50. Probability that it is divisible by 10?,1/5,1/10,1/2,1/4,1/10,"Numbers divisible by 10 are 10,20,30,40,50. Probability = 5/50 = 1/10"
A random letter is selected from the word PROBABILITY. Probability of selecting B?,1/11,2/11,1/5,1/10,1/11,"PROBABILITY has 11 letters and B appears once"
A student answers a question with probability 0.8 correctly. Probability of wrong answer?,0.2,0.8,1.8,0.5,0.2,"Wrong probability = 1 - 0.8 = 0.2"
A jar contains 12 red, 8 green and 10 blue balls. Probability of selecting a green ball?,2/5,4/15,1/3,3/10,4/15,"Green balls = 8 and total = 30. Probability = 8/30 = 4/15"
A die is rolled. Probability of getting an odd number greater than 3?,1/6,1/3,1/2,2/3,1/6,"Only number 5 is odd and greater than 3. Probability = 1/6"
Two dice are rolled. Probability that the sum is 10?,1/12,1/9,1/6,1/18,1/12,"Possible pairs are (4,6),(5,5),(6,4). Probability = 3/36 = 1/12"
A bag contains 5 black and 5 white balls. Probability of drawing a white ball?,1/2,1/5,2/5,3/5,1/2,"White balls = 5 and total = 10. Probability = 5/10 = 1/2"
If three coins are tossed, probability of getting no heads?,1/8,1/4,3/8,1/2,1/8,"Only outcome TTT gives no heads. Probability = 1/8"
A card is drawn from a deck. Probability of getting a spade?,1/4,1/13,1/52,3/4,1/4,"There are 13 spades out of 52 cards"
A number is chosen from 1 to 100. Probability of selecting a multiple of 4?,1/4,1/5,1/2,1/10,1/4,"Multiples of 4 = 25. Probability = 25/100 = 1/4"
A box contains 9 red balls and 6 blue balls. Two balls are selected. Probability that both are blue?,1/5,1/7,1/14,2/15,1/7,"Probability = 6/15 × 5/14 = 1/7"
