ID,Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,Difficulty,Topic
1,"A can complete a work in 10 days. How much work does A complete in 1 day?","1/5","1/10","1/15","1/20","1/10","One day work = 1/Total days = 1/10.","Easy","Time & Work"
2,"B can complete a work in 20 days. How much work does B complete in 1 day?","1/10","1/15","1/20","1/25","1/20","One day work = 1/20.","Easy","Time & Work"
3,"A can do a work in 12 days and B in 18 days. How long will they take together?","6 days","7.2 days","8 days","10 days","7.2 days","Combined work = 1/12 + 1/18 = 5/36. Time = 36/5 = 7.2 days.","Medium","Time & Work"
4,"A can complete a work in 15 days and B in 10 days. Together they can complete it in:","5 days","6 days","8 days","12 days","6 days","Rate = 1/15+1/10=1/6. Time=6 days.","Medium","Time & Work"
5,"A alone completes work in 20 days. B alone completes it in 30 days. Together time is:","10 days","12 days","15 days","18 days","12 days","Rate = 1/20+1/30=1/12. Time=12 days.","Medium","Time & Work"
6,"A can do a work in 25 days. What part of work is completed in 5 days?","1/2","1/4","1/5","1/10","1/5","Work = 5/25 = 1/5.","Easy","Time & Work"
7,"A completes work in 8 days and B in 12 days. Together they take:","4 days","4.8 days","5 days","6 days","4.8 days","Rate=1/8+1/12=5/24. Time=24/5=4.8 days.","Medium","Time & Work"
8,"A and B together complete work in 6 days. If A alone takes 10 days, B alone takes:","12 days","15 days","20 days","30 days","15 days","B rate=1/6-1/10=1/15. Time=15 days.","Hard","Time & Work"
9,"A does a work in 16 days and B in 24 days. Together they take:","8 days","9.6 days","10 days","12 days","9.6 days","Rate=1/16+1/24=5/48. Time=48/5=9.6 days.","Medium","Time & Work"
10,"A can complete a work in 30 days. After working 10 days, remaining work is:","1/2","2/3","1/3","1/4","2/3","Completed=10/30=1/3. Remaining=2/3.","Easy","Time & Work"
11,"A can complete work in 18 days. How many days are needed to complete half work?","6","8","9","12","9","Half work time = 18/2 = 9 days.","Easy","Time & Work"
12,"A can complete work in 40 days. What part is completed in 8 days?","1/4","1/5","1/8","1/10","1/5","Work=8/40=1/5.","Easy","Time & Work"
13,"A and B can complete work in 12 and 16 days respectively. Together they take:","6.8 days","7 days","8 days","10 days","6.86 days","Rate=1/12+1/16=7/48. Time=48/7=6.86 days.","Hard","Time & Work"
14,"A can do a work in 24 days and B in 8 days. Together they take:","4 days","6 days","8 days","12 days","6 days","Rate=1/24+1/8=1/6. Time=6 days.","Medium","Time & Work"
15,"A and B together finish work in 4 days. A alone takes 12 days. B alone takes:","5 days","6 days","8 days","10 days","6 days","B rate=1/4-1/12=1/6. Time=6 days.","Hard","Time & Work"
16,"If 5 workers complete work in 20 days, 10 workers complete it in:","5 days","10 days","15 days","20 days","10 days","Workers and days are inversely proportional.","Easy","Time & Work"
17,"8 men can complete work in 15 days. 12 men can complete it in:","8 days","10 days","12 days","15 days","10 days","8×15=12×x, x=10 days.","Medium","Time & Work"
18,"15 workers complete work in 12 days. How many workers are needed for 6 days?","20","25","30","35","30","Workers×Days constant. 15×12=W×6. W=30.","Medium","Time & Work"
19,"A can finish work in 14 days. B is twice as efficient as A. B finishes in:","5 days","7 days","10 days","12 days","7 days","Double efficiency means half time.","Easy","Time & Work"
20,"A is three times as efficient as B. If B takes 30 days, A takes:","5 days","10 days","15 days","20 days","10 days","A takes one-third time.","Easy","Time & Work"
21,"A and B together finish work in 8 days. A alone takes 12 days. B alone takes:","20 days","24 days","30 days","36 days","24 days","B rate=1/8-1/12=1/24.","Medium","Time & Work"
22,"A can do work in 45 days and B in 15 days. Together they take:","10 days","12 days","15 days","20 days","11.25 days","Rate=1/45+1/15=4/45. Time=45/4=11.25.","Hard","Time & Work"
23,"A completes 1/4 work in 5 days. Total work can be completed in:","10 days","15 days","20 days","25 days","20 days","Total time=5×4=20 days.","Easy","Time & Work"
24,"A completes work in 60 days. B is 50% more efficient than A. B takes:","30 days","40 days","45 days","50 days","40 days","Efficiency ratio 1:1.5. Time=60/1.5=40.","Medium","Time & Work"
25,"A and B can complete work in 20 days. A alone takes 30 days. B alone takes:","40 days","50 days","60 days","70 days","60 days","B rate=1/20-1/30=1/60.","Medium","Time & Work"
