ID,Question,Topic,Difficulty
1,"What is Object-Oriented Programming (OOP)?","OOP Basics","Easy"
2,"What are the main features of OOP?","OOP Concepts","Easy"
3,"What are the advantages of object-oriented programming?","OOP Basics","Easy"
4,"What is the difference between procedural programming and OOP?","Programming Paradigms","Medium"
5,"What are objects and classes in OOP?","Classes and Objects","Easy"
6,"Explain the relationship between class and object.","Classes and Objects","Easy"
7,"What is a class in programming?","Classes","Easy"
8,"What is an object in programming?","Objects","Easy"
9,"How do you create an object from a class?","Objects","Medium"
10,"What are the properties and behaviors of an object?","Objects","Medium"
11,"What is encapsulation in OOP?","Encapsulation","Easy"
12,"Why is encapsulation important?","Encapsulation","Medium"
13,"How is encapsulation achieved in programming languages?","Encapsulation","Medium"
14,"What are access modifiers in OOP?","Access Modifiers","Easy"
15,"Explain public, private, and protected access modifiers.","Access Modifiers","Medium"
16,"What is data hiding in OOP?","Encapsulation","Medium"
17,"What is abstraction in OOP?","Abstraction","Easy"
18,"Why is abstraction used in software development?","Abstraction","Medium"
19,"Difference between abstraction and encapsulation.","OOP Concepts","Medium"
20,"How is abstraction implemented in Java?","Abstraction","Medium"
21,"What are abstract classes?","Abstract Classes","Medium"
22,"What are interfaces in OOP?","Interfaces","Medium"
23,"Difference between abstract class and interface.","Interfaces","Hard"
24,"What is inheritance in OOP?","Inheritance","Easy"
25,"Why is inheritance used in object-oriented programming?","Inheritance","Medium"
ID,Question,Topic,Difficulty
26,"Explain different types of inheritance in OOP.","Inheritance","Medium"
27,"What is single inheritance?","Inheritance Types","Easy"
28,"What is multilevel inheritance?","Inheritance Types","Medium"
29,"What is hierarchical inheritance?","Inheritance Types","Medium"
30,"What is multiple inheritance?","Inheritance Types","Medium"
31,"Why is multiple inheritance not supported in some languages like Java?","Inheritance","Hard"
32,"What is hybrid inheritance?","Inheritance Types","Hard"
33,"What are the advantages of inheritance?","Inheritance","Easy"
34,"What are the disadvantages of inheritance?","Inheritance","Medium"
35,"What is method overriding?","Polymorphism","Medium"
36,"What are the rules for method overriding?","Polymorphism","Hard"
37,"What is method overloading?","Polymorphism","Medium"
38,"Difference between method overloading and method overriding.","Polymorphism","Medium"
39,"What is compile-time polymorphism?","Polymorphism","Medium"
