Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
Panchayati Raj system was recommended by which committee?,Balwant Rai Mehta Committee,Ashok Mehta Committee,Sarkaria Committee,Mandal Committee,Balwant Rai Mehta Committee,"The Balwant Rai Mehta Committee (1957) recommended the three-tier Panchayati Raj system."
Panchayati Raj was first introduced in India in which year?,1959,1950,1962,1975,1959,"The first Panchayati Raj system was inaugurated in Rajasthan in 1959."
The first state to implement Panchayati Raj was?,Rajasthan,Gujarat,Maharashtra,Andhra Pradesh,Rajasthan,"Rajasthan was the first state to implement Panchayati Raj at Nagaur on 2 October 1959."
Panchayati Raj is related to?,Local self-government,Central government,State judiciary,Parliament,Local self-government,"Panchayati Raj provides democratic administration at the village level."
The 73rd Constitutional Amendment Act was passed in?,1992,1989,1995,2000,1992,"The 73rd Amendment Act gave constitutional status to Panchayati Raj institutions."
The 73rd Amendment came into force in?,1993,1992,1995,1990,1993,"The Act came into force on 24 April 1993."
Panchayati Raj is mentioned in which Part of Constitution?,Part IX,Part VIII,Part X,Part XI,Part IX,"Part IX contains provisions related to Panchayats."
Panchayati Raj is included under which Article?,Article 243 to 243O,Article 280,Article 356,Article 370,Article 243 to 243O,"Articles 243 to 243O deal with Panchayats."
The three-tier Panchayati Raj system includes?,Village Intermediate District,State Central Village,Village City State,District State Union,Village Intermediate District,"The three levels are Gram Panchayat, Panchayat Samiti and Zila Parishad."
The village-level Panchayat is called?,Gram Panchayat,Zila Parishad,Municipality,Corporation,Gram Panchayat,"Gram Panchayat functions at village level."
The intermediate level Panchayat is called?,Panchayat Samiti,Gram Sabha,Zila Parishad,Municipal Council,Panchayat Samiti,"Panchayat Samiti works at block level."
The district-level Panchayat is called?,Zila Parishad,Gram Panchayat,Panchayat Samiti,Nagar Panchayat,Zila Parishad,"Zila Parishad functions at district level."
Gram Sabha consists of?,All registered voters of village,Elected members only,Government officials,Teachers only,All registered voters of village,"Gram Sabha includes all adult voters in a village."
The head of Gram Panchayat is called?,Sarpanch,Governer,Mayor,Collector,Sarpanch,"The elected head of Gram Panchayat is Sarpanch."
The head of Zila Parishad is called?,President,Sarpanch,Mayor,Governor,President,"Zila Parishad is headed by a President/Chairperson."
The tenure of Panchayats is?,5 years,4 years,6 years,3 years,5 years,"The Constitution provides a five-year term for Panchayats."
Elections to Panchayats are conducted by?,State Election Commission,Election Commission of India,RBI,Parliament,State Election Commission,"State Election Commission conducts Panchayat elections."
Financial review of Panchayats is done by?,State Finance Commission,Finance Ministry,RBI,NITI Aayog,State Finance Commission,"State Finance Commission reviews Panchayat finances every five years."
Reservation for women in Panchayats is provided by?,73rd Amendment,42nd Amendment,44th Amendment,52nd Amendment,73rd Amendment,"The 73rd Amendment provides reservation for women in Panchayats."
Minimum reservation for women in Panchayats is?,One-third,Half,One-fourth,Two-thirds,One-third,"The Constitution provides at least one-third reservation for women."
The number of subjects transferred to Panchayats is?,29,22,18,40,29,"The Eleventh Schedule contains 29 subjects for Panchayats."
The Eleventh Schedule was added by?,73rd Amendment,74th Amendment,42nd Amendment,86th Amendment,73rd Amendment,"The Eleventh Schedule was added through the 73rd Amendment."
Panchayati Raj comes under which government level?,Local government,Central government,State government,Judiciary,Local government,"Local government includes Panchayats and Municipalities."
The Ashok Mehta Committee was formed in?,1977,1957,1985,1992,1977,"The Ashok Mehta Committee suggested reforms in Panchayati Raj."
The Balwant Rai Mehta Committee recommended?,Three-tier system,Two-tier system,Single-tier system,Four-tier system,Three-tier system,"It recommended village, block and district levels."
The Gram Sabha meeting is presided over by?,Sarpanch,Governor,Collector,Chief Minister,Sarpanch,"The Sarpanch generally presides over Gram Sabha meetings."
Panchayat Samiti works at?,Block level,District level,Village level,State level,Block level,"Panchayat Samiti operates at intermediate/block level."
Zila Parishad works at?,District level,Village level,Block level,State level,District level,"Zila Parishad is the district-level body."
Panchayats are mentioned in which list?,Eleventh Schedule,Tenth Schedule,Ninth Schedule,Second Schedule,Eleventh Schedule,"The Eleventh Schedule lists Panchayat subjects."
Gram Panchayat is responsible for?,Village development,National defence,Foreign policy,Currency,Village development,"Gram Panchayat handles local development activities."
Panchayats promote?,People participation,Central control,Military power,Judicial power,People participation,"Panchayats encourage grassroots democracy."
The term 'Panchayat' means?,Council of five persons,Five villages,Five laws,Five officers,Council of five persons,"Panchayat traditionally means a council of village elders."
The 73rd Amendment was based on recommendations of?,L.M Singhvi Committee,Sarkaria Committee,Mandal Committee,Kothari Committee,L.M Singhvi Committee,"L.M Singhvi Committee recommended constitutional recognition for Panchayats."
Panchayat elections are held every?,5 years,2 years,3 years,10 years,5 years,"Panchayat bodies have a five-year tenure."
Panchayats can be dissolved before term by?,State government,President,RBI,Parliament,State government,"State government can dissolve Panchayats according to law."
The constitutional status of Panchayats was given by?,73rd Amendment,74th Amendment,42nd Amendment,61st Amendment,73rd Amendment,"The 73rd Amendment gave constitutional status."
Panchayat Raj Day is observed on?,April 24,January 26,August 15,October 2,April 24,"April 24 is celebrated as National Panchayati Raj Day."
The concept of local self-government was strengthened by?,73rd Amendment,42nd Amendment,44th Amendment,52nd Amendment,73rd Amendment,"The 73rd Amendment strengthened local governance."
The village assembly is known as?,Gram Sabha,Gram Panchayat,Zila Parishad,Municipality,Gram Sabha,"Gram Sabha is the village assembly of voters."
Panchayats prepare plans for?,Economic development and social justice,Defence,Foreign affairs,Currency,Economic development and social justice,"Panchayats prepare local development plans."
The constitutional authority for Panchayat elections is?,State Election Commission,UPSC,RBI,Finance Commission,State Election Commission,"State Election Commission supervises elections."
Panchayat finances are supported by?,Taxes and government grants,Only donations,Foreign loans,Private companies,Taxes and government grants,"Panchayats receive revenue from taxes and grants."
Panchayat Raj institutions are examples of?,Democratic decentralization,Centralization,Privatization,Judicial control,Democratic decentralization,"Power is transferred to local bodies."
Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
The 74th Constitutional Amendment is related to?,Urban local bodies,Panchayats,Fundamental Rights,Emergency provisions,Urban local bodies,"The 74th Amendment provides constitutional status to municipalities."
The constitutional status of Panchayats was given by which amendment?,73rd Amendment,74th Amendment,42nd Amendment,44th Amendment,73rd Amendment,"The 73rd Constitutional Amendment Act, 1992 added Part IX for Panchayats."
The constitutional status of Municipalities was given by?,74th Amendment,73rd Amendment,52nd Amendment,61st Amendment,74th Amendment,"The 74th Amendment deals with urban local government."
The committee that recommended a two-tier Panchayati Raj system was?,Ashok Mehta Committee,Balwant Rai Mehta Committee,Sarkaria Committee,Mandal Committee,Ashok Mehta Committee,"Ashok Mehta Committee recommended a two-tier structure."
The Ashok Mehta Committee recommended which levels?,Zila Parishad and Mandal Panchayat,State and Village,District and State,Village and City,Zila Parishad and Mandal Panchayat,"It suggested district-level Zila Parishad and Mandal Panchayats."
The Gram Sabha is a?,General body of village voters,Elected executive body,Court system,Government department,General body of village voters,"Gram Sabha includes all registered voters of a village."
Panchayat Samiti members are elected from?,Block area,District area,State area,National area,Block area,"Panchayat Samiti functions at block level."
The head of Panchayat Samiti is called?,Chairperson,Sarpanch,Governor,Mayor,Chairperson,"The Panchayat Samiti is headed by a Chairperson."
The head of Gram Panchayat is elected by?,Village voters,President,Governor,Collector,Village voters,"The Sarpanch is generally elected by village voters."
Panchayats were included in the Constitution through?,Part IX,Part VIII,Part VII,Part X,Part IX,"Part IX contains Panchayat provisions."
The Eleventh Schedule contains?,29 subjects,18 subjects,22 subjects,12 subjects,29 subjects,"The Eleventh Schedule lists 29 subjects for Panchayats."
The first state to establish Panchayati Raj was?,Rajasthan,Maharashtra,Gujarat,Karnataka,Rajasthan,"Rajasthan started Panchayati Raj in 1959."
