Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation
A car travels 240 km in 4 hours. Find its speed.,40 km/hr,50 km/hr,60 km/hr,80 km/hr,60 km/hr,Speed = Distance/Time = 240/4 = 60 km/hr.
A train covers 360 km in 6 hours. Find its speed.,50 km/hr,60 km/hr,70 km/hr,80 km/hr,60 km/hr,Speed = 360/6 = 60 km/hr.
A person walks 20 km in 5 hours. Find speed.,2 km/hr,4 km/hr,5 km/hr,10 km/hr,4 km/hr,Speed = 20/5 = 4 km/hr.
A bike travels at 50 km/hr for 6 hours. Find distance covered.,200 km,250 km,300 km,350 km,300 km,Distance = Speed × Time = 50×6 = 300 km.
A bus covers 420 km at 70 km/hr. Find time taken.,4 hours,5 hours,6 hours,7 hours,6 hours,Time = Distance/Speed = 420/70 = 6 hours.
A car covers 150 km in 3 hours. What is its speed?,30 km/hr,40 km/hr,50 km/hr,60 km/hr,50 km/hr,Speed = 150/3 = 50 km/hr.
A train travels 480 km in 8 hours. Find speed.,50 km/hr,60 km/hr,70 km/hr,80 km/hr,60 km/hr,Speed = 480/8 = 60 km/hr.
A man walks at 6 km/hr for 5 hours. Distance covered?,25 km,30 km,35 km,40 km,30 km,Distance = 6×5 = 30 km.
A vehicle covers 600 km in 10 hours. Speed is?,40 km/hr,50 km/hr,60 km/hr,70 km/hr,60 km/hr,Speed = 600/10 = 60 km/hr.
A train moving at 80 km/hr covers 400 km. Time taken?,4 hours,5 hours,6 hours,8 hours,5 hours,Time = 400/80 = 5 hours.
A car increases speed from 40 km/hr to 50 km/hr. Percentage increase?,20%,25%,30%,40%,25%,Increase = 10/40×100 = 25%.
A person travels 90 km in 2 hours. Speed is?,35 km/hr,40 km/hr,45 km/hr,50 km/hr,45 km/hr,Speed = 90/2 = 45 km/hr.
A bus travels 720 km in 12 hours. Speed?,50 km/hr,60 km/hr,70 km/hr,80 km/hr,60 km/hr,Speed = 720/12 = 60 km/hr.
A train runs at 90 km/hr. How far will it travel in 4 hours?,300 km,360 km,400 km,450 km,360 km,Distance = 90×4 = 360 km.
A cyclist covers 75 km in 5 hours. Speed?,10 km/hr,15 km/hr,20 km/hr,25 km/hr,15 km/hr,Speed = 75/5 = 15 km/hr.
A car covers 300 km at 75 km/hr. Time taken?,3 hours,4 hours,5 hours,6 hours,4 hours,Time = 300/75 = 4 hours.
A train covers 540 km in 9 hours. Speed?,50 km/hr,60 km/hr,70 km/hr,80 km/hr,60 km/hr,Speed = 540/9 = 60 km/hr.
A person walks at 8 km/hr for 3 hours. Distance?,20 km,24 km,28 km,32 km,24 km,Distance = 8×3 = 24 km.
