ID,Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,Difficulty,Topic
1,"Which is the smallest natural number?","0","1","-1","2","1","Natural numbers start from 1.","Easy","Number System"
2,"Which of the following is a whole number?","-5","2.5","0","1/2","0","Whole numbers include 0 and positive integers.","Easy","Number System"
3,"Find the place value of 5 in 4567.","5","50","500","5000","500","The digit 5 is in the hundreds place.","Easy","Number System"
4,"Find the face value of 8 in 9826.","8","80","800","8000","8","Face value is the digit itself.","Easy","Number System"
5,"What is the sum of first 10 natural numbers?","45","50","55","60","55","Sum = n(n+1)/2 = 10×11/2 = 55.","Easy","Number System"
6,"What is the smallest prime number?","0","1","2","3","2","2 is the smallest prime number.","Easy","Number System"
7,"Which of the following is a prime number?","21","27","29","35","29","29 has only two factors: 1 and 29.","Easy","Number System"
8,"Find the largest two-digit number.","90","98","99","100","99","99 is the largest two-digit number.","Easy","Number System"
9,"What is the predecessor of 1000?","999","1001","998","100","999","Predecessor means one less than the number.","Easy","Number System"
10,"What is the successor of 999?","998","1000","1001","999","1000","Successor means one more than the number.","Easy","Number System"
11,"How many digits are there in the number 987654?","5","6","7","8","6","987654 contains six digits.","Easy","Number System"
12,"Find the value of 25 × 4.","50","75","100","125","100","25 multiplied by 4 equals 100.","Easy","Number System"
13,"Which of the following is an even number?","17","25","42","51","42","Even numbers are divisible by 2.","Easy","Number System"
14,"Which of the following is an odd number?","20","34","45","60","45","Odd numbers are not divisible by 2.","Easy","Number System"
15,"Find the sum of first five even numbers.","20","25","30","35","30","2+4+6+8+10=30.","Easy","Number System"
16,"Find the sum of first five odd numbers.","20","25","30","35","25","1+3+5+7+9=25.","Easy","Number System"
17,"What is the value of 2³?","4","6","8","10","8","2×2×2 = 8.","Easy","Number System"
18,"Find the square of 15.","125","200","225","250","225","15×15 = 225.","Easy","Number System"
19,"Find the cube of 5.","25","75","100","125","125","5×5×5 = 125.","Easy","Number System"
20,"Which number is divisible by 3?","124","246","251","352","246","Sum of digits 2+4+6=12, divisible by 3.","Easy","Number System"
21,"Which number is divisible by 5?","123","246","375","488","375","Numbers ending in 0 or 5 are divisible by 5.","Easy","Number System"
22,"Find the remainder when 25 is divided by 4.","0","1","2","3","1","25 = 4×6 + 1.","Easy","Number System"
23,"How many factors does 10 have?","2","3","4","5","4","Factors are 1,2,5,10.","Easy","Number System"
24,"Find the HCF of 12 and 18.","2","3","6","9","6","Common factors are 1,2,3,6; highest is 6.","Easy","Number System"
25,"Find the LCM of 4 and 6.","8","10","12","24","12","LCM of 4 and 6 is 12.","Easy","Number System"
ID,Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,Difficulty,Topic
26,"What is the value of 10²?","10","20","100","1000","100","10 × 10 = 100.","Easy","Number System"
27,"What is the value of 3⁴?","27","64","81","12","81","3 × 3 × 3 × 3 = 81.","Easy","Number System"
28,"Which of the following is a composite number?","13","17","21","19","21","21 has more than two factors, so it is composite.","Easy","Number System"
29,"Find the smallest composite number.","1","2","3","4","4","4 has factors 1,2,4 and is the smallest composite number.","Easy","Number System"
30,"Which of the following is not a prime number?","11","13","15","17","15","15 has factors other than 1 and itself.","Easy","Number System"
31,"Find the sum of first 20 natural numbers.","200","210","220","230","210","Sum = 20×21/2 = 210.","Easy","Number System"
32,"Find the sum of first 15 odd numbers.","210","225","230","240","225","Sum of first n odd numbers = n² = 15² = 225.","Medium","Number System"
33,"Find the sum of first 15 even numbers.","210","220","240","250","240","Sum = n(n+1)=15×16=240.","Medium","Number System"
34,"What is the smallest three-digit number?","99","100","101","111","100","100 is the first three-digit number.","Easy","Number System"
35,"What is the largest three-digit number?","999","1000","998","900","999","999 is the largest three-digit number.","Easy","Number System"
36,"Find the number of zeros in one million.","4","5","6","7","6","One million = 1,000,000 which has six zeros.","Easy","Number System"
37,"Convert Roman numeral X into number.","5","10","15","20","10","Roman numeral X represents 10.","Easy","Number System"
38,"Convert Roman numeral L into number.","25","40","50","100","50","Roman numeral L represents 50.","Easy","Number System"
39,"What is the divisibility rule for 2?","Last digit is even","Sum of digits is 9","Last digit is 5","Number is odd","Last digit is even","A number is divisible by 2 if its last digit is 0,2,4,6,8.","Easy","Number System"
40,"What is the divisibility rule for 9?","Last digit is even","Sum of digits is divisible by 9","Number ends with 5","Number is prime","Sum of digits is divisible by 9","A number is divisible by 9 when digit sum is divisible by 9.","Easy","Number System"
41,"Find the remainder when 100 is divided by 7.","0","1","2","3","2","100 = 7×14 + 2.","Easy","Number System"
42,"Find the remainder when 256 is divided by 10.","4","5","6","0","6","The last digit is the remainder when divided by 10.","Easy","Number System"
43,"How many prime numbers are there between 1 and 10?","3","4","5","6","4","Prime numbers are 2,3,5,7.","Easy","Number System"
44,"Find the product of first three prime numbers.","15","20","30","35","30","First three primes are 2,3,5. Product = 30.","Easy","Number System"
45,"Find the greatest common factor of 24 and 36.","6","8","12","18","12","Factors common to both, highest is 12.","Medium","Number System"
46,"Find the least common multiple of 8 and 12.","24","36","48","96","24","LCM of 8 and 12 is 24.","Medium","Number System"
47,"If a number is divisible by 2 and 3, it is divisible by?","5","6","8","9","6","A number divisible by 2 and 3 is divisible by 6.","Easy","Number System"
48,"Find the value of √144.","10","11","12","14","12","12 × 12 = 144.","Easy","Number System"
49,"Find the value of ∛125.","3","4","5","6","5","5 × 5 × 5 = 125.","Easy","Number System"
50,"Which of the following is an irrational number?","2","3/4","√2","5","√2","√2 cannot be expressed as a fraction.","Medium","Number System"
ID,Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,Difficulty,Topic
51,"Find the value of 7² + 3².","49","58","60","64","58","7² + 3² = 49 + 9 = 58.","Easy","Number System"
52,"Find the value of 5³ + 2³.","125","133","135","140","133","5³ + 2³ = 125 + 8 = 133.","Easy","Number System"
53,"What is the smallest positive integer?","0","1","-1","2","1","Positive integers start from 1.","Easy","Number System"
54,"What is the additive identity?","0","1","-1","10","0","Adding zero does not change a number.","Easy","Number System"
55,"What is the multiplicative identity?","0","1","2","10","1","Multiplying by 1 keeps the number unchanged.","Easy","Number System"
56,"Find the value of (-5) + 8.","2","3","4","5","3","-5 + 8 = 3.","Easy","Number System"
57,"Find the value of (-7) × (-3).","-21","10","21","-10","21","Product of two negative numbers is positive.","Easy","Number System"
58,"Find the value of (-24) ÷ 6.","-2","-4","4","6","-4","Negative divided by positive gives negative result.","Easy","Number System"
59,"Which of the following is a rational number?","√2","π","3/5","√3","3/5","A rational number can be expressed as a fraction.","Easy","Number System"
60,"Find the value of 2⁵.","16","24","32","64","32","2×2×2×2×2 = 32.","Easy","Number System"
61,"Find the number of factors of 16.","3","4","5","6","5","Factors are 1,2,4,8,16.","Medium","Number System"
62,"Find the number of factors of 36.","6","8","9","10","9","Factors: 1,2,3,4,6,9,12,18,36.","Medium","Number System"
63,"Which number is divisible by 11?","121","125","130","142","121","121 ÷ 11 = 11.","Easy","Number System"
64,"Find the remainder when 50 is divided by 6.","1","2","3","4","2","50 = 6×8 + 2.","Easy","Number System"
65,"Find the remainder when 81 is divided by 8.","0","1","2","3","1","81 = 8×10 + 1.","Easy","Number System"
66,"Find the greatest two-digit prime number.","91","93","97","99","97","97 is the largest prime number below 100.","Easy","Number System"
67,"Find the smallest odd prime number.","1","2","3","5","3","3 is the only smallest odd prime number.","Easy","Number System"
68,"Find the average of first five natural numbers.","2","3","4","5","3","(1+2+3+4+5)/5 = 3.","Easy","Number System"
69,"Find the difference between largest and smallest three-digit numbers.","899","900","999","1000","899","999 - 100 = 899.","Easy","Number System"
70,"Find the value of 15².","125","200","225","250","225","15 × 15 = 225.","Easy","Number System"
71,"Find the value of 20³.","4000","6000","8000","10000","8000","20 × 20 × 20 = 8000.","Easy","Number System"
72,"Which of these is a perfect square?","50","64","75","90","64","64 = 8².","Easy","Number System"
73,"Which of these is a perfect cube?","27","36","45","54","27","27 = 3³.","Easy","Number System"
74,"Find the square root of 225.","10","12","15","20","15","15 × 15 = 225.","Easy","Number System"
75,"Find the cube root of 216.","4","5","6","8","6","6 × 6 × 6 = 216.","Easy","Number System"
ID,Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,Difficulty,Topic
76,"Find the value of 11².","111","121","131","141","121","11 × 11 = 121.","Easy","Number System"
77,"Find the value of 12³.","144","1728","1331","1224","1728","12 × 12 × 12 = 1728.","Easy","Number System"
78,"Which of the following is a prime number?","51","53","57","63","53","53 has only two factors: 1 and 53.","Easy","Number System"
79,"Which of the following is a composite number?","31","37","39","41","39","39 has factors other than 1 and itself.","Easy","Number System"
80,"Find the sum of digits of 9876.","28","30","32","34","30","9+8+7+6 = 30.","Easy","Number System"
81,"Find the product of digits of 234.","12","24","36","48","24","2 × 3 × 4 = 24.","Easy","Number System"
82,"If a number is divisible by 10, its last digit must be?","1","5","0","2","0","Numbers divisible by 10 end with zero.","Easy","Number System"
83,"Find the smallest number divisible by 2, 3 and 5.","20","30","40","60","30","LCM of 2,3,5 is 30.","Medium","Number System"
84,"Find the greatest three-digit number divisible by 5.","995","990","999","985","995","Largest three-digit multiple of 5 is 995.","Medium","Number System"
85,"Find the number of multiples of 5 between 1 and 50.","9","10","11","12","10","Multiples are 5 to 50: 10 numbers.","Medium","Number System"
86,"Find the value of 4⁴.","64","128","256","512","256","4×4×4×4 = 256.","Easy","Number System"
87,"Find the value of (10+5)².","125","200","225","250","225","15² = 225.","Easy","Number System"
88,"Find the value of 1000 ÷ 10.","10","50","100","1000","100","1000 divided by 10 equals 100.","Easy","Number System"
89,"Find the value of 999 + 1.","999","1000","1001","10000","1000","999 + 1 = 1000.","Easy","Number System"
90,"Find the predecessor of the smallest four-digit number.","999","1000","1001","998","999","Smallest four-digit number is 1000, predecessor is 999.","Easy","Number System"
91,"Find the successor of the largest three-digit number.","998","999","1000","1001","1000","Largest three-digit number is 999, successor is 1000.","Easy","Number System"
92,"Find the value of 6² + 8².","80","90","100","120","100","36 + 64 = 100.","Medium","Number System"
93,"Which number is divisible by both 3 and 5?","125","135","142","148","135","135 is divisible by 3 and 5.","Easy","Number System"
94,"Find the remainder when 123 is divided by 10.","1","2","3","4","3","Last digit gives remainder when divided by 10.","Easy","Number System"
95,"Find the greatest factor of 25 other than 25 itself.","1","5","10","15","5","Factors of 25 are 1,5,25.","Medium","Number System"
96,"Find the smallest number which when divided by 4 leaves remainder 1.","1","5","9","13","5","5 divided by 4 leaves remainder 1.","Medium","Number System"
97,"Find the value of 1+2+3+...+20.","200","210","220","230","210","Sum = n(n+1)/2 = 20×21/2 = 210.","Medium","Number System"
98,"Find the number of even numbers between 1 and 20.","9","10","11","12","10","Even numbers are 2,4,...,20 = 10 numbers.","Easy","Number System"
99,"Find the number of odd numbers between 1 and 20.","9","10","11","12","10","Odd numbers are 1,3,...,19 = 10 numbers.","Easy","Number System"
100,"Find the value of 2⁶.","32","64","128","256","64","2×2×2×2×2×2 = 64.","Easy","Number System"
