id="apgk1x7"
Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
Andhra Pradesh was formed on?,1 November 1956,2 June 2014,15 August 1947,26 January 1950,1 November 1956,Andhra Pradesh was formed by merging Andhra State with Telangana region of Hyderabad State.
The capital of Andhra Pradesh is?,Amaravati,Visakhapatnam,Vijayawada,Kurnool,Amaravati,Amaravati is the proposed capital city of Andhra Pradesh.
Andhra Pradesh was reorganized in?,2014,1956,1960,1972,2014,In 2014 Telangana was separated from Andhra Pradesh.
The first Chief Minister of Andhra Pradesh was?,Neelam Sanjiva Reddy,N.T Rama Rao,Y.S Rajasekhara Reddy,Chandrababu Naidu,Neelam Sanjiva Reddy,Neelam Sanjiva Reddy was the first CM of Andhra Pradesh.
The first Governor of Andhra Pradesh was?,Chandulal Madhavlal Trivedi,E.S.L Narasimhan,K.C Abraham,Tamilisai Soundararajan,Chandulal Madhavlal Trivedi,He served as the first Governor of Andhra Pradesh.
The first state formed on linguistic basis in India was?,Andhra State,Kerala,Karnataka,Gujarat,Andhra State,Andhra State was created in 1953 based on Telugu language.
Andhra State was formed in?,1953,1956,1947,1960,1953,Andhra State was created by separating Telugu-speaking areas from Madras State.
The capital of Andhra State before 1956 was?,Kurnool,Amaravati,Visakhapatnam,Chittoor,Kurnool,Kurnool served as capital of Andhra State from 1953 to 1956.
The official language of Andhra Pradesh is?,Telugu,Tamil,Kannada,Hindi,Telugu,Telugu is the official language of Andhra Pradesh.
The second official language of Andhra Pradesh is?,Urdu,Tamil,English,Kannada,Urdu,Urdu is recognized as the second official language.
The largest city in Andhra Pradesh is?,Visakhapatnam,Vijayawada,Guntur,Tirupati,Visakhapatnam,Visakhapatnam is the largest city by population.
The High Court of Andhra Pradesh is located at?,Amaravati,Visakhapatnam,Kurnool,Tirupati,Amaravati,The Andhra Pradesh High Court is located in Amaravati.
Andhra Pradesh has how many districts?,26,13,23,33,26,After reorganization Andhra Pradesh has 26 districts.
The state animal of Andhra Pradesh is?,Blackbuck,Tiger,Spotted Deer,Lion,Blackbuck,Blackbuck is the state animal of Andhra Pradesh.
The state bird of Andhra Pradesh is?,Indian Roller,Peacock,Parrot,Sparrow,Indian Roller,Indian Roller is the state bird.
The state tree of Andhra Pradesh is?,Neem,Banyan,Peepal,Mango,Neem,Neem is the state tree.
The state flower of Andhra Pradesh is?,Jasmine,Rose,Lotus,Tulip,Jasmine,Jasmine is the state flower.
The major river of Andhra Pradesh is?,Godavari,Ganga,Yamuna,Narmada,Godavari,Godavari is one of the major rivers flowing through AP.
The Krishna River flows through?,Andhra Pradesh and Telangana,Karnataka only,Tamil Nadu only,Kerala only,Andhra Pradesh and Telangana,Krishna River flows through multiple southern states.
The longest coastline among Indian states is of?,Andhra Pradesh,Gujarat,Maharashtra,Kerala,Andhra Pradesh,Andhra Pradesh has the second longest coastline after Gujarat.
The coastline length of Andhra Pradesh is approximately?,974 km,500 km,1200 km,700 km,974 km,AP has a long coastline along Bay of Bengal.
The largest district of Andhra Pradesh by area is?,Alluri Sitharama Raju district,Guntur,Krishna,Chittoor,Alluri Sitharama Raju district,It is the largest district by area.
The famous hill station of Andhra Pradesh is?,Araku Valley,Tirupati,Kurnool,Vijayawada,Araku Valley,Araku Valley is located in Visakhapatnam district region.
The famous temple town of Andhra Pradesh is?,Tirupati,Amaravati,Vijayawada,Kakinada,Tirupati,Tirupati is famous for Sri Venkateswara Temple.
The Tirumala temple is dedicated to?,Lord Venkateswara,Lord Shiva,Lord Rama,Lord Krishna,Lord Venkateswara,Tirumala temple is dedicated to Lord Venkateswara.
Sri Venkateswara Temple is located in?,Tirupati,Visakhapatnam,Guntur,Nellore,Tirupati,The temple is located on Tirumala hills.
The famous Buddhist site in Andhra Pradesh is?,Amaravati,Srisailam,Tirupati,Anantapur,Amaravati,Amaravati was an important Buddhist center.
Amaravati is located on the bank of?,Krishna River,Godavari River,Tungabhadra River,Pennar River,Krishna River,Amaravati is situated near Krishna River.
The famous Lepakshi temple is located in?,Anantapur,Kadapa,Guntur,Chittoor,Anantapur,Lepakshi is famous for Vijayanagara architecture.
The Vijayanagara ruler associated with Lepakshi is?,Achyuta Deva Raya,Krishnadevaraya,Ashoka,Akbar,Achyuta Deva Raya,Lepakshi developed during Vijayanagara period.
The Satavahana dynasty capital was?,Amaravati,Hyderabad,Madurai,Warangal,Amaravati,Amaravati was an important Satavahana center.
The famous port city of Andhra Pradesh is?,Visakhapatnam,Vijayawada,Kurnool,Tirupati,Visakhapatnam,Visakhapatnam has a major seaport.
Visakhapatnam Steel Plant is located in?,Visakhapatnam,Guntur,Nellore,Chittoor,Visakhapatnam,It is a major public sector steel plant.
The major crop of Andhra Pradesh is?,Rice,Wheat,Tea,Coffee,Rice,Andhra Pradesh is known as a rice-producing state.
The famous irrigation project on Krishna River is?,Nagarjuna Sagar,Polavaram,Srisailam,Prakasam Barrage,Nagarjuna Sagar,Nagarjuna Sagar is built across Krishna River.
Polavaram Project is built on?,Godavari River,Krishna River,Pennar River,Tungabhadra River,Godavari River,Polavaram is a multipurpose irrigation project on Godavari.
The famous dam near Vijayawada is?,Prakasam Barrage,Almatti Dam,Hirakud Dam,Bhavanisagar Dam,Prakasam Barrage,Prakasam Barrage is built across Krishna River.
The largest airport in Andhra Pradesh is?,Visakhapatnam Airport,Vijayawada Airport,Tirupati Airport,Kadapa Airport,Visakhapatnam Airport,Visakhapatnam Airport is a major airport in AP.
The famous festival of Andhra Pradesh is?,Ugadi,Bathukamma,Bihu,Onam,Ugadi,Ugadi is the Telugu New Year festival.
Kuchipudi dance originated in?,Andhra Pradesh,Kerala,Tamil Nadu,Karnataka,Andhra Pradesh,Kuchipudi classical dance originated in Krishna district.
The famous Telugu poet who wrote Andhra Mahabharatam is?,Nannaya,Tikkana,Sri Sri,Annamayya,Nannaya,Nannaya was the first poet of Kavitrayam.
The Telugu language day is celebrated on?,August 29,June 2,November 1,January 26,August 29,It is celebrated on the birthday of Gidugu Venkata Ramamurthy.
The famous saint composer of Andhra Pradesh is?,Annamayya,Tyagaraja,Kalidasa,Kabir,Annamayya,Annamayya composed devotional songs on Lord Venkateswara.
The headquarters of Eastern Naval Command is?,Visakhapatnam,Chennai,Kochi,Mumbai,Visakhapatnam,Visakhapatnam hosts Eastern Naval Command.
The famous beach in Visakhapatnam is?,Ramakrishna Beach,Marina Beach,Juhu Beach,Puri Beach,Ramakrishna Beach,RK Beach is a famous tourist place.
The state festival of Andhra Pradesh is?,Sankranti,Ugadi,Bathukamma,Dasara,Sankranti,Sankranti is widely celebrated in Andhra Pradesh.
The famous cave site in Andhra Pradesh is?,Borra Caves,Ajanta Caves,Ellora Caves,Elephanta Caves,Borra Caves,Borra Caves are located in Araku region.
id="apgk2r8"
Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
The largest river island in Andhra Pradesh is?,Srirangam Island,Bhavani Island,Konaseema Island,Diviseema Island,Diviseema Island,Diviseema is a river island formed in the Krishna River delta region.
The delta region of Godavari is called?,Konaseema,Rayalaseema,Telangana,Palnadu,Konaseema,Konaseema is a fertile delta region of Godavari River.
The delta region of Krishna is called?,Diviseema,Konaseema,Rayalaseema,Nallamala,Diviseema,Diviseema is located in Krishna River delta.
Rayalaseema region includes how many districts traditionally?,4,3,5,6,4,Rayalaseema traditionally includes Kurnool, Kadapa, Anantapur and Chittoor.
The main districts of Coastal Andhra are along?,Bay of Bengal,Arabian Sea,Indian Ocean,Western Ghats,Bay of Bengal,Coastal Andhra lies along the Bay of Bengal coast.
The famous Nallamala Hills are located in?,Andhra Pradesh and Telangana,Karnataka and Kerala,Gujarat and Rajasthan,Punjab and Haryana,Andhra Pradesh and Telangana,Nallamala Hills spread across AP and Telangana.
