Question,Answer
What is Java?,Java is a high-level object-oriented platform-independent programming language.
Who developed Java?,Java was developed by James Gosling at Sun Microsystems.
What is the main feature of Java?,Write Once Run Anywhere (WORA) allows Java programs to run on any platform with a JVM.
What is the JVM?,The Java Virtual Machine executes Java bytecode and provides platform independence.
What is JDK?,The Java Development Kit contains tools for developing compiling and running Java applications.
What is JRE?,The Java Runtime Environment provides the libraries and JVM required to run Java applications.
What is the difference between JDK JRE and JVM?,JDK is for development JRE provides the runtime environment and JVM executes bytecode.
What is bytecode?,Bytecode is the intermediate code generated by the Java compiler that runs on the JVM.
What are Java tokens?,Java tokens are the smallest elements of a program such as keywords identifiers literals operators and separators.
What are identifiers in Java?,Identifiers are names given to variables methods classes and packages.
What are keywords in Java?,Keywords are reserved words with predefined meanings that cannot be used as identifiers.
What is a variable in Java?,A variable is a named memory location used to store data.
What are the primitive data types in Java?,byte short int long float double char and boolean.
What is the default value of int?,The default value of an int instance variable is 0.
What is the default value of boolean?,The default value of a boolean instance variable is false.
What is the default value of char?,The default value of a char instance variable is '\u0000'.
What is type casting in Java?,Type casting is converting one data type into another.
What is implicit type casting?,Implicit casting is automatic conversion from a smaller data type to a larger one.
What is explicit type casting?,Explicit casting is manually converting a larger data type into a smaller one.
What are operators in Java?,Operators perform operations on variables and values.
What are arithmetic operators?,Arithmetic operators include + - * / and %.
What are relational operators?,Relational operators compare values and return true or false.
What are logical operators?,Logical operators include && || and !.
What is the difference between == and equals()?,== compares references for objects while equals() compares object contents if overridden.
What is the main() method?,The main() method is the entry point of every Java application.
Question,Answer
What is a class in Java?,A class is a blueprint for creating objects.
What is an object?,An object is an instance of a class.
What is a method?,A method is a block of code that performs a specific task.
What is a constructor?,A constructor is a special method used to initialize objects.
What is the default constructor?,A default constructor is automatically provided by the compiler if no constructor is defined.
Can a constructor have a return type?,No constructors do not have a return type.
What is constructor overloading?,Constructor overloading means defining multiple constructors with different parameter lists.
What is the this keyword?,The this keyword refers to the current object.
What is the static keyword?,The static keyword makes a member belong to the class rather than an object.
What is a static variable?,A static variable is shared among all instances of a class.
What is a static method?,A static method belongs to the class and can be called without creating an object.
Can a static method access non-static members?,No a static method cannot directly access non-static members.
What is the final keyword?,The final keyword is used to make variables constants methods non-overridable and classes non-inheritable.
What is an array?,An array is a collection of elements of the same data type stored in contiguous memory.
How do you declare an array in Java?,An array can be declared using int[] arr or int arr[].
How do you find the length of an array?,Use the length property of the array.
What is a String in Java?,A String is an object that represents a sequence of characters.
What is the difference between String and StringBuilder?,String is immutable while StringBuilder is mutable.
What is the difference between String and StringBuffer?,StringBuffer is mutable and thread-safe while StringBuilder is mutable but not thread-safe.
How do you compare two strings?,Use the equals() method to compare string contents.
What is the difference between == and equals() for Strings?,== compares object references while equals() compares string values.
What is the substring() method?,substring() returns a portion of a string.
What is the difference between break and continue?,break terminates the loop while continue skips the current iteration.
What are loops in Java?,Loops repeatedly execute a block of code while a condition is true.
