Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
The economy of India is classified as?,Capitalist economy,Socialist economy,Mixed economy,Communist economy,Mixed economy,India follows a mixed economy where both public and private sectors operate.
The father of Indian economics is considered as?,Adam Smith,Kautilya,Amartya Sen,Dadabhai Naoroji,Dadabhai Naoroji,Dadabhai Naoroji contributed greatly to Indian economic thought.
The first Five Year Plan was started in?,1947,1950,1951,1955,1951,The First Five Year Plan started in 1951 focusing on agriculture and irrigation.
The Planning Commission was established in?,1947,1950,1955,1960,1950,Planning Commission was established on 15 March 1950.
NITI Aayog replaced Planning Commission in?,2014,2015,2016,2017,2015,NITI Aayog was formed on 1 January 2015.
The headquarters of RBI is located in?,Delhi,Mumbai,Kolkata,Chennai,Mumbai,RBI headquarters is in Mumbai, Maharashtra.
Reserve Bank of India was established in?,1935,1947,1950,1969,1935,RBI started functioning in 1935 under the RBI Act.
RBI was nationalized in?,1947,1949,1955,1969,1949,RBI was nationalized on 1 January 1949.
The central bank of India is?,SBI,RBI,NABARD,SEBI,RBI,RBI controls monetary policy and banking regulation.
The currency issued by RBI is?,Dollar,Rupee,Yen,Pound,Rupee,Indian rupee is the official currency of India.
The symbol of Indian Rupee was adopted in?,2005,2010,2015,2020,2010,The rupee symbol ₹ was adopted in 2010.
GDP stands for?,Gross Domestic Product,General Development Plan,Government Development Policy,Gross Domestic Price,Gross Domestic Product,GDP measures the total value of goods and services produced.
GNP stands for?,Gross National Product,General National Policy,Gross Net Product,Government National Product,Gross National Product,GNP includes income earned by citizens including abroad.
Per capita income means?,National income,Income per person,Tax income,Government income,Income per person,It is calculated by dividing national income by population.
Inflation means?,Decrease in prices,Increase in general prices,Increase in production,Decrease in income,Increase in general prices,Inflation reduces purchasing power.
Deflation means?,Rise in prices,Fall in general prices,Increase in taxes,Increase in wages,Fall in general prices,Deflation occurs when overall price levels decrease.
The policy related to money supply is called?,Fiscal policy,Monetary policy,Trade policy,Industrial policy,Monetary policy,Monetary policy is controlled by RBI.
Fiscal policy is related to?,Government revenue and expenditure,Banking only,Foreign trade only,Agriculture,Government revenue and expenditure,Fiscal policy is managed by government.
The Finance Commission is mentioned in?,Article 280,Article 315,Article 324,Article 356,Article 280,Article 280 provides for Finance Commission.
GST was implemented in India in?,2015,2016,2017,2018,2017,GST was launched on 1 July 2017.
GST stands for?,Goods and Services Tax,General Sales Tax,Government Service Tax,Goods Supply Tax,Goods and Services Tax,GST is an indirect tax system.
The GST Council is headed by?,Prime Minister,Finance Minister,RBI Governor,President,Finance Minister,Union Finance Minister chairs GST Council.
Direct taxes are paid by?,Consumers,Individuals and companies,Government,Foreign countries,Individuals and companies,Direct taxes are directly paid by taxpayers.
Income Tax is a?,Direct tax,Indirect tax,Service tax,Custom duty,Direct tax,Income tax is paid directly by individuals.
GST is a?,Direct tax,Indirect tax,Corporate tax,Income tax,Indirect tax,GST is collected on goods and services.
The largest source of government revenue is?,Taxes,Donations,Loans,Exports,Taxes,Government mainly earns through taxation.
Budget is presented by?,President,Finance Minister,Prime Minister,RBI Governor,Finance Minister,Finance Minister presents the Union Budget.
The Economic Survey is prepared by?,Finance Ministry,RBI,SEBI,NITI Aayog,Finance Ministry,Economic Survey reviews economic performance.
The Union Budget is presented in?,Supreme Court,Parliament,RBI,President House,Parliament,The Finance Minister presents it in Parliament.
The term "Bank Rate" is related to?,RBI lending rate,Tax rate,Import rate,Export rate,RBI lending rate,Bank rate is RBI's lending rate to banks.
Repo rate is the rate at which?,Banks lend to RBI,RBI lends to banks,Government borrows from RBI,Customers borrow from banks,RBI lends to banks,RBI provides short-term loans to banks.
Reverse Repo rate is the rate at which?,RBI borrows from banks,Banks borrow from RBI,Government borrows,Customers deposit money,RBI borrows from banks,Reverse repo helps control money supply.
CRR stands for?,Cash Reserve Ratio,Current Revenue Rate,Credit Reserve Rule,Cash Return Ratio,Cash Reserve Ratio,Banks must keep CRR with RBI.
SLR stands for?,Statutory Liquidity Ratio,State Lending Rate,Security Loan Rate,Service Liability Ratio,Statutory Liquidity Ratio,Banks maintain SLR in liquid assets.
NABARD is related to?,Agriculture finance,Stock market,Insurance,Foreign trade,Agriculture finance,NABARD supports rural development.
SEBI regulates?,Banking,Securities market,Agriculture,Insurance,Securities market,SEBI controls stock market activities.
IRDAI regulates?,Insurance sector,Banking sector,Stock market,Agriculture,Insurance sector,IRDAI regulates insurance companies.
The largest public sector bank in India is?,SBI,HDFC Bank,ICICI Bank,Axis Bank,SBI,SBI is India's largest public sector bank.
Nationalization of banks occurred in?,1969,1975,1980,1991,1969,14 major banks were nationalized in 1969.
Liberalization in India started in?,1980,1991,2000,2010,1991,Economic reforms began in 1991.
The 1991 economic reforms were based on?,LPG model,PPP model,Green model,Digital model,LPG model,LPG means Liberalization, Privatization and Globalization.
Privatization means?,Government ownership increase,Transfer to private sector,Increase taxes,Nationalization,Transfer to private sector,Private ownership increases.
Globalization means?,Isolation,Integration with world economy,Stopping trade,Local production only,Integration with world economy,Globalization connects economies.
The Green Revolution is related to?,Agriculture,Industry,Banking,Transport,Agriculture,It increased food grain production.
The father of Green Revolution in India is?,M.S Swaminathan,Verghese Kurien,Amartya Sen,Raghuram Rajan,M.S Swaminathan,M.S Swaminathan promoted agricultural development.
