Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation
How many ways can 3 different books be arranged on a shelf?,3,6,9,12,6,Number of arrangements = 3! = 3×2×1 = 6.
Find the value of 4!,12,24,36,48,24,4! = 4×3×2×1 = 24.
How many ways can 5 people sit in a row?,60,100,120,150,120,Number of arrangements = 5! = 120.
Find the value of 6!,360,720,840,900,720,6! = 6×5×4×3×2×1 = 720.
How many arrangements are possible for the word CAT?,3,6,9,12,6,CAT has 3 letters. Arrangements = 3! = 6.
How many ways can 2 students be selected from 5 students?,5,10,15,20,10,Combination = 5C2 = 5×4/(2×1)=10.
Find the value of 5P2.,10,15,20,25,20,5P2 = 5×4 = 20.
Find the value of 5C2.,5,10,15,20,10,5C2 = 5×4/(2×1)=10.
How many ways can 4 people sit in a row?,12,24,36,48,24,Arrangements = 4! = 24.
Find the value of 7!,720,5040,6000,7000,5040,7! = 7×6×5×4×3×2×1 = 5040.
How many ways can 3 objects be selected from 6 objects?,15,20,25,30,20,6C3 = 6×5×4/(3×2×1)=20.
Find the value of 6P2.,20,25,30,35,30,6P2 = 6×5 = 30.
How many arrangements are possible for the word DOG?,3,6,9,12,6,DOG has 3 letters. Arrangements = 3! = 6.
How many ways can 1 object be selected from 10 objects?,1,5,10,15,10,10C1 = 10.
Find the value of 8C2.,24,28,32,36,28,8C2 = 8×7/(2×1)=28.
Find the number of permutations of 4 objects taken 3 at a time.,12,24,36,48,24,4P3 = 4×3×2 = 24.
How many ways can 2 people be selected from 8 people?,16,24,28,32,28,8C2 = 8×7/2 = 28.
Find the value of 3!+4!.,24,30,32,36,30,3!+4! = 6+24 = 30.
How many ways can 6 books be arranged?,360,720,840,900,720,Arrangements = 6! = 720.
Find the value of 10P1.,1,5,10,20,10,10P1 = 10.
Find the value of 10C1.,1,5,10,20,10,10C1 = 10.
How many ways can 3 students be selected from 7 students?,21,30,35,42,35,7C3 = 7×6×5/(3×2×1)=35.
Find the value of 7P2.,42,49,56,64,42,7P2 = 7×6 = 42.
How many ways can 2 letters be chosen from A,B,C,D,E?,5,10,15,20,10,5C2 = 5×4/2 = 10.
How many arrangements are possible for the word BALL?,6,12,18,24,12,BALL has 4 letters with L repeated twice. Arrangements = 4!/2! = 12.
Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation
Find the value of 8P3.,256,336,420,512,336,8P3 = 8×7×6 = 336.
Find the value of 8C3.,36,56,72,84,56,8C3 = 8×7×6/(3×2×1)=56.
How many ways can 4 students be selected from 10 students?,120,180,210,240,210,10C4 = 10×9×8×7/(4×3×2×1)=210.
How many arrangements are possible for the word APPLE?,60,120,240,360,60,APPLE has 5 letters with P repeated twice. Arrangements = 5!/2! = 60.
Find the value of 9P2.,72,81,90,99,72,9P2 = 9×8 = 72.
Find the value of 9C2.,36,45,54,72,36,9C2 = 9×8/2 = 36.
How many ways can 5 people sit around a circular table?,24,60,120,720,24,Circular arrangement = (n-1)! = 4! = 24.
How many ways can 6 people sit around a circular table?,60,120,240,720,120,Circular arrangement = (6-1)! = 5! = 120.
Find the value of 10P3.,720,840,900,1000,720,10P3 = 10×9×8 = 720.
Find the value of 10C3.,100,120,150,200,120,10C3 = 10×9×8/(3×2×1)=120.
How many ways can 2 prizes be distributed among 5 students if no student gets both?,10,15,20,25,20,First prize has 5 choices and second has 4 choices. Total = 5×4 = 20.
How many 3-digit numbers can be formed using 1,2,3,4 without repetition?,12,24,36,64,24,4P3 = 4×3×2 = 24.
How many 3-digit numbers can be formed using 1,2,3,4 with repetition allowed?,16,32,64,128,64,Each place has 4 choices. Total = 4³ = 64.
How many arrangements are possible for the word INDIA?,60,120,240,360,120,INDIA has 5 different letters. Arrangements = 5! = 120.
Find the value of 11C2.,45,55,66,77,55,11C2 = 11×10/2 = 55.
Find the value of 11P2.,99,110,121,132,110,11P2 = 11×10 = 110.
How many ways can 3 players be selected from 9 players?,72,84,96,108,84,9C3 = 9×8×7/(3×2×1)=84.
How many ways can 2 people be selected from 12 people?,54,66,72,78,66,12C2 = 12×11/2 = 66.
Find the value of 12P2.,120,132,144,156,132,12P2 = 12×11 = 132.
Find the value of 12C2.,55,66,78,90,66,12C2 = 12×11/2 = 66.
How many ways can 4 books be selected from 8 books?,56,64,70,80,70,8C4 = 8×7×6×5/(4×3×2×1)=70.
How many arrangements are possible for the word LEVEL?,20,30,60,120,30,LEVEL has 5 letters with L repeated twice and E repeated twice. Arrangements = 5!/(2!×2!)=30.
Find the value of 13C2.,66,78,91,104,78,13C2 = 13×12/2 = 78.
Find the value of 13P2.,156,169,182,195,156,13P2 = 13×12 = 156.
How many ways can 5 members be chosen from 10 members?,200,252,300,350,252,10C5 = 252.
Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation
Find the value of 14C2.,78,91,105,120,91,14C2 = 14×13/2 = 91.
Find the value of 14P2.,169,182,196,210,182,14P2 = 14×13 = 182.
How many ways can 3 books be selected from 10 books?,90,100,120,130,120,10C3 = 10×9×8/(3×2×1)=120.
How many arrangements are possible for the word MANGO?,60,100,120,150,120,MANGO has 5 different letters. Arrangements = 5! = 120.
Find the value of 15C2.,90,100,105,120,105,15C2 = 15×14/2 = 105.
Find the value of 15P2.,200,210,225,240,210,15P2 = 15×14 = 210.
How many ways can 4 students be selected from 12 students?,420,450,495,520,495,12C4 = 12×11×10×9/(4×3×2×1)=495.
How many 2-digit numbers can be formed using digits 1,2,3,4,5 without repetition?,10,15,20,25,20,5P2 = 5×4 = 20.
How many 3-digit numbers can be formed using digits 1,2,3,4,5 without repetition?,40,50,60,80,60,5P3 = 5×4×3 = 60.
Find the value of 16C2.,100,120,136,150,120,16C2 = 16×15/2 = 120.
Find the value of 16P2.,220,240,256,272,240,16P2 = 16×15 = 240.
How many ways can 5 people be arranged in a row?,100,120,150,180,120,Number of arrangements = 5! = 120.
How many ways can 7 people sit in a row?,720,840,5040,6000,5040,Arrangements = 7! = 5040.
How many ways can 3 members be selected from 12 members?,180,220,240,260,220,12C3 = 12×11×10/(3×2×1)=220.
Find the value of 17C2.,120,136,153,170,136,17C2 = 17×16/2 = 136.
Find the value of 17P2.,272,289,306,324,272,17P2 = 17×16 = 272.
How many ways can 6 books be selected from 10 books?,180,210,240,252,210,10C6 = 10C4 = 210.
How many arrangements are possible for the word SCHOOL?,360,720,1200,1440,720,SCHOOL has 6 different letters. Arrangements = 6! = 720.
How many ways can 4 players be selected from 9 players?,84,96,126,144,126,9C4 = 126.
Find the value of 18C2.,144,153,162,171,153,18C2 = 18×17/2 = 153.
Find the value of 18P2.,288,306,324,342,306,18P2 = 18×17 = 306.
How many ways can 2 teams be formed from 6 players with 3 players each?,10,15,20,30,10,Number of ways = 6C3/2 = 20/2 = 10.
