Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
Pradhan Mantri Jan Dhan Yojana was launched in?,2014,2015,2016,2017,2014,It was launched in August 2014 to provide banking facilities to every household.
PM Jan Dhan Yojana is related to?,Financial inclusion,Health,Education,Agriculture,Financial inclusion,The scheme provides bank accounts and financial services to weaker sections.
Pradhan Mantri Ujjwala Yojana provides?,LPG connections,Houses,Loans,Scholarships,LPG connections,It provides free LPG connections to women from poor households.
PM Ujjwala Yojana was launched in?,2016,2014,2018,2020,2016,The scheme was launched in 2016 by the Government of India.
Pradhan Mantri Awas Yojana is related to?,Housing,Roads,Employment,Insurance,Housing,The scheme aims to provide affordable housing for all.
PMAY stands for?,Pradhan Mantri Awas Yojana,Prime Minister Agriculture Yojana,Public Management Act Yojana,Pradhan Market Aid Yojana,Pradhan Mantri Awas Yojana,PMAY is a housing development scheme.
Ayushman Bharat scheme provides?,Health insurance,Agricultural subsidy,Education loans,Employment,Health insurance,It provides health coverage to eligible families.
Ayushman Bharat was launched in?,2018,2015,2019,2021,2018,The scheme was launched in 2018 under the National Health Protection Mission.
PM Kisan Samman Nidhi is related to?,Farmers,Students,Workers,Women,Farmers,It provides income support to farmers.
PM-KISAN was launched in?,2019,2014,2016,2020,2019,The scheme provides financial assistance to eligible farmers.
MGNREGA provides?,Rural employment,Health services,Houses,Insurance,Rural employment,It guarantees wage employment in rural areas.
MGNREGA was enacted in?,2005,2010,1999,2015,2005,The Act guarantees 100 days of employment to rural households.
Skill India Mission focuses on?,Skill development,Disease control,Road construction,Banking,Skill development,It aims to train youth with employable skills.
Digital India aims to promote?,Digital services,Agriculture,Mining,Transport,Digital services,It focuses on digital infrastructure and online services.
Startup India promotes?,Entrepreneurship,Government jobs,Imports,Defence,Entrepreneurship,It supports startups and innovation.
Stand Up India supports?,SC/ST and women entrepreneurs,Farmers only,Students only,Government employees,SC/ST and women entrepreneurs,It provides financial support for entrepreneurship.
Make in India focuses on?,Manufacturing sector,Agriculture,Education,Healthcare,Manufacturing sector,It promotes manufacturing and investment in India.
Swachh Bharat Mission is related to?,Cleanliness,Education,Employment,Transport,Cleanliness,It aims to improve sanitation and eliminate open defecation.
Swachh Bharat Mission was launched in?,2014,2012,2016,2018,2014,The mission was launched on 2 October 2014.
Beti Bachao Beti Padhao focuses on?,Girl child welfare,Employment,Industry,Transport,Girl child welfare,It aims to protect and educate girls.
Sukanya Samriddhi Yojana is for?,Girl child,Senior citizens,Farmers,Businessmen,Girl child,It encourages savings for girls' education and marriage.
Atal Pension Yojana provides?,Pension support,Health insurance,Housing,Education,Pension support,It provides pension benefits to subscribers after retirement.
Pradhan Mantri Suraksha Bima Yojana provides?,Accident insurance,Education loans,Crop insurance,Housing,Accident insurance,It provides low-cost accident insurance coverage.
Pradhan Mantri Jeevan Jyoti Bima Yojana provides?,Life insurance,Health insurance,Crop insurance,Vehicle insurance,Life insurance,It provides life insurance coverage.
