Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation
A company sold 100 units in January and 150 units in February. What is the total sales?,200,250,300,350,250,Total sales = 100 + 150 = 250 units.
A shop sold 120 items on Monday and 180 items on Tuesday. Find total sales.,250,280,300,320,300,Total = 120 + 180 = 300 items.
A student's marks in five subjects are 70,80,90,60,100. Find average marks.,75,80,85,90,80,Average = (70+80+90+60+100)/5 = 80.
The population of a town increased from 50000 to 60000. Find percentage increase.,10%,15%,20%,25%,20%,Increase = 10000. Percentage = 10000/50000×100 = 20%.
A company produced 400 units in 2020 and 500 units in 2021. Find increase.,50,75,100,150,100,Increase = 500-400 = 100 units.
Sales in January = 200, February = 300, March = 400. Find total sales.,700,800,900,1000,900,Total = 200+300+400 = 900.
A factory produced 600 items and sold 450 items. Find remaining items.,100,150,200,250,150,Remaining = 600-450 = 150.
The ratio of boys and girls is 3:2. If boys are 60, find girls.,30,40,50,60,40,3 parts = 60, 1 part = 20, girls = 2×20 = 40.
A survey shows 40% people prefer tea and 60% prefer coffee. If total people are 500, coffee lovers are?,200,250,300,350,300,60% of 500 = 300.
A company revenue increased from $50000 to $75000. Find increase percentage.,25%,40%,50%,60%,50%,Increase = 25000. Percentage = 25000/50000×100 = 50%.
The number of employees in departments A,B,C are 50,70,80. Find total employees.,180,190,200,210,200,Total = 50+70+80 = 200.
A car travels 300 km in 5 hours. Find average speed.,50 km/hr,60 km/hr,70 km/hr,80 km/hr,60 km/hr,Speed = Distance/Time = 300/5 = 60 km/hr.
The marks of a student are 65,75,85,95. Find total marks.,300,310,320,330,320,Total = 65+75+85+95 = 320.
A company has 800 employees. 25% are managers. Find number of managers.,100,150,200,250,200,25% of 800 = 200.
A store sold 250 laptops and 150 mobiles. Find ratio of laptops to mobiles.,3:2,5:3,2:1,4:3,5:3,Ratio = 250:150 = 5:3.
A village population is 8000. It increases by 10%. Find new population.,8200,8400,8800,9000,8800,Increase = 10% of 8000 = 800. New population = 8800.
A student scored 450 out of 500. Find percentage.,80%,85%,90%,95%,90%,Percentage = 450/500×100 = 90%.
A company's profit was $20000 and loss was $5000. Find net profit.,$10000,$15000,$20000,$25000,$15000,Net profit = 20000-5000 = $15000.
A train covers 480 km in 8 hours. Find speed.,50 km/hr,60 km/hr,70 km/hr,80 km/hr,60 km/hr,Speed = 480/8 = 60 km/hr.
A shop gives 20% discount on an item costing $1000. Find selling price.,$700,$800,$900,$1000,$800,Discount = 20% of 1000 = 200. Selling price = 800.
A company sales data: Jan 100, Feb 200, Mar 300. Which month has highest sales?,January,February,March,All equal,March,March has highest sales of 300 units.
A class has 30 boys and 20 girls. Find percentage of girls.,20%,30%,40%,50%,40%,Girls percentage = 20/50×100 = 40%.
A factory production increased from 1000 to 1200. Find percentage increase.,10%,15%,20%,25%,20%,Increase = 200/1000×100 = 20%.
A person spends $600 out of income $1000. Find savings percentage.,20%,30%,40%,50%,40%,Savings = 400. Percentage = 400/1000×100 = 40%.
A company has departments with employees 40,60,80,100. Find average employees.,60,70,75,80,70,Average = (40+60+80+100)/4 = 70.
Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation
A company sales are Jan=400, Feb=500, Mar=600. Find average sales.,450,500,550,600,500,Average = (400+500+600)/3 = 500.
A school has students in classes A=40, B=50, C=60. Find total students.,120,130,150,160,150,Total students = 40+50+60 = 150.
A shop sold 300 products and returned 30 products. Find actual sales.,250,270,280,300,270,Actual sales = 300-30 = 270.
A company income is $8000 and expenses are $5000. Find savings.,$2000,$3000,$4000,$5000,$3000,Savings = Income - Expenses = 8000-5000 = $3000.
The population of a city is 40000. It decreases by 5%. Find new population.,38000,39000,40000,42000,38000,Decrease = 5% of 40000 = 2000. New population = 38000.
A student obtained 360 marks out of 450. Find percentage.,70%,75%,80%,85%,80%,Percentage = 360/450×100 = 80%.
The monthly expenses of a family are Rent $500, Food $300, Travel $200. Find total expenses.,$800,$900,$1000,$1200,$1000,Total expenses = 500+300+200 = $1000.
A company produced 1200 units in April and 1500 units in May. Find percentage increase.,20%,25%,30%,35%,25%,Increase = 300/1200×100 = 25%.
A survey of 1000 people shows 400 like cricket. Find percentage.,20%,30%,40%,50%,40%,Percentage = 400/1000×100 = 40%.
The ratio of red and blue balls is 2:3. If total balls are 50, find blue balls.,20,25,30,35,30,Total parts = 5. One part = 10. Blue balls = 3×10 = 30.
A company has sales of 500,600,700,800 units in four months. Find total sales.,2400,2500,2600,2700,2600,Total = 500+600+700+800 = 2600.
A car price is $20000. It depreciates by 10%. Find new price.,$16000,$18000,$19000,$20000,$18000,Depreciation = 10% of 20000 = 2000. New price = 18000.
A store sold items worth $5000 and earned profit $1000. Find cost price.,$3000,$4000,$5000,$6000,$4000,Cost price = Selling price - Profit = 5000-1000 = $4000.
The number of employees increased from 200 to 260. Find increase percentage.,20%,25%,30%,35%,30%,Increase = 60/200×100 = 30%.
A train travels 600 km in 10 hours. Find speed.,50 km/hr,60 km/hr,70 km/hr,80 km/hr,60 km/hr,Speed = Distance/Time = 600/10 = 60 km/hr.
A student scored 80,90,70,60 in four tests. Find average score.,70,75,80,85,75,Average = (80+90+70+60)/4 = 75.
A company has departments with sales 200,300,500. Find percentage of highest sales.,40%,50%,60%,70%,50%,Highest sales = 500. Total = 1000. Percentage = 50%.
A shop offers 15% discount on $2000. Find discount amount.,$200,$250,$300,$350,$300,Discount = 15% of 2000 = $300.
A population of village is 12000. Male population is 7000. Find female population.,4000,5000,6000,7000,5000,Female population = 12000-7000 = 5000.
A company profit values are Jan=$1000, Feb=$1500, Mar=$2000. Find total profit.,$3500,$4000,$4500,$5000,$4500,Total profit = 1000+1500+2000 = $4500.
