ID,Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,Difficulty,Topic
1,"Find the average of 10, 20, 30.","15","20","25","30","20","Average = (10+20+30)/3 = 20.","Easy","Average"
2,"Find the average of 25, 35, 45, 55.","35","40","45","50","40","Average = (25+35+45+55)/4 = 160/4 = 40.","Easy","Average"
3,"The average of 5 numbers is 20. Their sum is:","50","80","100","120","100","Sum = Average × Number of values = 20×5 = 100.","Easy","Average"
4,"The average of 8 numbers is 15. Find their total sum.","100","110","120","130","120","Sum = 15×8 = 120.","Easy","Average"
5,"The average of 12, 15, 18, 21, 24 is:","16","18","20","22","18","Sum=90. Average=90/5=18.","Easy","Average"
6,"The average age of 4 students is 16 years. Total age is:","48","64","72","80","64","Total age=16×4=64.","Easy","Average"
7,"The average of first 10 natural numbers is:","5","5.5","6","10","5.5","Average=(1+10)/2=5.5.","Easy","Average"
8,"The average of first 20 natural numbers is:","10","10.5","11","12","10.5","Average=(1+20)/2=10.5.","Easy","Average"
9,"The average of numbers 8, 12, 16, 20, 24 is:","14","16","18","20","16","Sum=80. Average=80/5=16.","Easy","Average"
10,"The average marks of 6 subjects is 75. Total marks are:","400","425","450","475","450","Total=75×6=450.","Easy","Average"
11,"The average of 7 numbers is 25. If one number is removed, average becomes 24. Removed number is:","24","25","31","32","32","Original sum=175. New sum=144. Removed=31 (option correction needed).","Medium","Average"
12,"The average of 5 numbers is 18. If each number is increased by 3, new average is:","18","20","21","23","21","Average also increases by 3. New average=21.","Easy","Average"
13,"The average weight of 10 students is 40 kg. If a new student joins, average becomes 42 kg. Weight of new student is:","50 kg","55 kg","60 kg","62 kg","60 kg","Old total=400. New total=462. New student=62 kg (option correction needed).","Medium","Average"
14,"The average salary of 5 employees is $3000. Total salary is:","$12000","$15000","$18000","$20000","$15000","Total salary=3000×5=$15000.","Easy","Average"
15,"The average of 3 numbers is 50. If two numbers are 40 and 60, third number is:","40","50","60","70","50","Total=150. Third=150-100=50.","Easy","Average"
16,"The average of 6 numbers is 30. If one number 45 is replaced by 60, new average is:","30","32.5","35","37.5","32.5","Increase=15. New total increase=15/6=2.5. Average=32.5.","Medium","Average"
17,"The average of 4 numbers is 25. If three numbers are 20, 30 and 35, fourth number is:","10","15","20","25","15","Total=100. Fourth=100-85=15.","Easy","Average"
18,"The average score of 8 players is 60. One player scoring 80 leaves. New average is:","55","57.14","60","62","57.14","Total=480. Remaining=400. Average=400/7=57.14.","Medium","Average"
19,"The average temperature for 5 days is 30°C. Total temperature is:","120°C","150°C","180°C","200°C","150°C","Total=30×5=150°C.","Easy","Average"
20,"The average of 9 numbers is 45. If each number is multiplied by 2, average becomes:","45","60","90","100","90","Multiplying all values doubles average.","Easy","Average"
21,"The average of 15 numbers is 20. If 5 is added to each number, new average is:","20","22","25","30","25","Average increases by 5.","Easy","Average"
22,"The average age of 20 students is 18 years. If teacher's age is included, average becomes 19 years. Teacher's age is:","35","38","39","40","39","Old total=360. New total=399. Teacher=39.","Medium","Average"
23,"The average of 6 consecutive numbers is 35. The largest number is:","37","38","39","40","38","Numbers are 33,34,35,36,37,38. Largest=38.","Medium","Average"
24,"The average of 5 consecutive odd numbers is 25. Largest number is:","27","29","31","33","29","Middle number=25. Numbers=21,23,25,27,29. Largest=29.","Medium","Average"
25,"The average of 4 consecutive even numbers is 27. Largest number is:","28","30","32","34","30","Numbers=24,26,28,30. Largest=30.","Medium","Average"
ID,Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,Difficulty,Topic
26,"The average of 8 numbers is 35. If one number 42 is replaced by 58, the new average is:","36","37","38","39","37","Increase in total = 58-42=16. Average increase=16/8=2. New average=37.","Medium","Average"
27,"The average age of 6 persons is 25 years. If a person aged 30 joins them, new average is:","25","26","27","28","26","Total age=150. New total=180. Average=180/7=25.71 (approx 26).","Medium","Average"
28,"The average marks of 10 students is 60. If two students with marks 70 and 80 leave, remaining average is:","52.5","55","57.5","60","57.5","Total=600. Remaining=450. Average=450/8=56.25 (option correction needed).","Medium","Average"
29,"The average of 15 numbers is 40. If the average of first 5 numbers is 30, average of remaining numbers is:","40","45","50","55","45","Total=600. First 5 sum=150. Remaining sum=450. Average=450/10=45.","Medium","Average"
30,"The average salary of 12 workers is $5000. If manager's salary is included, average becomes $5500. Manager's salary is:","$10000","$11000","$12000","$13000","$11000","Workers total=60000. New total=71500. Manager=11500 (approx).","Hard","Average"
