ID,Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,Difficulty,Topic
1,"A man buys an item for $500 and sells it for $600. Find profit.","$50","$100","$150","$200","$100","Profit = Selling Price - Cost Price = 600 - 500 = $100.","Easy","Profit Loss"
2,"A product costs $800 and is sold for $1000. Find profit percentage.","20%","25%","30%","40%","25%","Profit = 200. Profit% = 200/800×100 = 25%.","Easy","Profit Loss"
3,"An item is bought for $1200 and sold for $1500. Find profit.","$200","$250","$300","$350","$300","Profit = 1500 - 1200 = $300.","Easy","Profit Loss"
4,"A seller buys an article for $900 and sells it for $810. Find loss.","$50","$90","$100","$120","$90","Loss = Cost Price - Selling Price = 900 - 810 = $90.","Easy","Profit Loss"
5,"An item bought for $1000 is sold for $1200. Find profit percentage.","15%","20%","25%","30%","20%","Profit = 200. Profit% = 200/1000×100 = 20%.","Easy","Profit Loss"
6,"A shopkeeper buys a phone for $15000 and sells it for $18000. Profit percentage?","15%","20%","25%","30%","20%","Profit = 3000. Profit% = 3000/15000×100 = 20%.","Medium","Profit Loss"
7,"A trader buys an item for $2500 and sells it for $2250. Loss percentage?","5%","10%","15%","20%","10%","Loss = 250. Loss% = 250/2500×100 = 10%.","Medium","Profit Loss"
8,"If cost price is $600 and profit is $120, find selling price.","$650","$700","$720","$750","$720","Selling Price = Cost Price + Profit = 600+120 = $720.","Easy","Profit Loss"
9,"If cost price is $900 and loss is $150, find selling price.","$700","$750","$800","$850","$750","Selling Price = 900-150 = $750.","Easy","Profit Loss"
10,"A man gains 25% by selling an article. If cost price is $400, find selling price.","$450","$500","$550","$600","$500","SP = 400 + 25% of 400 = 400+100 = $500.","Medium","Profit Loss"
11,"A man loses 20% by selling an article. If cost price is $500, find selling price.","$350","$400","$450","$480","$400","Loss = 20% of 500 = 100, SP = 400.","Medium","Profit Loss"
12,"An article bought for $750 is sold at 20% profit. Selling price?","$850","$900","$950","$1000","$900","SP = 750×120/100 = $900.","Medium","Profit Loss"
13,"An article bought for $2000 is sold at 15% loss. Selling price?","$1600","$1700","$1800","$1900","$1700","SP = 2000×85/100 = $1700.","Medium","Profit Loss"
14,"Find cost price if selling price is $900 and profit is $200.","$600","$700","$750","$800","$700","CP = SP - Profit = 900-200 = $700.","Easy","Profit Loss"
15,"Find cost price if selling price is $800 and loss is $100.","$600","$700","$900","$1000","$900","CP = SP + Loss = 800+100 = $900.","Easy","Profit Loss"
16,"An item is sold for $960 at 20% profit. Find cost price.","$700","$800","$850","$900","$800","CP = 960×100/120 = $800.","Medium","Profit Loss"
17,"An item is sold for $680 at 15% loss. Find cost price.","$700","$750","$800","$850","$800","CP = 680×100/85 = $800.","Medium","Profit Loss"
18,"A shopkeeper buys a bag for $1200 and sells it for $1440. Profit percentage?","15%","20%","25%","30%","20%","Profit = 240. Profit% = 240/1200×100 = 20%.","Medium","Profit Loss"
19,"A trader buys a watch for $2500 and sells it for $3000. Profit percentage?","15%","20%","25%","30%","20%","Profit = 500. Profit% = 500/2500×100 = 20%.","Medium","Profit Loss"
20,"A seller buys an item for $4000 and sells it for $3600. Loss percentage?","5%","10%","15%","20%","10%","Loss = 400. Loss% = 400/4000×100 = 10%.","Medium","Profit Loss"
21,"An article is bought for $600 and sold at 30% profit. Selling price?","$720","$750","$780","$800","$780","SP = 600×130/100 = $780.","Medium","Profit Loss"
