Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
Who is the President of India in 2026?,Droupadi Murmu,Ram Nath Kovind,Pratibha Patil,Amit Shah,Droupadi Murmu,Droupadi Murmu is the 15th President of India and assumed office in July 2022.
Who is the Prime Minister of India in 2026?,Narendra Modi,Rahul Gandhi,Amit Shah,Arvind Kejriwal,Narendra Modi,Narendra Modi became Prime Minister for the third consecutive term in 2024.
Which city hosted the G20 Summit 2023 in India?,Mumbai,New Delhi,Chennai,Hyderabad,New Delhi,The G20 Leaders Summit 2023 was held at Bharat Mandapam in New Delhi.
Which country hosted the G20 Summit 2024?,India,Brazil,Italy,Japan,Brazil,Brazil hosted the G20 Summit in 2024.
Which country hosted the G20 Summit 2025?,South Africa,India,USA,Russia,South Africa,South Africa became the first African country to host the G20 Summit.
Aditya-L1 mission is related to study of?,Moon,Sun,Mars,Earth,Sun,Aditya-L1 is India's first solar mission to study the Sun.
Which organisation launched Chandrayaan missions?,DRDO,ISRO,NASA,ESA,ISRO,ISRO is India's space research organisation.
Chandrayaan-3 successfully landed on?,Mars,Moon,Venus,Sun,Moon,Chandrayaan-3 achieved a soft landing near the lunar south pole in 2023.
The Chandrayaan-3 landing site was named?,Shiv Shakti Point,Vikram Point,Bharat Point,Tricolor Point,Shiv Shakti Point,The landing site was named Shiv Shakti Point by the Indian government.
ISRO headquarters is located at?,Delhi,Bengaluru,Mumbai,Chennai,Bengaluru,ISRO headquarters is located in Bengaluru, Karnataka.
Which Indian mission studies Earth observation?,Aditya-L1,EOS satellites,Mangalyaan,Chandrayaan,EOS satellites,Earth Observation Satellites collect data about Earth's surface.
The first Indian astronaut mission is called?,Gaganyaan,Shukrayaan,Mangalyaan,Surya Mission,Gaganyaan,Gaganyaan is India's human spaceflight programme.
Which country became the first to land near the Moon's south pole?,USA,China,India,Russia,India,Chandrayaan-3 made India the first country to land near the lunar south pole.
The Bharat Ratna award is?,Military award,Civilian award,Sports award,Science award,Civilian award,Bharat Ratna is India's highest civilian award.
Who received Bharat Ratna in 2024 for social service?,Karpoori Thakur,Sachin Tendulkar,Vajpayee,Ratan Tata,Karpoori Thakur,Karpoori Thakur was awarded Bharat Ratna posthumously in 2024.
Which Indian city is known as India's Silicon Valley?,Hyderabad,Bengaluru,Pune,Chennai,Bengaluru,Bengaluru is a major IT hub of India.
UPI was developed by?,RBI and NPCI,SEBI,ISRO,NITI Aayog,RBI and NPCI,UPI was developed by National Payments Corporation of India with RBI support.
NPCI stands for?,National Payments Corporation of India,National Public Council of India,National Planning Commission of India,New Payment Council of India,National Payments Corporation of India,NPCI manages digital payment systems like UPI.
Digital India programme was launched in?,2014,2015,2016,2017,2015,Digital India was launched on July 1, 2015.
Startup India was launched in?,2014,2015,2016,2017,2016,Startup India was launched in January 2016 to promote entrepreneurship.
Make in India initiative was launched in?,2014,2015,2016,2018,2014,Make in India was launched in September 2014.
